Player,Ownership
Christian McCaffrey,29.30%
Auden Tate,24.90%
Dalvin Cook,23.70%
Ezekiel Elliott,23.10%
DeAndre Hopkins,21.10%
Michael Thomas,19.30%
Chris Godwin,19.00%
Leonard Fournette,18.30%
Tyler Eifert,18.00%
Will Fuller,17.80%
David Johnson,17.50%
Julio Jones,17.40%
Larry Fitzgerald,16.80%
Keenan Allen,15.70%
Aaron Jones,15.50%
David Montgomery,13.10%
Zach Ertz,12.30%
Austin Ekeler,11.00%
Mike Evans,10.80%
Phillip Lindsay,10.30%
Austin Hooper,10.30%
Amari Cooper,10.30%
Mark Andrews,9.70%
Darren Waller,9.60%
Joe Mixon,9.50%
Wayne Gallman,9.40%
James Conner,9.20%
Jimmy Graham,8.80%
Mark Ingram,8.50%
Adam Thielen,8.50%
Tyler Boyd,8.30%
Le'Veon Bell,8.10%
Calvin Ridley,7.80%
Marquez Valdes-Scantling,7.60%
Devonta Freeman,7.20%
Marquise Brown,7.20%
Julian Edelman,7.00%
Delanie Walker,6.40%
Curtis Samuel,6.20%
Alshon Jeffery,6.10%
Robby Anderson,5.70%
Geronimo Allison,5.50%
Alvin Kamara,5.40%
Derrick Henry,5.20%
Evan Engram,4.70%
Jamison Crowder,4.70%
Allen Robinson,4.20%
Courtland Sutton,4.20%
DJ Chark,4.20%
Greg Olsen,4.10%
Chris Thompson,4.10%
A.J. Brown,4.00%
John Brown,3.90%
Noah Fant,3.80%
James White,3.70%
Carlos Hyde,3.60%
Melvin Gordon,3.60%
D.J. Moore,3.50%
O.J. Howard,3.50%
JuJu Smith-Schuster,3.40%
Josh Gordon,3.30%
Sony Michel,2.90%
Ronald Jones,2.90%
Josh Jacobs,2.90%
Emmanuel Sanders,2.70%
KeeSean Johnson,2.50%
Javon Wims,2.50%
Golden Tate,2.50%
Corey Davis,2.40%
Dawson Knox,2.40%
Mohamed Sanu,2.30%
Diontae Johnson,2.30%
Stefon Diggs,2.30%
Keke Coutee,2.30%
Duke Johnson,2.10%
Tarik Cohen,2.00%
Jake Kumerow,1.90%
Sterling Shepard,1.90%
Jaylen Samuels,1.80%
Jordan Howard,1.80%
Vance McDonald,1.30%
Phillip Dorsett,1.30%
Nelson Agholor,1.20%
Dallas Goedert,1.20%
Terry McLaurin,1.20%
Anthony Miller,1.20%
Michael Gallup,1.20%
Miles Sanders,1.20%
Kyle Rudolph,1.10%
Tyrell Williams,1.10%
Jared Cook,1.10%
Cole Beasley,1.10%
Trey Burton,1.10%
Royce Freeman,1.10%
Cameron Brate,1.10%
Jason Witten,1.10%
Randall Cobb,1.00%
Mike Williams,1.00%
James Washington,1.00%
Dede Westbrook,1.00%
Chris Conley,1.00%
Demaryius Thomas,1.00%
DaeSean Hamilton,1.00%
Jordan Akins,0.90%
Willie Snead,0.80%
Andy Isabella,0.80%
Bobo Wilson,0.80%
Trent Sherfield,0.60%
Giovani Bernard,0.60%
Devin Singletary,0.60%
Adrian Peterson,0.60%
Trey Quinn,0.60%
Frank Gore,0.60%
Steven Sims,0.10%
Kelvin Harmon,0.10%
Wendell Smallwood,0.10%
Jeremy Sprinkle,0.10%
Jerome Cunningham,0.10%
Ryan Izzo,0.10%
Chase Edmonds,0.10%
Paul Richardson,0.10%
D.J. Foster,0.10%
Ryan Griffin,0.10%
Travis Benjamin,0.10%
Andre Patton,0.10%
Dan Vitale,0.10%
Virgil Green,0.10%
Lance Kendricks,0.10%
Diontae Spencer,0.10%
Troymaine Pope,0.10%
Geremy Davis,0.10%
Darrius Shepherd,0.10%
Dexter Williams,0.10%
Blake Jarwin,0.10%
Devin Smith,0.10%
Tony Pollard,0.10%
Tavon Austin,0.10%
Jamize Olawale,0.10%
Allen Lazard,0.10%
Robert Tonyan,0.10%
Devontae Booker,0.10%
Fred Brown,0.10%
C.J. Uzomah,0.10%
Pharoh Cooper,0.10%
Stanley Morgan,0.10%
Damion Willis,0.10%
Alex Erickson,0.10%
Maxx Williams,0.10%
Samaje Perine,0.10%
Braxton Berrios,0.10%
Vyncint Smith,0.10%
Mack Hollins,0.10%
JJ Arcega-Whiteside,0.10%
Jeff Heuerman,0.10%
Darren Sproles,0.10%
Ty Montgomery,0.10%
Bilal Powell,0.10%
Trevon Wesco,0.10%
Charles Clay,0.10%
Latavius Murray,0.10%
Seth Roberts,0.10%
Justice Hill,0.10%
Gus Edwards,0.10%
Miles Boykin,0.10%
Nick Boyle,0.10%
Chris Moore,0.10%
Hayden Hurst,0.10%
Nick Vannett,0.10%
Ryan Switzer,0.10%
Tyler Ervin,0.10%
Geoff Swaim,0.10%
Ryquell Armstead,0.10%
James O'Shaughnessy,0.10%
Keelan Cole,0.10%
Benny Snell,0.10%
Johnny Holton,0.10%
Marqise Lee,0.10%
Cody Core,0.10%
