Player,Ownership
Name,pOWN%
Deshaun Watson,13.90%
Matt Ryan,10.90%
Carson Wentz,8.10%
Jameis Winston,7.50%
Kyler Murray,7.50%
Andy Dalton,7.30%
Lamar Jackson,7.10%
Dak Prescott,6.40%
Kirk Cousins,4.20%
Tom Brady,3.90%
Aaron Rodgers,3.70%
Teddy Bridgewater,3.20%
Philip Rivers,2.40%
Kyle Allen,2.10%
Daniel Jones,2.00%
Gardner Minshew,1.80%
Chase Daniel,1.70%
Joe Flacco,1.30%
Josh Allen,1.20%
Mason Rudolph,1.20%
Marcus Mariota,1.10%
Derek Carr,0.90%
Colt McCoy,0.60%
Luke Falk,0.10%
Taysom Hill,0.10%
Baker Mayfield,0.00%
Jimmy Garoppolo,0.00%
Patrick Mahomes,0.00%
Jacoby Brissett,0.00%
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
