Pos,Player,Tm,Opp,DK Sal $,Projected Own%,Cash Odds,GPP Odds,Implied Own%,DK LEV
WR,Dontrelle Inman,LAC,DEN,3400,0.50%,33%,4%,4%,7.77
QB,Marcus Mariota,TEN,BUF,4900,0.50%,33%,9%,4%,7.27
QB,Mason Rudolph,PIT,BAL,5100,0.50%,33%,8%,3%,6.95
WR,Corey Davis,TEN,BUF,4400,0.50%,29%,4%,3%,6.59
QB,Chase Daniel,CHI,@OAK,4800,0.50%,33%,8%,3%,6.49
TE,Noah Fant,DEN,@LAC,2800,0.50%,28%,2%,3%,5.77
QB,Joe Flacco,DEN,@LAC,4700,0.50%,29%,6%,2%,4.85
TE,Dawson Knox,BUF,@TEN,3100,0.50%,25%,1%,2%,4.85
WR,Ted Ginn,NO,TB,3700,0.50%,26%,2%,2%,4.67
WR,Randall Cobb,DAL,GB,4200,0.50%,25%,2%,2%,4.41
TE,Vernon Davis,WAS,NE,3400,0.50%,24%,1%,2%,4.29
RB,Miles Sanders,PHI,NYJ,4500,0.50%,27%,2%,2%,4.26
QB,Colt McCoy,WAS,NE,4100,0.50%,26%,5%,2%,4.14
WR,James Washington,PIT,BAL,4400,0.50%,23%,2%,2%,4.06
TE,James O'Shaughnessy,JAX,@CAR,3300,0.50%,24%,1%,2%,4.04
TE,Jordan Akins,HOU,ATL,3200,0.50%,23%,1%,2%,3.94
DEF,Green Bay Packers,GB,@DAL,2400,0.50%,25%,2%,2%,3.82
TE,Trey Burton,CHI,@OAK,3300,0.50%,23%,1%,2%,3.63
RB,Tarik Cohen,CHI,@OAK,4800,0.50%,24%,2%,2%,3.58
WR,Paul Richardson,WAS,NE,4500,0.50%,22%,2%,2%,3.48
DEF,Pittsburgh Steelers,PIT,BAL,2100,0.50%,26%,2%,2%,3.46
QB,Derek Carr,OAK,CHI,5000,0.50%,22%,4%,2%,3.39
WR,Javon Wims,CHI,@OAK,3500,0.50%,23%,2%,2%,3.25
WR,Emmanuel Sanders,DEN,@LAC,5100,3.00%,44%,9%,8%,2.8
TE,Nick Vannett,PIT,BAL,2900,0.50%,21%,1%,1%,2.75
WR,Davante Adams,GB,@DAL,7600,3.00%,36%,9%,8%,2.68
RB,Duke Johnson,HOU,ATL,4200,0.50%,22%,1%,1%,2.53
RB,Peyton Barber,TB,@NO,4300,0.50%,21%,1%,1%,2.52
DEF,New York Jets,NYJ,@PHI,2300,0.50%,22%,2%,1%,2.45
RB,Jaylen Samuels,PIT,BAL,4100,0.50%,22%,1%,1%,2.42
TE,Ryan Griffin,NYJ,@PHI,2500,0.50%,21%,1%,1%,2.33
TE,Delanie Walker,TEN,BUF,3900,3.00%,38%,4%,7%,2.23
DEF,Carolina Panthers,CAR,JAX,2600,3.00%,36%,8%,7%,2.17
WR,Mack Hollins,PHI,NYJ,3700,0.50%,19%,1%,1%,2.14
WR,John Brown,BUF,@TEN,5100,3.00%,39%,7%,6%,2.1
RB,Josh Jacobs,OAK,CHI,4500,3.00%,42%,6%,6%,2.09
WR,Calvin Ridley,ATL,@HOU,4900,3.00%,36%,7%,6%,2.08
WR,Tyrell Williams,OAK,CHI,5200,3.00%,37%,7%,6%,2.05
RB,Alvin Kamara,NO,TB,8600,12.50%,60%,26%,25%,2.01
DEF,New York Giants,NYG,MIN,2600,0.50%,18%,1%,1%,1.99
QB,Josh Allen,BUF,@TEN,5700,3.00%,41%,14%,6%,1.91
TE,Darren Fells,HOU,ATL,2900,0.50%,18%,1%,1%,1.91
QB,Luke Falk,NYJ,@PHI,4900,0.50%,17%,2%,1%,1.89
WR,Phillip Dorsett,NE,@WAS,4900,3.00%,35%,6%,5%,1.82
