"Player","Team","Opp","Time","FD Pos","FD Own","FD Sal","DK Pos","DK Own","DK Sal"
"Jarius Wright","CAR","JAC","Sun 01:00 EDT","WR","0.2%","4500","WR","0.2%","3200"
"Derek Carr","OAK","CHI","Sun 01:00 EDT","QB","0.1%","6600","QB","0.2%","5000"
"Tajae Sharpe","TEN","BUF","Sun 01:00 EDT","WR","0.1%","4800","WR","0.2%","3100"
"Trevor Davis","OAK","CHI","Sun 01:00 EDT","WR","0.1%","4600","WR","0.2%","3300"
"Isaiah McKenzie","BUF","TEN","Sun 01:00 EDT","WR","0.1%","4500","WR","0.2%","3200"
"Robert Tonyan","GB","DAL","Sun 04:25 EDT","TE","0.1%","4000","TE","0.2%","2500"
"Hayden Hurst","BAL","PIT","Sun 01:00 EDT","TE","0.1%","4400","TE","0.1%","3300"
"Darius Slayton","NYG","MIN","Sun 01:00 EDT","WR","0.1%","4800","WR","0.0%","3100"
"J.J. Nelson","OAK","CHI","Sun 01:00 EDT","WR","0.1%","5000","WR","0.1%","3400"
"Kelvin Harmon","WAS","NE","Sun 01:00 EDT","WR","0.1%","4500","WR","0.1%","3000"
"Keelan Doss","OAK","CHI","Sun 01:00 EDT","WR","0.1%","4500","WR","0.1%","3000"
