"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"94","Mack Hollins",MIA,"80","96","90.0","3.0"
"95","Tre'Quan Smith",NO,"86","101","95.4","3.6"
"96","Danny Amendola",DET,"31","112","83.3","14.9"
"97","Christian Blake",ATL,"86","117","98.9","6.7"
"98","Devin Duvernay",BAL,"49","106","89.3","14.2"
"99","Bryan Edwards",LV,"97","108","100.7","2.3"
"100","Equanimeous St. Brown",GB,"95","132","104.7","7.7"
"101","Willie Snead IV",BAL,"72","122","89.3","11.6"
"102","Ray-Ray McCloud",PIT,"100","116","105.9","4.5"
"103","Cedrick Wilson",DAL,"83","121","107.2","4.8"
"104","Miles Boykin",BAL,"81","117","101.2","6.3"
"105","Marcus Johnson",IND,"101","115","106.9","3.7"
"106","Tyron Johnson",LAC,"104","118","110.1","3.3"
"107","Brandon Powell",ATL,"98","133","109.6","8.8"
"108","Marvin Hall",DET,"72","122","90.8","15.4"
"109","Donovan Peoples-Jones",CLE,"74","116","91.8","11.5"
"110","Dontrelle Inman",WAS,"95","118","107.2","5.3"
"111","Isaiah McKenzie",BUF,"100","113","106.9","3.5"
"112","Malcolm Perry",MIA,"92","114","105.9","6.5"
"113","DaeSean Hamilton",DEN,"98","125","113.1","5.4"
"114","Steven Mitchell Jr.",HOU,"88","124","110.3","8.7"
"115","KeeSean Johnson",ARI,"101","129","115.9","5.9"
"116","Isaiah Wright",WAS,"98","126","114.1","6.4"
"117","Antonio Callaway",MIA,"103","123","116.8","5.0"
"118","Chris Conley",JAC,"79","119","103.2","12.9"
"119","Mike Thomas",CIN,"105","127","115.7","7.2"
"120","Freddie Swain",SEA,"107","117","112.2","3.6"
"121","Cam Batson",TEN,"106","138","116.3","10.6"
"122","Jamal Agnew",DET,"97","130","117.0","7.5"
"123","Kalif Raymond",TEN,"115","127","119.7","4.6"
"124","Van Jefferson",LAR,"111","126","121.0","3.6"
"125","Braxton Berrios",NYJ,"93","139","128.9","10.3"
"126","Gunner Olszewski",NE,"116","137","125.8","6.4"
"127","DeMichael Harris",IND,"119","140","127.7","8.6"
"128","Riley Ridley",CHI,"104","132","122.2","7.0"
"129","Alex Erickson",CIN,"117","135","125.4","6.6"
"130","Deonte Harris",NO,"120","133","128.4","4.0"
"131","Zay Jones",LV,"116","131","129.0","2.3"
"132","Jeff Smith",NYJ,"125","131","129.6","1.0"
"133","James Proche",BAL,"118","138","131.4","6.3"
"134","Noah Brown",DAL,"115","139","132.4","5.3"
"135","John Hightower",PHI,"128","140","134.4","3.7"
