"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"108","Andy Janovich",CLE,"98","107","102.8","3.8"
"109","Derek Watt",PIT,"99","108","104.0","3.7"
"110","Patrick Ricard",BAL,"89","99","94.0","5.0"
"111","Lamar Miller",CHI,"101","109","105.0","3.3"
"112","Artavis Pierce",CHI,"96","108","102.0","6.0"
"113","Dontrell Hilliard",CLE,"105","110","108.3","2.4"
"114","J.J. Taylor",NE,"106","112","109.7","2.6"
"115","Scottie Phillips",HOU,"107","113","110.7","2.6"
"116","Jonathan Ward",ARI,"108","114","111.7","2.6"
"117","D.J. Foster",ARI,"109","115","112.7","2.6"
