Player Name,Team,rec_att,rec_yds,rec_tds,rush_att,rush_yds,rush_tds,fumbles,fpts
Cooper Kupp,LAR,7.9,106.6,0.8,0.1,0.5,0.0,0.1,23.3
Davante Adams,GB,7.9,104.0,0.8,0.0,0.1,0.0,0.1,23.1
Keenan Allen,LAC,7.6,89.8,0.7,0.0,0.1,0.0,0.1,20.5
Tyreek Hill,KC,6.8,88.8,0.7,0.7,4.4,0.0,0.1,20.3
Justin Jefferson,MIN,6.3,87.9,0.6,0.3,1.2,0.0,0.1,19.0
Diontae Johnson,PIT,7.1,82.0,0.5,0.5,3.1,0.0,0.1,18.6
Antonio Brown,TB,6.2,79.5,0.7,0.2,0.9,0.0,0.1,18.2
Stefon Diggs,BUF,6.1,76.7,0.6,0.0,0.2,0.0,0.1,17.0
Deebo Samuel,SF,4.2,63.0,0.3,4.9,31.3,0.3,0.1,16.9
Cordarrelle Patterson,ATL,3.5,41.6,0.3,10.3,43.5,0.5,0.2,16.1
Tyler Lockett,SEA,5.3,72.9,0.6,0.0,0.0,0.0,0.1,15.9
Hunter Renfrow,LV,6.8,74.5,0.3,0.2,1.1,0.0,0.1,15.9
CeeDee Lamb,DAL,5.3,68.4,0.5,0.5,3.2,0.0,0.0,15.7
Ja'Marr Chase,CIN,4.7,70.1,0.6,0.6,2.4,0.0,0.1,15.5
D.J. Moore,CAR,5.5,71.4,0.4,0.3,2.0,0.0,0.1,15.2
A.J. Brown,TEN,5.0,68.8,0.5,0.2,1.1,0.0,0.0,15.2
Tee Higgins,CIN,4.9,71.1,0.5,0.1,0.5,0.0,0.1,15.0
Russell Gage,ATL,5.6,65.2,0.5,0.1,0.2,0.0,0.1,14.8
Amon-Ra St. Brown,DET,5.8,61.2,0.4,0.3,1.6,0.0,0.1,14.7
Christian Kirk,ARI,5.1,64.7,0.5,0.1,0.7,0.0,0.1,14.6
Michael Pittman Jr.,IND,5.1,63.2,0.5,0.3,2.0,0.0,0.0,14.3
Adam Thielen,MIN,4.9,56.4,0.6,0.1,0.2,0.0,0.0,14.1
Jaylen Waddle,MIA,6.1,63.2,0.3,0.1,0.4,0.0,0.1,14.1
Darnell Mooney,CHI,5.1,61.9,0.4,0.4,2.1,0.0,0.0,13.8
Jarvis Landry,CLE,5.0,59.1,0.4,0.4,3.0,0.0,0.1,13.6
Marquise Brown,BAL,5.5,64.1,0.3,0.2,0.8,0.0,0.1,13.4
Terry McLaurin,WAS,4.7,61.9,0.4,0.1,0.3,0.0,0.0,13.3
D.K. Metcalf,SEA,4.5,61.8,0.4,0.0,0.2,0.0,0.0,13.1
Brandon Aiyuk,SF,4.3,56.7,0.5,0.5,2.5,0.0,0.0,12.9
DeVante Parker,MIA,4.4,55.1,0.4,0.0,0.0,0.0,0.0,12.3
Amari Cooper,DAL,4.4,58.0,0.3,0.1,0.1,0.0,0.0,12.3
Jakobi Meyers,NE,5.3,56.1,0.2,0.3,1.4,0.0,0.0,12.1
Odell Beckham Jr.,LAR,3.7,53.3,0.5,0.3,1.4,0.0,0.0,12.0
Joshua Palmer,LAC,3.8,48.8,0.5,0.0,0.3,0.0,0.0,11.4
Kadarius Toney,NYG,4.7,49.0,0.2,0.5,2.4,0.0,0.0,11.1
Kenny Golladay,NYG,4.1,57.5,0.2,0.0,0.0,0.0,0.0,11.1
DeVonta Smith,PHI,3.9,54.2,0.3,0.0,0.0,0.0,0.0,11.1
Tyler Boyd,CIN,4.3,51.8,0.3,0.2,1.1,0.0,0.1,11.0
Marvin Jones Jr.,JAC,4.1,52.5,0.3,0.0,0.0,0.0,0.0,11.0
Chase Claypool,PIT,3.8,54.3,0.2,0.9,4.6,0.0,0.0,10.9
A.J. Green,ARI,3.8,54.1,0.3,0.0,0.4,0.0,0.0,10.9
Jerry Jeudy,DEN,3.8,48.5,0.3,0.2,0.4,0.0,0.0,10.8
Allen Lazard,GB,3.9,49.5,0.3,0.2,1.2,0.0,0.0,10.7
Michael Gallup,DAL,3.7,51.3,0.3,0.0,0.1,0.0,0.0,10.5
Robby Anderson,CAR,4.1,46.9,0.2,0.3,1.7,0.0,0.0,10.3
Kendrick Bourne,NE,3.6,46.7,0.3,0.5,3.4,0.0,0.0,10.2
Josh Reynolds,DET,3.8,50.6,0.2,0.0,0.1,0.0,0.0,10.1
Emmanuel Sanders,BUF,4.0,49.7,0.2,0.0,0.4,0.0,0.0,10.1
Van Jefferson,LAR,3.4,47.7,0.3,0.1,0.8,0.0,0.0,9.9
T.Y. Hilton,IND,3.6,44.6,0.2,0.0,0.0,0.0,0.0,9.5
Laquon Treadwell,JAC,3.7,47.3,0.2,0.0,0.0,0.0,0.0,9.4
Braxton Berrios,NYJ,3.6,41.5,0.2,0.4,2.3,0.0,0.0,9.3
Donovan Peoples-Jones,CLE,3.0,48.0,0.2,0.0,0.0,0.0,0.0,9.1
Nico Collins,HOU,3.7,44.7,0.2,0.0,0.1,0.0,0.0,9.0
