player_id,player_name,sportsdata_id,player_team_id,player_position_id,player_positions,player_short_name,player_eligibility,player_yahoo_positions,player_page_url,player_filename,player_square_image_url,player_image_url,player_yahoo_id,cbs_player_id,player_bye_week,player_owned_avg,player_owned_espn,player_owned_yahoo,player_opponent,player_opponent_id,player_ecr_delta,rank_ecr,rank_min,rank_max,rank_ave,rank_std,note,tag,recommendation,pos_rank,start_sit_grade,r2p_pts,uncertainty
16433,Cooper Kupp,2806e915-c46f-492f-8a29-71d3a85e5620,LAR,WR,WR,C. Kupp,WR,WR,https://www.fantasypros.com/nfl/players/cooper-kupp.php,cooper-kupp.php,https://images.fantasypros.com/images/players/nfl/16433/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/16433/headshot/210x210.png,30182,2006951,11,100.0,99.9,100,,,,1,1,1,1.00,0.00,"Just how insane has Kupp been this season? He has 1,625 receiving yards on the year through 14 games, which breaks down to an average of 116 yards per contest. If he keeps up this pace for the remaining three games of the season, he will finish with 1,973 yards on the year and that would break the all-time single-season yardage record set by Calvin Johnson (1964) in 2012. There's not much else to say about Kupp from a fantasy perspective, so let's keep it short and sweet. Start him as the WR1 yet again in Week 16.",,,WR1,A+,24.0,0.0
12123,Davante Adams,e7d6ae25-bf15-4660-8b37-c37716551de3,GB,WR,WR,D. Adams,WR,WR,https://www.fantasypros.com/nfl/players/davante-adams.php,davante-adams.php,https://images.fantasypros.com/images/players/nfl/12123/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/12123/headshot/210x210.png,27581,1893167,13,100.0,99.9,100,,,,2,2,3,2.08,0.28,"Adams continues to produce top-tier fantasy numbers with Rodgers as his QB. Even in a game last week where Adams didn't cross the 50-yard threshold, he still ended the week as a fantastic fantasy option because of his connection with Rodgers in the red zone. There's very little to say at this point about Adams and he can be plugged into your starting lineup - just like he has been all year - as a top-5 option.",,,WR2,A+,23.8,0.039200000000000006
19236,Justin Jefferson,4131d4ee-0318-4bb5-832a-4dec80668a4f,MIN,WR,WR,J. Jefferson,WR,WR,https://www.fantasypros.com/nfl/players/justin-jefferson.php,justin-jefferson.php,https://images.fantasypros.com/images/players/nfl/19236/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19236/headshot/210x210.png,32692,2871343,7,99.9,99.8,100,,,,3,2,6,3.61,1.09,"Jefferson didn't necessarily do a ton last week with his 10 targets, but he was able to salvage his fantasy day by finding the end zone. He accounted for 47 of Cousins' 87 passing yards against Chicago and he should continue to be heavily involved in this offense moving forward. In Week 16 against the Rams, Jefferson might not have as much room to roam free, but he's still an incredibly solid play due to his talent and target volume. He can be viewed as a top-5 option yet again.",,,WR3,A+,20.3,0.5940500000000001
11616,Keenan Allen,5f424505-f29f-433c-b3f2-1a143a04a010,LAC,WR,WR,K. Allen,WR,WR,https://www.fantasypros.com/nfl/players/keenan-allen.php,keenan-allen.php,https://images.fantasypros.com/images/players/nfl/11616/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/11616/headshot/210x210.png,26699,1737096,7,99.8,99.5,100,,,2.0,4,3,8,4.83,1.42,"Allen offers one of the safest weekly floors in fantasy football. He's averaging 10.3 targets, 7.1 receptions, and 77.5 receiving yards a game, and he's had only two games this season in which he finished with fewer than 50 receiving yards. This week, his ceiling is elevated with Mike Williams on the COVID-19 list. Obviously, you're starting Allen in your playoff matchups this week and feeling great about it.",,,WR4,A+,19.9,0.6721333333333334
18244,Deebo Samuel,628a6a0a-4fde-4024-8d7c-28674953d5af,SF,WR,WR,D. Samuel,WR,WR,https://www.fantasypros.com/nfl/players/deebo-samuel.php,deebo-samuel.php,https://images.fantasypros.com/images/players/nfl/18244/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/18244/headshot/210x210.png,31868,2139735,6,98.7,99.3,98,,,-1.0,5,4,6,4.89,0.70,"Over his previous three games leading up to Week 15, Samuel had reeled in three total receptions. While he was seeing increased usage as an RB, it was concerning how little work Samuel was getting in the receiving game. That changed in Week 15 though as Samuel saw five targets and he reeled in four receptions for 60 yards. On top of his six carries - one of which went for a touchdown - Samuel's back in the top-5 territory in the WR rankings. Against the Titans, Samuel can be locked into your starting lineup.",,,WR5,A+,19.1,0.12249999999999998
18615,Diontae Johnson,244c00c7-fe9a-4f4f-adff-1d5b9c8877e7,PIT,WR,WR,D. Johnson,WR,WR,https://www.fantasypros.com/nfl/players/diontae-johnson.php,diontae-johnson.php,https://images.fantasypros.com/images/players/nfl/18615/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/18615/headshot/210x210.png,31898,2194164,7,98.3,98.5,98,,,-1.0,6,4,8,6.56,1.01,"Consistent target volume is Johnson's calling card, but he saw only five targets against the Titans last week and finished with 5-38-0 in a 19-13 Steelers victory. Consider it a bump in the road for an alpha receiver who's averaged 10.4 targets, 6.6 catches, and 79.1 receiving yards a game in 2021. Johnson is a low-end WR1 this week vs. the Chiefs.",,,WR6,A,18.8,0.255025
15802,Tyreek Hill,01d8aee3-e1c4-4988-970a-8c0c2d08bd83,KC,WR,WR,T. Hill,WR,WR,https://www.fantasypros.com/nfl/players/tyreek-hill.php,tyreek-hill.php,https://images.fantasypros.com/images/players/nfl/15802/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/15802/headshot/210x210.png,29399,2131163,12,100.0,99.9,100,,,12.0,7,3,26,6.86,5.02,Hill landed on the COVID-19 list this week but was cleared on Saturday. Hill is coming off a sublime 12-140-1 performance against the Chargers and is a top-five fantasy receiver this week against the Steelers.,,,WR7,A,17.9,8.400133333333331
19202,CeeDee Lamb,a72ea15b-5199-4101-a300-846e1c655add,DAL,WR,WR,C. Lamb,WR,WR,https://www.fantasypros.com/nfl/players/ceedee-lamb.php,ceedee-lamb.php,https://images.fantasypros.com/images/players/nfl/19202/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19202/headshot/210x210.png,32687,2865251,7,99.7,99.4,100,,,,8,6,12,8.44,1.44,"Lamb is consistently getting target and reception volume, but the touchdowns gave dried up lately, and it's been a while since we've gotten a 100-yard game out of him. He's averaging 8.4 targets a game, and he's had six or more catches in four of his last five outings. But Lamb has gone four games without a touchdown, and his last 100-yard day was on Halloween. This week, Lamb gets a rematch against Washington, which held him to 7-61-0 in Week 14. Lamb checks in at WR8 in this week's rankings.",,,WR8,A,17.6,0.34559999999999996
19788,Ja'Marr Chase,fa99e984-d63b-4ef4-a164-407f68a7eeaf,CIN,WR,WR,J. Chase,WR,WR,https://www.fantasypros.com/nfl/players/jamarr-chase.php,jamarr-chase.php,https://images.fantasypros.com/images/players/nfl/19788/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19788/headshot/210x210.png,33393,2966320,10,98.5,99.0,98,,,,9,8,11,9.47,0.80,"Chase's catastrophic Week 15 stat line - four targets, one catch for three yards - no doubt doomed a lot of fantasy managers to playoff elimination. Chase has scored 10 touchdowns this season, but his weekly yardage totals have been erratic. He's had a 201-yard game and a 159-yard game, and he churned out 101 receiving yards in his Week 1 debut. But Chase has produced 52 or fewer receiving yards in six of his last seven games, so his value has become increasingly TD dependent. The good news is that Chase gets a smash matchup this week against an injury-depleted Ravens secondary that he's already destroyed once. That 201-yard game? It came against Baltimore in Week 7, with Chase racking up eight catches and scoring on an 82-yard touchdown. This is a get-right spot for Chase, so if you survived his Week 15 dud, there's a good chance he'll make it up to you this week. Chase lands at WR9 in this week's rankings.",,,WR9,A,17.0,0.08000000000000002
13981,Stefon Diggs,a1c40664-b265-4083-aad2-54b4c734f2c5,BUF,WR,WR,S. Diggs,WR,WR,https://www.fantasypros.com/nfl/players/stefon-diggs.php,stefon-diggs.php,https://images.fantasypros.com/images/players/nfl/13981/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/13981/headshot/210x210.png,28534,2000038,7,100.0,99.9,100,,,,10,8,12,9.64,1.18,"Diggs didn't do much this past week from a yardage perspective - just 35 yards on 4 receptions - but he was able to save his fantasy day by finding the end zone. Lately, Diggs has needed that touchdown to be able to vault him up the fantasy rankings, which is concerning as heads into this matchup. JC Jackson should cover Diggs for the majority of the game, which is an extremely difficult matchup for opposing WRs. He'll bring a safe floor due to the projected target volume, but the upside to be a top-5 option this week probably isn't there. He can be viewed as a low-end WR1.",,,WR10,A,16.3,0.17404999999999998
9808,Antonio Brown,16e33176-b73e-49b7-b0aa-c405b47a706e,TB,WR,WR,A. Brown,WR,WR,https://www.fantasypros.com/nfl/players/antonio-brown.php,antonio-brown.php,https://images.fantasypros.com/images/players/nfl/9808/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/9808/headshot/210x210.png,24171,1272852,9,90.1,87.1,93,,,2.0,11,8,15,11.03,1.57,"An ankle injury and a three-game suspension for using a fake vaccination card have kept Brown out of action since Week 6. His return is most welcome for the Buccaneers, who lost Chris Godwin to a torn ACL and probably won't have Mike Evans or Leonard Fournette for a few weeks because of hamstring injuries. In five games this season, Brown has racked up 29-418-4 receiving. Before the ankle injury, he was the WR7 in fantasy points per game (0.5 PPR), averaging 16.2. Even with target competition from Godwin and Evans, Brown was averaging 8.4 targets per game. He has a good chance to see double-digit targets this week with Godwin and Evans out of the picture. Brown checks in at WR11.",,,WR11,A,16.0,0.3081125
19211,Tee Higgins,7963b029-5de4-4541-b00a-44eefe4349af,CIN,WR,WR,T. Higgins,WR,WR,https://www.fantasypros.com/nfl/players/tee-higgins.php,tee-higgins.php,https://images.fantasypros.com/images/players/nfl/19211/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19211/headshot/210x210.png,32703,2809208,10,94.4,93.8,95,,,-2.0,12,10,17,12.33,1.41,"Higgins' streak of three consecutive 100-yard games was snapped with a 2-23-0 performance against the Broncos in Week 15. A tough matchup against a good group of Denver cornerbacks might have had something to do with Higgins' slow day, but the Bengals attempted only 22 passes, and Higgins only saw three targets, so there weren't many opportunities. A Week 16 date with the Ravens could get Higgins back on track. With Marlon Humphrey out for the season with a pectoral injury, the Ravens are hurting at cornerback. Higgins saw a season-high 15 targets against the Ravens back in Week 7 but finished with 7-62-0 in an inefficient performance. If Higgins gets double-digit targets in Week 16, he'll likely put up big numbers. He's a high-end WR2 for Week 16.",,,WR12,A,16.0,0.19881
11613,Cordarrelle Patterson,da85107c-365c-4d58-90ab-479d97d798b4,ATL,RB,RB,C. Patterson,"WR,RB","WR,RB",https://www.fantasypros.com/nfl/players/cordarrelle-patterson.php,cordarrelle-patterson.php,https://images.fantasypros.com/images/players/nfl/11613/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/11613/headshot/210x210.png,26652,1996183,6,96.2,98.3,94,,,65.0,13,6,19,12.70,3.15,,,,WR13,B,15.9,1.6537499999999998
