Player,Ownership
Name,pOWN%
Davante Adams,30.83%
Christian McCaffrey,30.57%
Miles Sanders,26.52%
Tyler Higbee,23.44%
Mike Evans,20.94%
Sterling Shepard,20.10%
DJ Chark,19.78%
Jack Doyle,19.58%
Jonathan Williams,18.76%
D.J. Moore,16.73%
Leonard Fournette,16.33%
Phillip Lindsay,16.33%
Tyler Boyd,15.78%
Le'Veon Bell,14.82%
Chris Godwin,14.52%
Travis Kelce,14.00%
DeVante Parker,12.94%
Marquise Brown,12.31%
Tyreek Hill,12.31%
Saquon Barkley,12.28%
Christian Kirk,10.42%
Cooper Kupp,10.42%
Derrick Henry,9.96%
Benny Snell,8.92%
LeSean McCoy,8.80%
Josh Jacobs,8.69%
Sammy Watkins,8.42%
Kenyan Drake,8.34%
Dallas Goedert,7.92%
Robert Woods,7.79%
Darius Slayton,7.79%
Alshon Jeffery,7.37%
Dede Westbrook,7.37%
Chris Conley,7.16%
Kaden Smith,7.10%
Jamaal Williams,6.37%
Nick Chubb,6.02%
Aaron Jones,6.02%
Todd Gurley,6.02%
Jarvis Landry,5.47%
Odell Beckham,5.47%
Jaron Brown,null
Josh Doctson,null
Melvin Gordon,5.33%
Keenan Allen,5.16%
Mark Ingram,5.10%
Mark Andrews,5.07%
Jamison Crowder,5.05%
George Kittle,4.97%
Auden Tate,4.95%
Darren Waller,4.46%
Brandin Cooks,4.21%
Mike Gesicki,4.16%
Curtis Samuel,4.10%
A.J. Brown,4.00%
Robby Anderson,4.00%
Terry McLaurin,3.89%
Joe Mixon,3.71%
Zach Pascal,3.58%
Ronald Jones,3.47%
Darrel Williams,3.24%
Zach Ertz,3.15%
Adam Humphries,3.05%
Greg Olsen,3.04%
Courtland Sutton,2.95%
Noah Fant,2.94%
Hunter Henry,2.84%
Derrius Guice,2.66%
Tevin Coleman,2.66%
Diontae Johnson,2.53%
Demaryius Thomas,2.42%
Kareem Hunt,2.32%
Nelson Agholor,2.32%
Tyrell Williams,2.21%
Allen Hurns,2.10%
Emmanuel Sanders,2.10%
Tim Patrick,2.00%
James Washington,1.89%
Larry Fitzgerald,1.89%
Deebo Samuel,1.89%
Nyheim Hines,1.85%
Austin Ekeler,1.62%
Ryan Griffin,1.62%
Jaylen Samuels,1.51%
Peyton Barber,1.27%
Royce Freeman,1.27%
Jonnu Smith,1.22%
Jay Ajayi,1.16%
Marquez Valdes-Scantling,1.05%
Albert Wilson,1.05%
Mike Williams,1.05%
David Johnson,1.04%
Chase Edmonds,1.04%
Patrick Laird,1.04%
Jalen Richard,1.04%
Tyler Eifert,1.01%
Allen Lazard,0.95%
Corey Davis,0.95%
Kalen Ballage,0.93%
Geronimo Allison,0.84%
Alex Erickson,0.84%
Adrian Peterson,0.81%
