Player,Team,Opp,Time,FD Pos,FD Own,FD Sal,DK Pos,DK Own,DK Sal
A.J. Brown,TEN,IND,Sun 01:00 EST,WR,3.10%,5300,WR,2.90%,5300
Drew Lock,DEN,LAC,Sun 04:25 EST,QB,2.90%,6000,QB,0.00%,4800
Deebo Samuel,SF,BAL,Sun 01:00 EST,WR,2.90%,5600,WR,2.90%,5200
Kareem Hunt,CLE,PIT,Sun 01:00 EST,RB,2.90%,5900,RB,2.70%,5500
Odell Beckham,CLE,PIT,Sun 01:00 EST,WR,2.90%,7300,WR,2.90%,6700
Demaryius Thomas,NYJ,CIN,Sun 01:00 EST,WR,2.80%,5200,WR,3.70%,3600
Nyheim Hines,IND,TEN,Sun 01:00 EST,RB,2.70%,5500,RB,3.00%,4200
Kyler Murray,ARI,LA,Sun 04:05 EST,QB,2.70%,7700,QB,2.60%,6400
Ryan Griffin,NYJ,CIN,Sun 01:00 EST,TE,2.70%,5600,TE,3.20%,4300
Kelvin Harmon,WAS,CAR,Sun 01:00 EST,WR,2.60%,4800,WR,3.30%,3600
Mark Ingram,BAL,SF,Sun 01:00 EST,RB,2.50%,7500,RB,2.40%,6000
Allen Lazard,GB,NYG,Sun 01:00 EST,WR,2.50%,5400,WR,3.40%,3700
JuJu Smith-Schuster,PIT,CLE,Sun 01:00 EST,WR,2.40%,6500,WR,2.40%,5900
Jay Ajayi,PHI,MIA,Sun 01:00 EST,RB,2.30%,4800,RB,2.60%,3000
Allen Hurns,MIA,PHI,Sun 01:00 EST,WR,2.20%,5100,WR,2.60%,4000
Greg Olsen,CAR,WAS,Sun 01:00 EST,TE,2.20%,5100,TE,2.40%,4400
Gerald Everett,LA,ARI,Sun 04:05 EST,TE,2.10%,6300,TE,2.80%,4600
Ryan Tannehill,TEN,IND,Sun 01:00 EST,QB,2.10%,7300,QB,2.20%,5700
Mecole Hardman,KC,OAK,Sun 04:25 EST,WR,2.10%,5600,WR,2.60%,4200
Noah Fant,DEN,LAC,Sun 04:25 EST,TE,2.10%,5100,TE,2.70%,3700
Emmanuel Sanders,SF,BAL,Sun 01:00 EST,WR,2.00%,6400,WR,1.90%,6300
Zay Jones,OAK,KC,Sun 04:25 EST,WR,2.00%,4700,WR,2.40%,3600
Zach Pascal,IND,TEN,Sun 01:00 EST,WR,1.90%,5400,WR,2.00%,4700
Mike Gesicki,MIA,PHI,Sun 01:00 EST,TE,1.80%,5000,TE,2.50%,3600
Willie Snead,BAL,SF,Sun 01:00 EST,WR,1.80%,4600,WR,2.10%,3600
Peyton Barber,TB,JAC,Sun 01:00 EST,RB,1.80%,5400,RB,2.00%,3500
Alex Erickson,CIN,NYJ,Sun 01:00 EST,WR,1.60%,4700,WR,1.90%,4000
JJ Arcega-Whiteside,PHI,MIA,Sun 01:00 EST,WR,1.50%,4900,WR,2.10%,3200
Kalen Ballage,MIA,PHI,Sun 01:00 EST,RB,1.50%,5300,RB,1.60%,4000
Tim Patrick,DEN,LAC,Sun 04:25 EST,WR,1.40%,5100,WR,2.10%,3000
Royce Freeman,DEN,LAC,Sun 04:25 EST,RB,1.40%,5300,RB,1.40%,4200
Diontae Johnson,PIT,CLE,Sun 01:00 EST,WR,1.30%,5300,WR,1.40%,4500
Adrian Peterson,WAS,CAR,Sun 01:00 EST,RB,1.20%,5800,RB,1.40%,3900
David Johnson,ARI,LA,Sun 04:05 EST,RB,1.20%,5700,RB,1.20%,4600
Tyler Eifert,CIN,NYJ,Sun 01:00 EST,TE,1.10%,4700,TE,1.80%,2800
Nelson Agholor,PHI,MIA,Sun 01:00 EST,WR,1.10%,4800,WR,1.10%,4400
Isaiah Ford,MIA,PHI,Sun 01:00 EST,WR,1.00%,4500,WR,0.00%,-
Marquez Valdes-Scantling,GB,NYG,Sun 01:00 EST,WR,1.00%,5400,WR,1.20%,4100
Dare Ogunbowale,TB,JAC,Sun 01:00 EST,RB,1.00%,4700,RB,1.40%,3100
Larry Fitzgerald,ARI,LA,Sun 04:05 EST,WR,1.00%,5700,WR,1.00%,5100
Raheem Mostert,SF,BAL,Sun 01:00 EST,RB,1.00%,4800,RB,1.00%,3800
Jalen Richard,OAK,KC,Sun 04:25 EST,RB,1.00%,5000,RB,1.10%,4200
Demarcus Robinson,KC,OAK,Sun 04:25 EST,WR,1.00%,4600,WR,1.10%,3700
Kaden Smith,NYG,GB,Sun 01:00 EST,TE,0.90%,4000,TE,1.10%,2900
Chase Edmonds,ARI,LA,Sun 04:05 EST,RB,0.90%,5000,RB,0.80%,4500
Kyle Allen,CAR,WAS,Sun 01:00 EST,QB,0.90%,7200,QB,0.90%,5500
Austin Ekeler,LAC,DEN,Sun 04:25 EST,RB,0.90%,6700,RB,0.90%,5700
Baker Mayfield,CLE,PIT,Sun 01:00 EST,QB,0.90%,7600,QB,0.90%,6200
Vance McDonald,PIT,CLE,Sun 01:00 EST,TE,0.80%,5000,TE,1.10%,3400
Adam Humphries,TEN,IND,Sun 01:00 EST,WR,0.80%,5300,WR,1.00%,3800
Dion Lewis,TEN,IND,Sun 01:00 EST,RB,0.80%,4700,RB,1.00%,3400
Gus Edwards,BAL,SF,Sun 01:00 EST,RB,0.80%,5400,RB,0.70%,4600
Derek Carr,OAK,KC,Sun 04:25 EST,QB,0.80%,7200,QB,0.80%,5500
Mo Alie-Cox,IND,TEN,Sun 01:00 EST,TE,0.70%,4000,TE,1.10%,2500
Corey Davis,TEN,IND,Sun 01:00 EST,WR,0.70%,5200,WR,0.80%,4000
Albert Wilson,MIA,PHI,Sun 01:00 EST,WR,0.70%,4700,WR,0.70%,3900
Jonnu Smith,TEN,IND,Sun 01:00 EST,TE,0.70%,5300,TE,1.00%,3300
Jimmy Graham,GB,NYG,Sun 01:00 EST,TE,0.70%,5800,TE,0.90%,3800
Tyler Higbee,LA,ARI,Sun 04:05 EST,TE,0.70%,5500,TE,1.40%,2500
Trey Quinn,WAS,CAR,Sun 01:00 EST,WR,0.70%,4700,WR,0.80%,3500
Nick Boyle,BAL,SF,Sun 01:00 EST,TE,0.60%,4800,TE,1.00%,2700
Matt Breida,SF,BAL,Sun 01:00 EST,RB,0.60%,5900,RB,0.60%,4900
Jaylen Samuels,PIT,CLE,Sun 01:00 EST,RB,0.60%,5500,RB,0.50%,5700
Nick O'Leary,JAC,TB,Sun 01:00 EST,TE,0.60%,4800,TE,0.80%,3200
DeAndre Washington,OAK,KC,Sun 04:25 EST,RB,0.60%,5000,RB,0.80%,3000
Geronimo Allison,GB,NYG,Sun 01:00 EST,WR,0.60%,4900,WR,0.70%,3800
Giovani Bernard,CIN,NYJ,Sun 01:00 EST,RB,0.50%,4700,RB,0.50%,4100
Keelan Cole,JAC,TB,Sun 01:00 EST,WR,0.50%,5100,WR,0.70%,3600
Jeremy Sprinkle,WAS,CAR,Sun 01:00 EST,TE,0.50%,4500,TE,0.80%,2700
Cameron Brate,TB,JAC,Sun 01:00 EST,TE,0.50%,5000,TE,0.70%,3100
David Njoku,CLE,PIT,Sun 01:00 EST,TE,0.50%,4900,TE,0.70%,3500
Malcolm Brown,LA,ARI,Sun 04:05 EST,RB,0.50%,4900,RB,0.30%,5200
Hayden Hurst,BAL,SF,Sun 01:00 EST,TE,0.50%,4500,TE,0.80%,2500
Chester Rogers,IND,TEN,Sun 01:00 EST,WR,0.40%,5200,WR,0.60%,3400
Patrick Laird,MIA,PHI,Sun 01:00 EST,RB,0.40%,4900,RB,0.50%,3200
Bilal Powell,NYJ,CIN,Sun 01:00 EST,RB,0.40%,4900,RB,0.40%,4000
Cody Latimer,NYG,GB,Sun 01:00 EST,WR,0.40%,4600,WR,0.50%,3000
Jacoby Brissett,IND,TEN,Sun 01:00 EST,QB,0.40%,7200,QB,0.40%,5900
Breshad Perriman,TB,JAC,Sun 01:00 EST,WR,0.30%,4900,WR,0.50%,3300
Parris Campbell,IND,TEN,Sun 01:00 EST,WR,0.30%,5000,WR,0.50%,3200
Rashard Higgins,CLE,PIT,Sun 01:00 EST,WR,0.30%,4500,WR,0.50%,3000
Ty Montgomery,NYJ,CIN,Sun 01:00 EST,RB,0.30%,4600,RB,0.30%,4400
Philip Rivers,LAC,DEN,Sun 04:25 EST,QB,0.30%,7300,QB,0.30%,5500
Daniel Jones,NYG,GB,Sun 01:00 EST,QB,0.30%,7400,QB,0.30%,5600
