Player Name,Team,def_sack,def_int,def_fr,def_ff,def_td,def_assist,def_safety,def_pa,def_tyda,fpts
Cincinnati Bengals,CIN,3.4,1.4,0.6,0.9,0.2,0.0,0.0,16.1,292.2,9.5
Seattle Seahawks,SEA,2.9,1.2,0.8,1.1,0.2,0.0,0.0,17.4,326.9,9.1
Jacksonville Jaguars,JAC,2.8,1.0,0.9,1.6,0.2,0.0,0.0,18.6,305.1,8.6
Green Bay Packers,GB,2.4,1.1,0.8,1.5,0.2,0.0,0.1,19.1,347.6,8.5
Pittsburgh Steelers,PIT,2.4,1.1,0.7,1.1,0.2,0.0,0.0,17.8,289.0,8.0
Arizona Cardinals,ARI,2.5,0.9,0.7,1.2,0.2,0.0,0.0,16.8,279.6,7.9
Tampa Bay Buccaneers,TB,2.1,1.1,0.7,1.1,0.2,0.0,0.0,18.9,333.4,7.6
Dallas Cowboys,DAL,2.3,0.9,0.7,1.2,0.2,0.0,0.1,19.5,309.1,7.6
New England Patriots,NE,2.3,1.0,0.6,0.9,0.2,0.0,0.0,19.2,338.5,7.5
Philadelphia Eagles,PHI,2.3,1.1,0.8,1.4,0.2,0.0,0.0,22.2,345.1,7.3
Tennessee Titans,TEN,2.8,1.0,0.6,0.9,0.2,0.0,0.0,20.7,316.0,7.3
Los Angeles Chargers,LAC,2.6,1.0,0.7,1.2,0.2,0.0,0.0,22.9,348.7,6.9
Oakland Raiders,OAK,2.4,1.0,0.7,1.3,0.2,0.0,0.0,22.8,356.2,6.8
Kansas City Chiefs,KC,2.0,1.0,0.8,1.5,0.2,0.0,0.0,21.9,389.5,6.8
New York Giants,NYG,2.1,1.0,0.7,1.0,0.2,0.0,0.0,20.4,329.1,6.5
San Francisco 49ers,SF,2.0,0.9,0.8,1.5,0.2,0.0,0.1,25.1,377.8,6.5
Minnesota Vikings,MIN,2.4,0.8,0.6,0.9,0.2,0.0,0.0,20.0,338.8,6.2
Baltimore Ravens,BAL,1.7,1.1,0.6,0.9,0.2,0.0,0.0,20.2,335.6,6.0
Chicago Bears,CHI,2.7,0.6,0.6,0.9,0.1,0.0,0.0,27.2,389.9,6.0
New Orleans Saints,NO,2.0,0.8,0.6,1.2,0.2,0.0,0.0,23.2,358.8,5.9
Denver Broncos,DEN,2.0,0.8,0.6,1.2,0.2,0.0,0.0,20.6,297.3,5.9
Cleveland Browns,CLE,2.1,0.8,0.6,0.9,0.2,0.0,0.0,22.4,357.8,5.8
New York Jets,NYJ,2.0,0.8,0.6,1.1,0.1,0.0,0.0,20.7,319.7,5.8
Detroit Lions,DET,2.0,0.8,0.6,0.9,0.2,0.0,0.0,21.9,324.3,5.7
Atlanta Falcons,ATL,2.4,0.7,0.5,0.8,0.1,0.0,0.0,21.3,347.6,5.7
Washington Redskins,WAS,2.2,0.6,0.6,1.1,0.1,0.0,0.0,26.3,363.2,5.6
Miami Dolphins,MIA,1.8,0.8,0.6,0.9,0.2,0.0,0.0,26.4,424.4,5.6
Carolina Panthers,CAR,2.3,0.6,0.6,1.0,0.1,0.0,0.1,28.0,372.0,5.5
Indianapolis Colts,IND,2.3,0.6,0.5,0.9,0.2,0.0,0.0,26.8,379.4,5.5
Houston Texans,HOU,1.9,0.7,0.6,1.1,0.1,0.0,0.0,21.9,342.1,5.5
Buffalo Bills,BUF,2.2,0.7,0.4,0.6,0.1,0.0,0.0,28.1,398.7,5.3
Los Angeles Rams,LAR,2.0,0.5,0.6,1.0,0.1,0.0,0.0,26.7,371.2,5.0
