Albert Wilson,1.15,,
Chargers,0.95,,
Chiefs,0.95,,
Corey Davis,1.08,,
D.J. Moore,1.1,,
Dante Pettis,1.3,,
Dede Westbrook,1.025,,
Delanie Walker,1.03,,
DeVante Parker,0.001,,
Donte Moncrief,1.1,,
Giants,0.95,,
James Conner,1.5,,
James White,1.05,,
Jaron Brown,1.05,,
Jaylen Samuel,6,,
Jeremy Kerley,1.45,,
Jesse James,1.5,,
John Brown,1.05,,
John Ross,1.15,,
Keelan Cole,1.2,,
Keenan Allen,1.03,,
Kenny Stills,1.15,,
Laquon Treadwell,1.25,,
Le'Veon Bell,0.0001,,
Matt Breida,1.1,,
Nick Boyle,1.25,,
Nick Vannett,1.3,,
Patrick Mahomes,1.05,,
Philip Rivers,1.05,,
Rex Burkhead,0.95,,
Rishard Matthews,0.85,,
Taywan Taylor,1.15,,
Tre'Quan Smith,1.325,,
Tyler Boyd,1.05,,
Tyler Lockett,1.05,,
Tyrell Williams,1.05,,
Vance McDonald,0.0001,,
Virgil Green,1.5,,
Will Fuller,0.0001,,
Bruce Ellington,1.7,,
Chris Carson,1.4,,
Cody Core,0.0001,,
Robert Turbin,0.0001,,
Aaron Jones,0.0001,,
Hayden Hurst,0.0001,,
Curtis Samuel,0.0001,,
DeAndre Washington,0.0001,, 
Jermaine Kearse,0.0001,,
Sammie Coates,1.0001,,
Keke Coutee,0.0001,,
Marlon Mack,0.00001,,
Sony Michel,0.00001,,
Chris Godwin,1.15,,
DeSean Jackson,0.9,,
Jeremy Hill,2.7,,
Stefon Diggs,1.05,,
Jordan Wilkins,1.35,,
Cameron Meredith,0.0001,,
Danny Amendola,1.15,,
Josh Gordon,0.7,,
Royce Freeman,1.1,,
Sammie Coates,7.5,,
