Player,Ownership
Name,pOWN%
Kyler Murray,13.58%
Ryan Tannehill,12.08%
Deshaun Watson,12.08%
Patrick Mahomes,7.58%
Jameis Winston,6.37%
Jimmy Garoppolo,5.81%
Eli Manning,5.81%
Dak Prescott,4.96%
Jared Goff,4.59%
Russell Wilson,3.84%
Gardner Minshew,3.56%
Baker Mayfield,2.81%
Ryan Fitzpatrick,2.15%
David Blough,2.06%
Kirk Cousins,1.97%
Derek Carr,1.87%
Carson Wentz,1.40%
Tom Brady,1.12%
Aaron Rodgers,1.03%
Drew Lock,1.03%
Matt Ryan,1.03%
Philip Rivers,0.94%
Mitchell Trubisky,0.84%
Kyle Allen,0.84%
Andy Dalton,0.56%
Dwayne Haskins,0.10%
Jacoby Brissett,0.00%
Drew Brees,0.00%
Josh Allen,0.00%
Devlin Hodges,0.00%
,
