"Player","Team","Opp","Time","FD Pos","FD Own","FD Sal","DK Pos","DK Own","DK Sal"
"Matt Breida","SF","ATL","Sun 04:25 EST","RB","3.7%","5600","RB","4.4%","4100"
"Deebo Samuel","SF","ATL","Sun 04:25 EST","WR","3.7%","6500","WR","4.0%","5800"
"Joe Mixon","CIN","NE","Sun 01:00 EST","RB","3.6%","6700","RB","3.3%","6100"
"Chris Conley","JAC","OAK","Sun 04:05 EST","WR","3.6%","5100","WR","5.0%","3600"
"Curtis Samuel","CAR","SEA","Sun 01:00 EST","WR","3.5%","5600","WR","4.3%","4400"
"Ronald Jones","TB","DET","Sun 01:00 EST","RB","3.5%","5800","RB","3.7%","4600"
"David Njoku","CLE","ARI","Sun 04:05 EST","TE","3.4%","5500","TE","4.0%","4200"
"Keenan Allen","LAC","MIN","Sun 04:05 EST","WR","3.3%","6800","WR","3.5%","6300"
"Will Fuller","HOU","TEN","Sun 01:00 EST","WR","3.2%","6600","WR","3.6%","5600"
"Evan Engram","NYG","MIA","Sun 01:00 EST","TE","3.2%","6400","TE","3.8%","4900"
"Noah Fant","DEN","KC","Sun 01:00 EST","TE","3.2%","5700","TE","4.0%","4100"
"Anthony Miller","CHI","GB","Sun 01:00 EST","WR","3.2%","6300","WR","3.8%","5100"
"Mike Gesicki","MIA","NYG","Sun 01:00 EST","TE","3.1%","5200","TE","3.7%","4000"
"Adrian Peterson","WAS","PHI","Sun 01:00 EST","RB","3.1%","6300","RB","3.5%","4400"
"Austin Ekeler","LAC","MIN","Sun 04:05 EST","RB","3.0%","7200","RB","3.0%","6700"
"Russell Gage","ATL","SF","Sun 04:25 EST","WR","2.9%","5400","WR","3.1%","5000"
"Adam Thielen","MIN","LAC","Sun 04:05 EST","WR","2.9%","7300","WR","3.3%","6300"
"Darwin Thompson","KC","DEN","Sun 01:00 EST","RB","2.9%","5400","RB","3.2%","4100"
"Carlos Hyde","HOU","TEN","Sun 01:00 EST","RB","2.7%","6000","RB","2.8%","4500"
"Jalen Richard","OAK","JAC","Sun 04:05 EST","RB","2.7%","5500","RB","3.7%","3700"
"Kyler Murray","ARI","CLE","Sun 04:05 EST","QB","2.7%","7600","QB","2.7%","5600"
"Tevin Coleman","SF","ATL","Sun 04:25 EST","RB","2.6%","5200","RB","2.8%","4000"
"Dede Westbrook","JAC","OAK","Sun 04:05 EST","WR","2.6%","6000","WR","3.4%","4600"
"Devonta Freeman","ATL","SF","Sun 04:25 EST","RB","2.6%","6100","RB","2.3%","5800"
"Jamaal Williams","GB","CHI","Sun 01:00 EST","RB","2.5%","5400","RB","2.8%","4200"
"Tyler Boyd","CIN","NE","Sun 01:00 EST","WR","2.5%","6300","WR","2.8%","5500"
"Dallas Goedert","PHI","WAS","Sun 01:00 EST","TE","2.4%","5700","TE","2.9%","4300"
"D.J. Chark","JAC","OAK","Sun 04:05 EST","WR","2.4%","6300","WR","2.4%","6200"
"Ryan Fitzpatrick","MIA","NYG","Sun 01:00 EST","QB","2.3%","7300","QB","2.0%","6200"
"Kareem Hunt","CLE","ARI","Sun 04:05 EST","RB","2.3%","6700","RB","2.3%","6300"
"Allen Hurns","MIA","NYG","Sun 01:00 EST","WR","2.3%","5800","WR","2.7%","4700"
"DeAndre Washington","OAK","JAC","Sun 04:05 EST","RB","2.2%","6300","RB","2.6%","4700"
"Aaron Rodgers","GB","CHI","Sun 01:00 EST","QB","2.1%","8000","QB","2.0%","6300"
"Adam Humphries","TEN","HOU","Sun 01:00 EST","WR","2.1%","5400","WR","3.0%","3700"
"Duke Johnson","HOU","TEN","Sun 01:00 EST","RB","2.1%","5700","RB","2.7%","4100"
"Derek Carr","OAK","JAC","Sun 04:05 EST","QB","2.0%","7300","QB","2.0%","5600"
"Sammy Watkins","KC","DEN","Sun 01:00 EST","WR","2.0%","5400","WR","2.1%","4900"
"Jacob Hollister","SEA","CAR","Sun 01:00 EST","TE","1.8%","5700","TE","2.4%","3800"
"Bo Scarbrough","DET","TB","Sun 01:00 EST","RB","1.8%","5900","RB","2.1%","4000"
"Mike Williams","LAC","MIN","Sun 04:05 EST","WR","1.8%","6200","WR","2.3%","4600"
"Carson Wentz","PHI","WAS","Sun 01:00 EST","QB","1.8%","7700","QB","1.6%","6200"
"Josh Gordon","SEA","CAR","Sun 01:00 EST","WR","1.7%","4800","WR","2.1%","3700"
"C.J. Prosise","SEA","CAR","Sun 01:00 EST","RB","1.7%","4600","RB","1.8%","3700"
"John Ross","CIN","NE","Sun 01:00 EST","WR","1.7%","4900","WR","2.1%","3900"
"Zay Jones","OAK","JAC","Sun 04:05 EST","WR","1.7%","4700","WR","2.1%","3500"
"Royce Freeman","DEN","KC","Sun 01:00 EST","RB","1.7%","5300","RB","1.9%","4000"
"Mohamed Sanu","NE","CIN","Sun 01:00 EST","WR","1.6%","5800","WR","2.1%","4300"
"Danny Amendola","DET","TB","Sun 01:00 EST","WR","1.6%","5400","WR","2.1%","4100"
"Tyler Higbee","LA","DAL","Sun 04:25 EST","TE","1.6%","5700","TE","2.1%","3900"
"Peyton Barber","TB","DET","Sun 01:00 EST","RB","1.5%","5700","RB","1.6%","4400"
"Matt Ryan","ATL","SF","Sun 04:25 EST","QB","1.5%","7600","QB","1.5%","5900"
