"Pos","Player","Tm","Opp","DK Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","DK LEV"
"RB","Christian McCaffrey","CAR","@NO","10500","22.5%","52%","24%","32%","1.42"
"WR","Michael Thomas","NO","CAR","9300","27.5%","70%","35%","39%","1.41"
"RB","Alvin Kamara","NO","CAR","8200","32.5%","61%","24%","32%","0.99"
"RB","Nick Chubb","CLE","MIA","8100","22.5%","46%","15%","20%","0.89"
"WR","Julio Jones","ATL","TB","8000","27.5%","61%","24%","27%","0.98"
"RB","Saquon Barkley","NYG","@CHI","7900","17.5%","49%","14%","19%","1.11"
"WR","Tyler Lockett","SEA","@PHI","7600","12.5%","43%","11%","12%","0.98"
"RB","Ezekiel Elliott","DAL","@NE","7500","7.5%","40%","9%","13%","1.68"
"RB","Josh Jacobs","OAK","@NYJ","7400","12.5%","44%","12%","16%","1.26"
"RB","Leonard Fournette","JAX","@TEN","7300","12.5%","44%","10%","14%","1.10"
"WR","Mike Evans","TB","@ATL","7300","27.5%","61%","23%","26%","0.94"
"WR","Chris Godwin","TB","@ATL","7200","22.5%","45%","13%","14%","0.62"
"RB","Jaylen Samuels","PIT","@CIN","7200","12.5%","31%","6%","8%","0.60"
"WR","Odell Beckham","CLE","MIA","7000","17.5%","45%","12%","13%","0.76"
"RB","Derrick Henry","TEN","JAX","6900","17.5%","50%","15%","20%","1.15"
"WR","Julian Edelman","NE","DAL","6900","17.5%","46%","13%","14%","0.80"
"QB","Russell Wilson","SEA","@PHI","6800","12.5%","48%","19%","9%","0.70"
"RB","Chris Carson","SEA","@PHI","6700","7.5%","37%","7%","9%","1.26"
"WR","John Brown","BUF","DEN","6700","12.5%","38%","8%","9%","0.69"
"QB","Matt Ryan","ATL","TB","6700","17.5%","52%","21%","10%","0.55"
"WR","Kenny Golladay","DET","@WAS","6600","7.5%","36%","8%","9%","1.18"
"WR","Amari Cooper","DAL","@NE","6600","7.5%","36%","7%","8%","1.09"
"QB","Drew Brees","NO","CAR","6600","7.5%","45%","14%","7%","0.87"
"WR","Allen Robinson","CHI","NYG","6500","7.5%","41%","9%","10%","1.31"
"WR","Calvin Ridley","ATL","TB","6500","17.5%","47%","13%","14%","0.79"
"RB","LeVeon Bell","NYJ","OAK","6400","12.5%","47%","11%","15%","1.21"
"WR","D.J. Chark","JAX","@TEN","6400","12.5%","46%","13%","14%","1.12"
"QB","Josh Allen","BUF","DEN","6400","7.5%","39%","13%","6%","0.83"
"WR","D.J. Moore","CAR","@NO","6400","12.5%","41%","9%","10%","0.80"
"WR","DK Metcalf","SEA","@PHI","6300","7.5%","33%","6%","7%","0.88"
"WR","Jarvis Landry","CLE","MIA","6300","12.5%","39%","8%","9%","0.73"
"WR","Jamison Crowder","NYJ","OAK","6200","7.5%","40%","8%","9%","1.24"
"WR","Courtland Sutton","DEN","@BUF","6200","7.5%","39%","8%","9%","1.17"
"QB","Jameis Winston","TB","@ATL","6200","12.5%","46%","17%","8%","0.62"
"RB","Latavius Murray","NO","CAR","6100","0.5%","19%","2%","2%","4.87"
"QB","Derek Carr","OAK","@NYJ","6100","3.0%","35%","9%","4%","1.43"
"WR","Marvin Jones","DET","@WAS","6100","7.5%","38%","8%","9%","1.19"
"QB","Dak Prescott","DAL","@NE","6000","3.0%","40%","13%","6%","2.02"
"WR","Terry McLaurin","WAS","DET","6000","7.5%","37%","7%","8%","1.09"
"TE","Zach Ertz","PHI","SEA","6000","17.5%","46%","6%","16%","0.90"
"QB","Tom Brady","NE","DAL","6000","7.5%","36%","10%","5%","0.61"
"RB","Joe Mixon","CIN","PIT","5900","3.0%","35%","6%","8%","2.68"
"WR","Michael Gallup","DAL","@NE","5900","3.0%","35%","6%","6%","2.06"
"QB","Baker Mayfield","CLE","MIA","5900","7.5%","39%","12%","6%","0.75"
"WR","Tyrell Williams","OAK","@NYJ","5900","12.5%","38%","8%","9%","0.74"
