"Player","Team","Opp","Time","FD Pos","FD Own","FD Sal","DK Pos","DK Own","DK Sal"
"Julio Jones","ATL","TB","Sun 01:00 EST","WR","34.6%","8400","WR","27.1%","8000"
"Zach Ertz","PHI","SEA","Sun 01:00 EST","TE","31.5%","6100","TE","17.2%","6000"
"Alvin Kamara","NO","CAR","Sun 01:00 EST","RB","31.0%","8300","RB","31.1%","8200"
"Nick Chubb","CLE","MIA","Sun 01:00 EST","RB","29.1%","8200","RB","17.5%","8100"
"Leonard Fournette","JAC","TEN","Sun 04:05 EST","RB","24.1%","7000","RB","7.2%","7300"
"Miles Sanders","PHI","SEA","Sun 01:00 EST","RB","24.0%","5600","RB","12.8%","5000"
"Odell Beckham","CLE","MIA","Sun 01:00 EST","WR","22.7%","7000","WR","22.0%","7000"
"Matt Ryan","ATL","TB","Sun 01:00 EST","QB","21.4%","7900","QB","23.2%","6700"
"Calvin Ridley","ATL","TB","Sun 01:00 EST","WR","18.6%","6700","WR","18.3%","6500"
"Darren Waller","OAK","NYJ","Sun 01:00 EST","TE","16.5%","6200","TE","18.9%","5700"
"Michael Thomas","NO","CAR","Sun 01:00 EST","WR","15.7%","9200","WR","15.2%","9300"
"Jameis Winston","TB","ATL","Sun 01:00 EST","QB","15.4%","7600","QB","17.4%","6200"
"Tyler Lockett","SEA","PHI","Sun 01:00 EST","WR","14.9%","7400","WR","7.1%","7600"
"Baker Mayfield","CLE","MIA","Sun 01:00 EST","QB","14.6%","7500","QB","17.0%","5900"
"Le'Veon Bell","NYJ","OAK","Sun 01:00 EST","RB","14.1%","7300","RB","15.2%","6400"
"Mike Evans","TB","ATL","Sun 01:00 EST","WR","13.1%","8000","WR","13.5%","7300"
"Carson Wentz","PHI","SEA","Sun 01:00 EST","QB","12.7%","7300","QB","5.1%","5600"
"Brian Hill","ATL","TB","Sun 01:00 EST","RB","12.0%","5500","RB","12.6%","4900"
"Russell Wilson","SEA","PHI","Sun 01:00 EST","QB","11.2%","8200","QB","8.2%","6800"
"Chris Carson","SEA","PHI","Sun 01:00 EST","RB","10.5%","7700","RB","11.2%","6700"
"Christian McCaffrey","CAR","NO","Sun 01:00 EST","RB","10.4%","10500","RB","9.8%","10500"
"DeVante Parker","MIA","CLE","Sun 01:00 EST","WR","10.2%","6000","WR","11.3%","5200"
"David Montgomery","CHI","NYG","Sun 01:00 EST","RB","9.9%","6600","RB","10.7%","5500"
"Jarvis Landry","CLE","MIA","Sun 01:00 EST","WR","9.7%","6900","WR","10.3%","6300"
"Josh Jacobs","OAK","NYJ","Sun 01:00 EST","RB","9.5%","8000","RB","9.3%","7400"
"Julian Edelman","NE","DAL","Sun 04:25 EST","WR","9.3%","7500","WR","9.6%","6900"
"Derrick Henry","TEN","JAC","Sun 04:05 EST","RB","9.0%","8400","RB","9.6%","6900"
"Chris Godwin","TB","ATL","Sun 01:00 EST","WR","8.8%","7800","WR","9.1%","7200"
"D.J. Moore","CAR","NO","Sun 01:00 EST","WR","7.6%","6400","WR","7.3%","6400"
"Saquon Barkley","NYG","CHI","Sun 01:00 EST","RB","7.6%","7900","RB","7.2%","7900"
"Curtis Samuel","CAR","NO","Sun 01:00 EST","WR","7.5%","5700","WR","7.6%","5400"
"Ezekiel Elliott","DAL","NE","Sun 04:25 EST","RB","7.3%","8100","RB","7.2%","7500"
"Russell Gage","ATL","TB","Sun 01:00 EST","WR","7.1%","5300","WR","9.4%","3900"
"Allen Robinson","CHI","NYG","Sun 01:00 EST","WR","6.8%","7500","WR","7.4%","6500"
"James White","NE","DAL","Sun 04:25 EST","RB","6.5%","6100","RB","7.7%","5300"
"Tyrell Williams","OAK","NYJ","Sun 01:00 EST","WR","6.4%","6400","WR","6.7%","5900"
"Kareem Hunt","CLE","MIA","Sun 01:00 EST","RB","6.3%","5600","RB","6.4%","5600"
"Vance McDonald","PIT","CIN","Sun 01:00 EST","TE","6.3%","5300","TE","10.1%","3500"
"Ryan Griffin","NYJ","OAK","Sun 01:00 EST","TE","6.2%","5600","TE","8.8%","4200"
"Michael Gallup","DAL","NE","Sun 04:25 EST","WR","6.2%","6800","WR","6.8%","5900"
"Amari Cooper","DAL","NE","Sun 04:25 EST","WR","6.1%","7700","WR","6.8%","6600"
"Kenny Golladay","DET","WAS","Sun 01:00 EST","WR","6.0%","7800","WR","6.8%","6600"
"Latavius Murray","NO","CAR","Sun 01:00 EST","RB","5.9%","5400","RB","4.7%","6100"
"John Brown","BUF","DEN","Sun 01:00 EST","WR","5.9%","6500","WR","5.5%","6700"
"Tyler Boyd","CIN","PIT","Sun 01:00 EST","WR","5.9%","5600","WR","6.4%","5000"
"Greg Olsen","CAR","NO","Sun 01:00 EST","TE","5.4%","5100","TE","7.1%","4100"
"Jaylen Samuels","PIT","CIN","Sun 01:00 EST","RB","5.3%","6900","RB","4.9%","7200"
"Sony Michel","NE","DAL","Sun 04:25 EST","RB","5.2%","6300","RB","6.1%","4600"
"Nelson Agholor","PHI","SEA","Sun 01:00 EST","WR","5.1%","4800","WR","5.8%","4100"
"Drew Brees","NO","CAR","Sun 01:00 EST","QB","4.9%","8500","QB","5.8%","6600"
"James Washington","PIT","CIN","Sun 01:00 EST","WR","4.9%","6100","WR","5.7%","5000"
"Jared Cook","NO","CAR","Sun 01:00 EST","TE","4.5%","6000","TE","6.2%","4500"
"Courtland Sutton","DEN","BUF","Sun 01:00 EST","WR","4.3%","6800","WR","4.5%","6200"
"D.J. Chark","JAC","TEN","Sun 04:05 EST","WR","4.3%","7000","WR","4.5%","6400"
"Phillip Lindsay","DEN","BUF","Sun 01:00 EST","RB","4.2%","6300","RB","4.7%","5200"
"Hunter Renfrow","OAK","NYJ","Sun 01:00 EST","WR","4.2%","5900","WR","5.4%","4500"
"Noah Fant","DEN","BUF","Sun 01:00 EST","TE","4.1%","5100","TE","5.8%","3900"
"Dak Prescott","DAL","NE","Sun 04:25 EST","QB","4.1%","8100","QB","5.1%","6000"
"Jamison Crowder","NYJ","OAK","Sun 01:00 EST","WR","4.0%","6500","WR","4.1%","6200"
"Phillip Dorsett","NE","DAL","Sun 04:25 EST","WR","4.0%","5400","WR","5.1%","4100"
"Dallas Goedert","PHI","SEA","Sun 01:00 EST","TE","3.9%","5200","TE","5.8%","3700"
"Terry McLaurin","WAS","DET","Sun 01:00 EST","WR","3.9%","5800","WR","3.7%","6000"
"Robby Anderson","NYJ","OAK","Sun 01:00 EST","WR","3.8%","5400","WR","4.0%","4800"
"Alshon Jeffery","PHI","SEA","Sun 01:00 EST","WR","3.7%","6200","WR","4.5%","4900"
"Ronald Jones","TB","ATL","Sun 01:00 EST","RB","3.7%","6000","RB","4.3%","4800"
"Tom Brady","NE","DAL","Sun 04:25 EST","QB","3.7%","7700","QB","4.3%","6000"
"Derek Carr","OAK","NYJ","Sun 01:00 EST","QB","3.5%","7400","QB","3.9%","6100"
"Golden Tate","NYG","CHI","Sun 01:00 EST","WR","3.5%","6400","WR","3.8%","5700"
"D.K. Metcalf","SEA","PHI","Sun 01:00 EST","WR","3.4%","6700","WR","3.5%","6300"
"Kalen Ballage","MIA","CLE","Sun 01:00 EST","RB","3.4%","5500","RB","4.0%","4400"
"Josh Gordon","SEA","PHI","Sun 01:00 EST","WR","3.4%","5100","WR","3.9%","4200"
