Player Name,Team,def_sack,def_int,def_fr,def_ff,def_td,def_safety,def_pa,def_tyda,fpts
Buffalo Bills,BUF,3.1,1.4,0.7,1.1,0.2,0.0,16.0,283.6,9.5
San Francisco 49ers,SF,3.9,0.9,0.7,1.2,0.2,0.0,17.0,302.0,9.3
New Orleans Saints,NO,3.5,1.4,0.9,1.4,0.2,0.0,20.9,367.6,9.3
Dallas Cowboys,DAL,3.3,1.1,0.7,1.3,0.2,0.0,18.6,304.7,9.0
Pittsburgh Steelers,PIT,3.3,1.1,0.7,1.2,0.2,0.0,20.0,344.9,9.0
Minnesota Vikings,MIN,3.2,1.2,0.6,0.9,0.2,0.0,14.5,311.0,8.8
Los Angeles Rams,LAR,3.2,0.9,0.7,1.2,0.2,0.1,16.8,282.8,8.7
Washington Redskins,WAS,3.2,1.0,0.7,1.3,0.1,0.1,18.2,279.3,8.5
Oakland Raiders,OAK,2.5,1.1,0.7,1.2,0.2,0.0,19.3,317.3,8.0
New York Jets,NYJ,2.8,1.1,0.6,1.0,0.1,0.0,19.3,271.5,8.0
New England Patriots,NE,2.5,0.9,0.8,1.4,0.1,0.1,18.3,331.9,7.8
Carolina Panthers,CAR,2.9,0.9,0.8,1.3,0.2,0.0,21.9,363.6,7.4
Cleveland Browns,CLE,1.8,1.0,0.7,1.3,0.2,0.0,19.7,329.3,7.3
Atlanta Falcons,ATL,2.9,0.9,0.6,1.0,0.2,0.1,26.1,362.9,7.1
Kansas City Chiefs,KC,2.5,1.0,0.6,1.0,0.2,0.0,23.3,362.2,6.9
Baltimore Ravens,BAL,2.7,0.9,0.7,0.9,0.1,0.0,21.5,363.3,6.6
Miami Dolphins,MIA,2.4,1.0,0.5,0.7,0.2,0.0,22.6,339.2,6.5
Arizona Cardinals,ARI,2.5,0.8,0.7,1.2,0.1,0.0,26.3,374.4,6.4
Indianapolis Colts,IND,2.4,0.7,0.7,1.4,0.1,0.0,20.2,337.4,6.3
Chicago Bears,CHI,2.4,0.8,0.6,0.9,0.1,0.1,21.4,354.8,6.1
Houston Texans,HOU,2.2,0.8,0.7,1.1,0.1,0.0,26.1,379.6,5.8
Jacksonville Jaguars,JAC,2.3,0.7,0.5,0.8,0.1,0.1,21.4,317.4,5.8
Denver Broncos,DEN,2.3,0.6,0.6,0.9,0.1,0.0,24.0,359.5,5.5
Detroit Lions,DET,2.0,0.7,0.6,1.0,0.1,0.0,25.2,417.6,5.5
Tampa Bay Buccaneers,TB,1.9,0.6,0.6,1.0,0.1,0.0,27.2,378.2,5.3
Philadelphia Eagles,PHI,1.9,0.7,0.5,0.8,0.1,0.0,23.2,365.2,5.0
Los Angeles Chargers,LAC,2.1,0.5,0.5,0.7,0.1,0.0,25.7,422.9,4.9
Cincinnati Bengals,CIN,1.8,0.6,0.5,0.7,0.1,0.0,27.4,390.4,4.5
