Miles Boykin,0.0001,BAL,
Nick Boyle,0.0001,BAL,
Brandon Zylstra,1.25,CAR,
Shi Smith,0.0001,CAR,
Rashard Higgins,0.5,CLE,
Austin Hooper,1,CLE,Other two TE out.
Tony Pollard,0.0001,DAL,
Brock Wright,1.75,DET,
T.J. Hockenson,0.00001,DET,Doubtful
Kalif Raymond,1.1,DET,
Pharaoh Brown,1.3,HOU,
Chris Moore,0.0001,HOU,
Laviska Shenault Jr.,0.8,JAC,
Jacob Hollister,0.0001,JAC,
Mecole Hardman,0.5,KC,
Byron Pringle,1.1,KC,
DeSean Jackson,0.5,LV,
Darren Waller,0.0001,LV,
Lil'Jordan Humphrey,0.0001,NO,
Keelan Cole Sr.,1.1,NYJ,
Denzel Mims,1.35,NYJ,
Travis Homer,0.0001,SEA,
Breshad Perriman,1.2,TB,
Dez Fitzpatrick,0.0001,TEN,
Curtis Samuel,0.5,WAS,
Adam Humphries,1.2,WAS,
Ezekiel Elliott,1.05,DAL,
Antonio Gibson,1.05,WAS,
