Name_ID,ID,Pos
Ryan Switzer (11617575),11617575,WR
Jordan Matthews (11617579),11617579,WR
Alex Erickson (11617577),11617577,WR
DeAndre Washington (11617367),11617367,RB
LeGarrette Blount (11617373),11617373,RB
Travis Benjamin (11617581),11617581,WR
Austin Carr (11617643),11617643,WR
Josh Hill (11617847),11617847,TE
Chase Edmonds (11617319),11617319,RB
Jermaine Gresham (11617745),11617745,TE
Levine Toilolo (11617765),11617765,TE
