"RK","PLAYER NAME","OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)"
"63","Jeff Wilson Jr. (SF) Q ","vs. LAR"," 7.0","F","3.4","+0.3","20% (3/15)"
"64","Ito Smith (ATL) ","at MIN"," 6.4","F","3.2","-2.2","14% (1/7)"
"65","Peyton Barber (WAS) ","at NYG"," 6.2","F","3.1","-0.1","31% (5/16)"
"66","T.J. Yeldon (BUF) ","vs. KC"," 7.6","F","2.8","+1.1","16% (1/6)"
"67","Darwin Thompson (KC) ","at BUF"," 5.6","F","2.8","-0.1","30% (4/13)"
"68","Dontrell Hilliard (CLE) ","at PIT"," 6.2","F","2.7","-0.6","25% (3/12)"
"69","Jaylen Samuels (PIT) ","vs. CLE"," 4.6","F","2.5","-2.6","15% (2/13)"
"70","Jeremy McNichols (TEN) ","vs. HOU"," 8.2","F","2.3","-","-"
"71","Trenton Cannon (CAR) ","vs. CHI"," 6.4","F","2.2","-1.6","0% (0/5)"
"72","Corey Clement (PHI) ","vs. BAL"," 3.0","F","2.0","-1.6","0% (0/5)"
"73","Ryan Nall (CHI) ","at CAR"," 8.0","F","2.0","-1.3","0% (0/11)"
"74","C.J. Ham (MIN) ","vs. ATL"," 4.4","F","2.0","+0.3","46% (7/15)"
"75","Alex Armah (CAR) ","vs. CHI"," 6.4","F","2.0","-0.8","6% (1/15)"
"76","Ameer Abdullah (MIN) ","vs. ATL"," 4.4","F","1.9","-0.1","12% (2/16)"
"77","Jordan Howard (MIA) ","vs. NYJ"," 8.0","F","1.8","+0.6","55% (5/9)"
"78","LeSean McCoy (TB) ","vs. GB"," 7.0","F","1.7","-1.5","30% (4/13)"
"79","AJ Dillon (GB) ","at TB"," 3.6","F","1.6","-0.6","0% (0/4)"
"80","Lynn Bowden Jr. (MIA) ","vs. NYJ"," 7.0","F","1.6","+0.2","100% (3/3)"
"81","Dare Ogunbowale (JAC) ","vs. DET"," 7.2","F","1.6","0.0","33% (5/15)"
"82","JaMycal Hasty (SF) ","vs. LAR"," 6.6","F","1.6","-1.6","0% (0/3)"
"83","Patrick Laird (MIA) ","vs. NYJ"," 7.0","F","1.6","0.0","35% (6/17)"
"84","Jason Huntley (PHI) ","vs. BAL"," 3.0","F","1.4","-0.9","0% (0/3)"
"85","Eno Benjamin (ARI) ","at DAL"," 7.0","F","1.4","-1.3","0% (0/3)"
"86","J.J. Taylor (NE) ","vs. DEN"," 3.6","F","1.3","-0.6","50% (2/4)"
"87","C.J. Prosise (HOU) ","at TEN"," 6.4","F","1.3","-1.1","0% (0/11)"
"88","Ty Johnson (NYJ) ","at MIA"," 8.0","F","1.2","-1.4","18% (3/16)"
"89","Jakob Johnson (NE) ","vs. DEN"," 5.6","F","1.1","+0.6","20% (1/5)"
"90","Patrick Ricard (BAL) ","at PHI"," 5.0","F","1.1","-0.5","6% (1/15)"
"91","Justice Hill (BAL) ","at PHI"," 7.0","F","1.1","+0.7","50% (6/12)"
"92","Josh Adams (NYJ) ","at MIA"," 7.4","F","1.1","-0.4","27% (3/11)"
"93","Qadree Ollison (ATL) ","at MIN"," 8.4","F","1.1","+1.7","44% (4/9)"
"94","Andy Janovich (CLE) ","at PIT"," 4.6","F","1.0","0.0","40% (4/10)"
"95","Ryquell Armstead (JAC) COV-IR ","vs. DET"," 7.2","F","1.0","-0.6","16% (2/12)"
"96","Keith Smith (ATL) ","at MIN"," 8.8","F","0.9","-0.2","33% (5/15)"
"97","Trayveon Williams (CIN) ","at IND"," 4.8","F","0.9","-0.5","0% (0/11)"
"98","Chandler Cox (MIA) ","vs. NYJ","-","F","0.9","-0.4","16% (2/12)"
"99","DeAndre Washington (KC) ","at BUF"," 7.0","F","0.9","+1.7","45% (5/11)"
"100","Reggie Gilliam (BUF) ","vs. KC"," 7.4","F","0.8","+0.1","25% (1/4)"
"101","Anthony Sherman (KC) COV-IR ","at BUF"," 6.2","F","0.8","-0.1","12% (2/16)"
"102","Elijhaa Penny (NYG) ","vs. WAS"," 5.2","F","0.6","-0.5","0% (0/15)"
"103","Khari Blasingame (TEN) ","vs. HOU","-","F","0.6","-0.4","22% (2/9)"
"104","Artavis Pierce (CHI) ","at CAR"," 6.6","F","0.3","-1.3","0% (0/2)"
"105","Derek Watt (PIT) ","vs. CLE","-","F","0.3","-0.1","7% (1/13)"
"106","Taiwan Jones (BUF) ","vs. KC","-","F","0.2","-0.3","0% (0/12)"
"107","Samaje Perine (CIN) ","at IND"," 5.6","F","0.1","-0.2","0% (0/6)"
