,cost,name,own,team
0,5900,Josh Allen,0.166,BUF
1,7600,Patrick Mahomes,0.165,KC
2,7000,Lamar Jackson,0.126,BAL
3,5700,Matt Ryan,0.121,ATL
4,6500,Dak Prescott,0.112,DAL
5,5800,Kyler Murray,0.077,ARI
6,5600,Carson Wentz,0.064,PHI
7,6400,Deshaun Watson,0.046,HOU
8,5400,Jameis Winston,0.04,TB
9,6300,Russell Wilson,0.016,SEA
10,6600,Tom Brady,0.014,NE
11,5500,Matthew Stafford,0.013,DET
12,4800,Mason Rudolph,0.007,PIT
13,5300,Andy Dalton,0.005,CIN
14,6100,Aaron Rodgers,0.005,GB
15,5000,Daniel Jones,0.004,NYG
16,5800,Philip Rivers,0.004,LAC
17,5100,Kirk Cousins,0.004,MIN
18,6200,Jimmy Garoppolo,0.003,SF
19,4900,Derek Carr,0.001,OAK
20,4600,Joe Flacco,0.001,DEN
21,4700,Teddy Bridgewater,0.001,NO
22,4500,Ryan Fitzpatrick,0.001,NMIA
23,4500,Josh Rosen,0.001,MIA
24,6000,Cam Newton,0.001,OCAR
25,5200,Jacoby Brissett,0.001,IND
26,3600,Nelson Agholor,0.52,PHI
27,8900,Ezekiel Elliott,0.49,DAL
28,5100,Larry Fitzgerald,0.342,ARI
29,8700,Christian McCaffrey,0.322,CAR
30,7800,Dalvin Cook,0.314,MIN
31,7000,Keenan Allen,0.286,LAC
32,5900,Chris Carson,0.214,SEA
33,7200,Austin Ekeler,0.182,LAC
34,5300,Calvin Ridley,0.176,ATL
35,4600,Mark Andrews,0.174,BAL
36,5000,Christian Kirk,0.173,ARI
37,7100,Travis Kelce,0.157,KC
38,5700,Zach Ertz,0.156,PHI
39,7300,Julio Jones,0.15,ATL
40,6800,David Johnson,0.146,ARI
41,4800,Curtis Samuel,0.146,CAR
42,5900,Marquise Brown,0.143,BAL
43,6100,Aaron Jones,0.135,GB
44,6600,Kenny Golladay,0.133,DET
45,5900,D.J. Moore,0.132,CAR
46,5500,John Brown,0.131,BUF
47,3900,Miles Sanders,0.13,PHI
48,6900,Chris Godwin,0.12,TB
49,5600,George Kittle,0.117,SF
50,3700,Greg Olsen,0.116,CAR
51,6600,Mike Evans,0.113,TB
52,3600,Austin Hooper,0.103,ATL
53,8000,Alvin Kamara,0.096,NO
54,6800,Sammy Watkins,0.093,KC
55,6000,Stefon Diggs,0.091,MIN
56,6200,Tyler Lockett,0.087,SEA
57,9100,Saquon Barkley,0.083,NYG
58,5000,Mecole Hardman,0.079,KC
59,6300,Julian Edelman,0.078,NE
60,4100,Darren Waller,0.069,OAK
61,5200,Evan Engram,0.067,NYG
62,4800,Emmanuel Sanders,0.063,DEN
63,6500,Tyler Boyd,0.058,CIN
64,6000,Sony Michel,0.056,NE
65,6900,JuJu Smith-Schuster,0.053,PIT
66,7800,DeAndre Hopkins,0.048,HOU
67,4900,Mike Williams,0.047,LAC
68,4900,Will Fuller,0.047,HOU
69,6400,T.Y. Hilton,0.047,IND
70,7000,Le'Veon Bell,0.045,NYJ
71,5200,Demarcus Robinson,0.044,KC
72,4700,D.K. Metcalf,0.044,SEA
73,4300,Marquez Valdes-Scantling,0.041,GB
74,7500,Amari Cooper,0.037,DAL
75,6700,Adam Thielen,0.037,MIN
76,5700,Mark Ingram,0.036,BAL
77,5800,Marlon Mack,0.033,IND
78,5100,James White,0.03,NE
