Pos,Player,Tm,Opp,DK Sal $,Projected Own%,Cash Odds,GPP Odds,Implied Own%,DK LEV
RB,Saquon Barkley,NYG,@TB,9100,12.50%,52%,21%,16%,1.29
RB,Ezekiel Elliott,DAL,MIA,8900,27.50%,65%,31%,24%,0.89
RB,Christian McCaffrey,CAR,@ARI,8700,17.50%,68%,33%,26%,1.47
RB,Alvin Kamara,NO,@SEA,8000,7.50%,51%,16%,13%,1.71
RB,Dalvin Cook,MIN,OAK,7800,27.50%,66%,29%,23%,0.82
WR,DeAndre Hopkins,HOU,@LAC,7800,12.50%,60%,23%,19%,1.56
QB,Patrick Mahomes,KC,BAL,7600,12.50%,55%,23%,8%,0.63
WR,Davante Adams,GB,DEN,7600,17.50%,54%,19%,16%,0.9
WR,Amari Cooper,DAL,MIA,7500,17.50%,52%,17%,14%,0.81
WR,Michael Thomas,NO,@SEA,7400,7.50%,46%,12%,10%,1.3
WR,Julio Jones,ATL,@IND,7300,7.50%,58%,20%,17%,2.24
RB,Austin Ekeler,LAC,HOU,7200,17.50%,63%,25%,19%,1.11
TE,Travis Kelce,KC,BAL,7100,12.50%,55%,11%,14%,1.14
WR,Antonio Brown,NE,NYJ,7100,12.50%,36%,8%,6%,0.52
QB,Lamar Jackson,BAL,@KC,7000,12.50%,51%,22%,7%,0.59
RB,LeVeon Bell,NYJ,@NE,7000,7.50%,57%,16%,13%,1.71
WR,Keenan Allen,LAC,HOU,7000,17.50%,59%,20%,17%,0.98
WR,JuJu Smith-Schuster,PIT,@SF,6900,3.00%,41%,10%,8%,2.66
WR,Chris Godwin,TB,NYG,6900,12.50%,45%,12%,10%,0.79
RB,David Johnson,ARI,CAR,6800,7.50%,57%,18%,14%,1.92
WR,Sammy Watkins,KC,BAL,6800,17.50%,49%,15%,13%,0.72
WR,Adam Thielen,MIN,OAK,6700,7.50%,43%,10%,9%,1.16
QB,Tom Brady,NE,NYJ,6600,7.50%,48%,16%,5%,0.72
WR,Mike Evans,TB,NYG,6600,7.50%,42%,10%,8%,1.07
WR,Kenny Golladay,DET,@PHI,6600,7.50%,41%,10%,8%,1.07
QB,Dak Prescott,DAL,MIA,6500,12.50%,52%,22%,8%,0.6
WR,Tyler Boyd,CIN,@BUF,6500,7.50%,36%,7%,6%,0.8
QB,Deshaun Watson,HOU,@LAC,6400,7.50%,49%,19%,7%,0.87
RB,James Conner,PIT,@SF,6400,3.00%,33%,5%,4%,1.4
WR,T.Y. Hilton,IND,ATL,6400,7.50%,43%,10%,8%,1.12
QB,Russell Wilson,SEA,NO,6300,3.00%,40%,13%,4%,1.49
WR,Julian Edelman,NE,NYJ,6300,7.50%,33%,6%,5%,0.67
QB,Jimmy Garoppolo,SF,PIT,6200,3.00%,36%,10%,3%,1.16
WR,Tyler Lockett,SEA,NO,6200,7.50%,42%,10%,8%,1.1
QB,Aaron Rodgers,GB,DEN,6100,3.00%,45%,15%,5%,1.72
RB,Aaron Jones,GB,DEN,6100,12.50%,51%,13%,10%,0.83
QB,Cam Newton,CAR,@ARI,6000,3.00%,41%,13%,5%,1.5
RB,Sony Michel,NE,NYJ,6000,7.50%,33%,5%,4%,0.53
WR,Stefon Diggs,MIN,OAK,6000,7.50%,40%,9%,7%,0.94
QB,Josh Allen,BUF,CIN,5900,7.50%,46%,17%,6%,0.79
RB,Chris Carson,SEA,NO,5900,12.50%,51%,14%,11%,0.84
WR,D.J. Moore,CAR,@ARI,5900,7.50%,39%,8%,7%,0.9
WR,Marquise Brown,BAL,@KC,5900,12.50%,39%,8%,6%,0.5
QB,Philip Rivers,LAC,HOU,5800,3.00%,41%,11%,4%,1.26
QB,Kyler Murray,ARI,CAR,5800,7.50%,49%,19%,6%,0.86
RB,Marlon Mack,IND,ATL,5800,7.50%,53%,14%,11%,1.41
QB,Matt Ryan,ATL,@IND,5700,3.00%,44%,14%,5%,1.61
RB,Mark Ingram,BAL,@KC,5700,7.50%,35%,6%,4%,0.58
TE,Zach Ertz,PHI,DET,5700,12.50%,56%,11%,14%,1.08
QB,Carson Wentz,PHI,DET,5600,3.00%,42%,13%,4%,1.49
RB,Kerryon Johnson,DET,@PHI,5600,3.00%,39%,6%,5%,1.67
TE,George Kittle,SF,PIT,5600,12.50%,54%,10%,13%,1.01
WR,Tyrell Williams,OAK,@MIN,5600,7.50%,41%,9%,7%,0.95
QB,Matthew Stafford,DET,@PHI,5500,3.00%,35%,9%,3%,1
RB,Joe Mixon,CIN,@BUF,5500,3.00%,31%,4%,3%,0.96
WR,John Brown,BUF,CIN,5500,7.50%,41%,8%,7%,0.88
QB,Jameis Winston,TB,NYG,5400,7.50%,44%,15%,5%,0.66
RB,Matt Breida,SF,PIT,5400,7.50%,38%,6%,5%,0.62
WR,Josh Gordon,NE,NYJ,5400,7.50%,29%,5%,4%,0.5
QB,Andy Dalton,CIN,@BUF,5300,0.50%,29%,7%,2%,4.68
RB,Josh Jacobs,OAK,@MIN,5300,3.00%,35%,4%,3%,1.14
RB,Jaylen Samuels,PIT,@SF,5300,0.50%,7%,0%,0%,0.21
WR,Calvin Ridley,ATL,@IND,5300,7.50%,42%,10%,8%,1.08
QB,Jacoby Brissett,IND,ATL,5200,3.00%,41%,13%,4%,1.47
RB,Damien Williams,KC,BAL,5200,12.50%,42%,7%,6%,0.46
TE,Evan Engram,NYG,@TB,5200,7.50%,55%,10%,13%,1.71
WR,Demarcus Robinson,KC,BAL,5200,12.50%,29%,4%,4%,0.28
QB,Kirk Cousins,MIN,OAK,5100,0.50%,38%,11%,4%,7.47
RB,James White,NE,NYJ,5100,7.50%,33%,4%,3%,0.44
WR,John Ross,CIN,@BUF,5100,3.00%,34%,5%,5%,1.5
WR,Larry Fitzgerald,ARI,CAR,5100,17.50%,52%,13%,11%,0.62
QB,Daniel Jones,NYG,@TB,5000,0.50%,30%,6%,2%,4.37
RB,LeSean McCoy,KC,BAL,5000,0.50%,29%,3%,2%,4.46
WR,Marvin Jones,DET,@PHI,5000,0.50%,32%,5%,4%,7.67
WR,Christian Kirk,ARI,CAR,5000,7.50%,41%,8%,7%,0.88
WR,Marquise Goodwin,SF,PIT,5000,0.50%,20%,2%,2%,3.11
WR,Mecole Hardman,KC,BAL,5000,7.50%,30%,5%,4%,0.5
