Player,Team,Opp,Time,FD Pos,FD Own,FD Sal,DK Pos,DK Own,DK Sal
Ezekiel Elliott,DAL,MIA,Sun 01:00 EDT,RB,28.30%,8800,RB,27.30%,8900
Christian McCaffrey,CAR,ARI,Sun 04:05 EDT,RB,26.40%,8900,RB,24.40%,8700
Zach Ertz,PHI,DET,Sun 01:00 EDT,TE,24.50%,6900,TE,20.80%,5700
Amari Cooper,DAL,MIA,Sun 01:00 EDT,WR,24.00%,7700,WR,21.30%,7500
Dalvin Cook,MIN,OAK,Sun 01:00 EDT,RB,23.40%,8300,RB,21.60%,7800
Nelson Agholor,PHI,DET,Sun 01:00 EDT,WR,22.00%,4800,WR,25.30%,3600
Sammy Watkins,KC,BAL,Sun 01:00 EDT,WR,19.60%,7100,WR,17.50%,6800
Austin Ekeler,LAC,HOU,Sun 04:25 EDT,RB,19.20%,7600,RB,19.30%,7200
Travis Kelce,KC,BAL,Sun 01:00 EDT,TE,15.60%,8000,TE,12.20%,7100
Davante Adams,GB,DEN,Sun 01:00 EDT,WR,15.30%,8200,WR,14.50%,7600
Saquon Barkley,NYG,TB,Sun 04:05 EDT,RB,15.20%,9200,RB,14.00%,9100
Patrick Mahomes,KC,BAL,Sun 01:00 EDT,QB,15.00%,9200,QB,14.10%,7600
Keenan Allen,LAC,HOU,Sun 04:25 EDT,WR,14.70%,7800,WR,14.50%,7000
Mike Evans,TB,NYG,Sun 04:05 EDT,WR,14.30%,7100,WR,13.30%,6600
George Kittle,SF,PIT,Sun 04:25 EDT,TE,13.50%,6600,TE,11.10%,5600
Lamar Jackson,BAL,KC,Sun 01:00 EDT,QB,12.70%,8500,QB,11.90%,7000
Larry Fitzgerald,ARI,CAR,Sun 04:05 EDT,WR,12.70%,5900,WR,13.00%,5100
Chris Godwin,TB,NYG,Sun 04:05 EDT,WR,12.30%,7600,WR,11.80%,6900
Kenny Golladay,DET,PHI,Sun 01:00 EDT,WR,10.10%,7000,WR,9.40%,6600
David Johnson,ARI,CAR,Sun 04:05 EDT,RB,9.80%,7000,RB,9.00%,6800
Evan Engram,NYG,TB,Sun 04:05 EDT,TE,9.70%,6400,TE,8.40%,5200
Dak Prescott,DAL,MIA,Sun 01:00 EDT,QB,9.60%,8400,QB,9.60%,6500
Kyler Murray,ARI,CAR,Sun 04:05 EDT,QB,9.60%,7200,QB,10.60%,5800
Chris Carson,SEA,NO,Sun 04:25 EDT,RB,9.30%,7000,RB,9.70%,5900
Mecole Hardman,KC,BAL,Sun 01:00 EDT,WR,9.20%,6300,WR,10.10%,5000
Mark Andrews,BAL,KC,Sun 01:00 EDT,TE,9.20%,6800,TE,10.30%,4600
Adam Thielen,MIN,OAK,Sun 01:00 EDT,WR,9.10%,7000,WR,8.30%,6700
Josh Gordon,NE,NYJ,Sun 01:00 EDT,WR,9.00%,6000,WR,8.70%,5400
Jameis Winston,TB,NYG,Sun 04:05 EDT,QB,8.90%,7300,QB,9.30%,5400
John Brown,BUF,CIN,Sun 01:00 EDT,WR,8.30%,5900,WR,7.60%,5500
Le'Veon Bell,NYJ,NE,Sun 01:00 EDT,RB,8.20%,7700,RB,8.00%,7000
