team,rank,day,mult
ARI,2,Sun,1
BUF,1,Sun,1
CAR,1,Sun,1
CHI,1,Sun,1
CIN,1,Sun,1
CLE,1,Sun,1
DAL,1,Sun,1
DEN,2,Sun,1
DET,1,Sun,1
GB,1,Sun,1
HOU,1,Sun,1
IND,1,Sun,1
JAC,3,Sun,1
KC,1,Sun,1
LAC,2,Sun,1
LAR,3,Sun,1
MIN,1,Sun,1
NYG,1,Sun,1
NYJ,2,Sun,1
OAK,1,Sun,1
PHI,3,Sun,1
SEA,3,Sun,1
SF,1,Sun,1
TB,1,Sun,1
TEN,2,Sun,1
WAS,2,Sun,1
