Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,
984396535,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,QB,Jared Goff (10043154),Jared Goff,10043154,6700,ATL@LAR 01/06/2018 08:15PM ET,LAR
984396551,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,WR,Robert Woods (10043164),Robert Woods,10043164,6600,ATL@LAR 01/06/2018 08:15PM ET,LAR
984396561,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,QB,Cam Newton (10043282),Cam Newton,10043282,6500,CAR@NO 01/07/2018 04:40PM ET,CAR
984396586,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,QB,Drew Brees (10043250),Drew Brees,10043250,6400,CAR@NO 01/07/2018 04:40PM ET,NO
984396655,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,RB,Christian McCaffrey (10043285),Christian McCaffrey,10043285,6400,CAR@NO 01/07/2018 04:40PM ET,CAR
985020724,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Alvin Kamara (10043253),T.J. Yeldon (10043225),Ted Ginn Jr. (10043265),Julio Jones (10043133),Robert Woods (10043164),Charles Clay (10043210),Greg Olsen (10043307),Titans (10043092),,QB,Alex Smith (10043093),Alex Smith,10043093,6300,TEN@KC 01/06/2018 04:35PM ET,KC
985021456,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,RB,Devonta Freeman (10043125),Devonta Freeman,10043125,6300,ATL@LAR 01/06/2018 08:15PM ET,ATL
985021457,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,QB,Matt Ryan (10043123),Matt Ryan,10043123,6100,ATL@LAR 01/06/2018 08:15PM ET,ATL
985021458,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,RB,Derrick Henry (10043062),Derrick Henry,10043062,6000,TEN@KC 01/06/2018 04:35PM ET,TEN
985021459,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,QB,Blake Bortles (10043219),Blake Bortles,10043219,6000,BUF@JAX 01/07/2018 01:05PM ET,JAX
