Player,Team,Opp,Time,FD Pos,FD Own,FD Sal,DK Pos,DK Own,DK Sal
Josh Jacobs,OAK,KC,Sun 04:05 EDT,RB,26.90%,6500,RB,30.70%,4700
Travis Kelce,KC,OAK,Sun 04:05 EDT,TE,32.10%,8000,TE,24.00%,7300
Patrick Mahomes,KC,OAK,Sun 04:05 EDT,QB,20.70%,9000,QB,21.70%,7500
Alvin Kamara,NO,LA,Sun 04:25 EDT,RB,22.10%,8700,RB,20.40%,8200
Sammy Watkins,KC,OAK,Sun 04:05 EDT,WR,22.70%,7400,WR,20.30%,7200
Darren Waller,OAK,KC,Sun 04:05 EDT,TE,17.50%,5400,TE,19.70%,3300
Tyrell Williams,OAK,KC,Sun 04:05 EDT,WR,16.10%,5900,WR,19.20%,4400
JuJu Smith-Schuster,PIT,SEA,Sun 01:00 EDT,WR,20.10%,8100,WR,19.00%,7500
Michael Thomas,NO,LA,Sun 04:25 EDT,WR,19.80%,8500,WR,18.90%,8000
Austin Ekeler,LAC,DET,Sun 01:00 EDT,RB,16.20%,7500,RB,17.00%,6100
Keenan Allen,LAC,DET,Sun 01:00 EDT,WR,18.60%,7700,WR,16.60%,7600
Saquon Barkley,NYG,BUF,Sun 01:00 EDT,RB,15.80%,9200,RB,13.60%,9200
Chris Thompson,WAS,DAL,Sun 01:00 EDT,RB,11.10%,5300,RB,13.60%,3900
Julian Edelman,NE,MIA,Sun 01:00 EDT,WR,14.60%,7100,WR,13.10%,6900
Robert Woods,LA,NO,Sun 04:25 EDT,WR,12.40%,7300,WR,12.40%,6400
DeAndre Hopkins,HOU,JAC,Sun 01:00 EDT,WR,12.60%,9000,WR,12.30%,8100
Lamar Jackson,BAL,ARI,Sun 01:00 EDT,QB,11.90%,8200,QB,11.30%,6700
George Kittle,SF,CIN,Sun 01:00 EDT,TE,15.50%,7100,TE,11.10%,6800
Tyler Boyd,CIN,SF,Sun 01:00 EDT,WR,11.80%,6300,WR,10.20%,6500
Josh Gordon,NE,MIA,Sun 01:00 EDT,WR,10.80%,6300,WR,10.20%,5800
T.J. Hockenson,DET,LAC,Sun 01:00 EDT,TE,6.70%,6000,TE,9.20%,3000
Sony Michel,NE,MIA,Sun 01:00 EDT,RB,10.80%,6800,RB,9.10%,6200
Mecole Hardman,KC,OAK,Sun 04:05 EDT,WR,10.00%,4700,WR,8.80%,4800
Evan Engram,NYG,BUF,Sun 01:00 EDT,TE,10.20%,6400,TE,8.60%,5200
Chris Carson,SEA,PIT,Sun 01:00 EDT,RB,8.50%,7400,RB,8.20%,6400
Damien Williams,KC,OAK,Sun 04:05 EDT,RB,8.20%,6600,RB,8.10%,5800
Jared Goff,LA,NO,Sun 04:25 EDT,QB,8.10%,7600,QB,8.10%,5900
Amari Cooper,DAL,WAS,Sun 01:00 EDT,WR,8.40%,7800,WR,7.70%,7400
Marquise Brown,BAL,ARI,Sun 01:00 EDT,WR,7.80%,5700,WR,7.70%,5000
Terry McLaurin,WAS,DAL,Sun 01:00 EDT,WR,6.20%,5300,WR,7.70%,3800
James Conner,PIT,SEA,Sun 01:00 EDT,RB,8.20%,7700,RB,7.60%,6800
Derek Carr,OAK,KC,Sun 04:05 EDT,QB,7.40%,6600,QB,7.40%,5100
Josh Allen,BUF,NYG,Sun 01:00 EDT,QB,6.70%,7500,QB,7.40%,5300
Mark Andrews,BAL,ARI,Sun 01:00 EDT,TE,6.60%,6100,TE,7.40%,3800
Ezekiel Elliott,DAL,WAS,Sun 01:00 EDT,RB,8.80%,8500,RB,7.20%,8700
Tom Brady,NE,MIA,Sun 01:00 EDT,QB,7.40%,7800,QB,7.00%,6400
Cooper Kupp,LA,NO,Sun 04:25 EDT,WR,6.90%,6800,WR,6.90%,6000
John Ross,CIN,SF,Sun 01:00 EDT,WR,5.70%,6400,WR,6.90%,4600
John Brown,BUF,NYG,Sun 01:00 EDT,WR,6.00%,6300,WR,6.30%,5200
Dak Prescott,DAL,WAS,Sun 01:00 EDT,QB,6.60%,7700,QB,6.20%,6300
Michael Gallup,DAL,WAS,Sun 01:00 EDT,WR,6.50%,6200,WR,6.20%,5600
Leonard Fournette,JAC,HOU,Sun 01:00 EDT,RB,6.70%,6900,RB,6.10%,6300
T.Y. Hilton,IND,TEN,Sun 01:00 EDT,WR,6.30%,7600,WR,6.10%,6800
James White,NE,MIA,Sun 01:00 EDT,RB,5.30%,6300,RB,6.00%,5100
Davante Adams,GB,MIN,Sun 01:00 EDT,WR,6.40%,8200,WR,5.90%,7700
Devin Singletary,BUF,NYG,Sun 01:00 EDT,RB,5.00%,5700,RB,5.90%,4200
Matt Breida,SF,CIN,Sun 01:00 EDT,RB,6.50%,5600,RB,5.80%,5200
Antonio Brown,NE,MIA,Sun 01:00 EDT,WR,6.00%,7800,WR,5.80%,7000
Brandin Cooks,LA,NO,Sun 04:25 EDT,WR,5.90%,7000,WR,5.80%,6300
Stefon Diggs,MIN,GB,Sun 01:00 EDT,WR,5.90%,6900,WR,5.70%,6300
David Johnson,ARI,BAL,Sun 01:00 EDT,RB,6.20%,7300,RB,5.50%,7100
James Washington,PIT,SEA,Sun 01:00 EDT,WR,3.90%,5500,WR,5.30%,3600
Derrick Henry,TEN,IND,Sun 01:00 EDT,RB,5.00%,7500,RB,5.10%,6000
Malcolm Brown,LA,NO,Sun 04:25 EDT,RB,4.60%,5500,RB,5.10%,4100
