Pos,Player,Tm,Opp,DK Sal $,Projected Own%,Cash Odds,GPP Odds,Implied Own%,DK LEV
RB,Devin Singletary,BUF,@NYG,4200,0.50%,42%,6%,5%,10.02
RB,Phillip Lindsay,DEN,CHI,4600,0.50%,39%,5%,5%,9.12
RB,Adrian Peterson,WAS,DAL,3400,0.50%,42%,5%,5%,9.09
WR,Preston Williams,MIA,NE,3400,0.50%,35%,4%,4%,8.84
WR,Chris Conley,JAX,@HOU,4200,0.50%,34%,4%,4%,8.81
RB,Duke Johnson,HOU,JAX,5000,0.50%,38%,5%,4%,8.8
WR,KeeSean Johnson,ARI,@BAL,3100,0.50%,35%,4%,4%,8.25
WR,Travis Benjamin,LAC,@DET,3200,0.50%,32%,4%,4%,7.53
QB,Jacoby Brissett,IND,@TEN,5000,0.50%,34%,9%,4%,7.39
QB,Mitch Trubisky,CHI,@DEN,5500,0.50%,33%,9%,3%,6.92
QB,Kirk Cousins,MIN,@GB,5300,0.50%,33%,9%,3%,6.76
RB,Kenyan Drake,MIA,NE,4300,0.50%,36%,4%,3%,6.48
RB,Chris Thompson,WAS,DAL,3900,0.50%,36%,3%,3%,6.03
QB,Case Keenum,WAS,DAL,5000,0.50%,32%,7%,3%,5.89
WR,Donte Moncrief,PIT,SEA,4000,0.50%,27%,3%,3%,5.68
WR,Deebo Samuel,SF,@CIN,3700,0.50%,28%,3%,3%,5.42
TE,Darren Waller,OAK,KC,3300,17.50%,61%,12%,16%,0.89
WR,Cole Beasley,BUF,@NYG,3800,0.50%,27%,2%,2%,4.95
RB,David Montgomery,CHI,@DEN,4900,0.50%,27%,3%,2%,4.84
RB,Mike Davis,CHI,@DEN,3300,0.50%,32%,3%,2%,4.65
TE,Mark Andrews,BAL,ARI,3800,12.50%,58%,11%,14%,1.15
TE,Travis Kelce,KC,@OAK,7300,12.50%,50%,9%,11%,0.86
RB,Carlos Hyde,HOU,JAX,3600,0.50%,31%,2%,2%,4.25
QB,Eli Manning,NYG,BUF,4900,0.50%,26%,5%,2%,4.13
RB,David Johnson,ARI,@BAL,7100,3.00%,50%,13%,12%,4.05
TE,T.J. Hockenson,DET,LAC,3000,12.50%,50%,7%,9%,0.69
WR,Taylor Gabriel,CHI,@DEN,3700,0.50%,24%,2%,2%,3.98
WR,Paul Richardson,WAS,DAL,4000,0.50%,23%,2%,2%,3.88
TE,George Kittle,SF,@CIN,6800,7.50%,51%,9%,11%,1.49
DEF,Los Angeles Rams,LAR,NO,2700,0.50%,20%,2%,2%,3.61
RB,Royce Freeman,DEN,CHI,3700,0.50%,28%,2%,2%,3.57
RB,Tarik Cohen,CHI,@DEN,4500,0.50%,26%,2%,2%,3.55
