Player Name,Team,def_sack,def_int,def_fr,def_ff,def_td,def_assist,def_safety,def_pa,def_tyda,fpts
Houston Texans,HOU,2.6,1.1,0.8,1.1,0.2,0,0,16.1,293.9,8.6
Denver Broncos,DEN,2.6,1.1,0.8,1.4,0.2,0,0,18.9,308.2,8.6
Pittsburgh Steelers,PIT,3,1.1,0.7,1.2,0.2,0,0,16.8,292.6,8.6
Carolina Panthers,CAR,2.7,1,0.8,1.4,0.2,0,0,19.1,300.6,8.5
Buffalo Bills,BUF,2.6,1.1,0.6,1.1,0.2,0,0,18.2,347.4,8.1
Los Angeles Rams,LAR,2.5,1.3,0.7,1.1,0.2,0,0,21.2,331.7,7.6
Cincinnati Bengals,CIN,2.1,1.1,0.6,0.9,0.2,0,0,17.9,338,7.6
New England Patriots,NE,2.3,0.8,0.7,1,0.2,0,0,18.8,318.4,7.4
Dallas Cowboys,DAL,2,1,0.7,1,0.1,0,0,19.9,334,7.2
Atlanta Falcons,ATL,2.1,1,0.7,1.3,0.2,0,0.1,20.4,361.8,6.8
Los Angeles Chargers,LAC,2.4,1,0.7,1.1,0.2,0,0,22.2,324.4,6.7
Minnesota Vikings,MIN,2.2,0.9,0.7,1.2,0.2,0,0.1,23.1,365.9,6.7
Detroit Lions,DET,2.1,0.9,0.7,1.3,0.2,0,0.1,25.1,380.1,6.6
Green Bay Packers,GB,2.5,0.9,0.6,0.8,0.2,0,0,22.4,349.7,6.5
Washington Redskins,WAS,2.3,0.9,0.6,1.1,0.2,0,0,23.7,359.7,6.5
Arizona Cardinals,ARI,2.5,0.8,0.6,1,0.2,0,0.1,22.5,317.1,6.4
Indianapolis Colts,IND,2,1,0.6,1.2,0.2,0,0,21,312.1,6.4
Seattle Seahawks,SEA,2.5,0.7,0.7,0.9,0.2,0,0,24.7,363.5,6.2
Jacksonville Jaguars,JAC,2.2,0.9,0.6,1,0.2,0,0,21.1,298.4,6.2
Philadelphia Eagles,PHI,1.8,0.8,0.7,1.2,0.2,0,0,24.4,379.4,6.1
Oakland Raiders,OAK,1.9,0.9,0.6,1.2,0.2,0,0,23.8,353.5,5.8
Kansas City Chiefs,KC,1.9,0.8,0.6,1,0.2,0,0.1,26.2,383.9,5.8
Baltimore Ravens,BAL,2.1,0.8,0.6,1,0.2,0,0,21.9,345.2,5.8
San Francisco 49ers,SF,2.2,0.8,0.5,0.7,0.1,0,0,25.3,368.8,5.6
New Orleans Saints,NO,2,0.6,0.8,1.3,0.1,0,0,25.8,345.4,5.5
Tennessee Titans,TEN,2,0.7,0.6,1.1,0.1,0,0,24.8,367.4,5.4
Chicago Bears,CHI,2.2,0.6,0.5,0.7,0.1,0,0,28.8,399.5,5.3
New York Giants,NYG,1.9,0.6,0.7,1.1,0.1,0,0,24.9,367.2,5.2
New York Jets,NYJ,2.2,0.5,0.5,0.7,0.1,0,0,25.8,338.6,5.2
Cleveland Browns,CLE,1.6,0.8,0.5,0.7,0.1,0,0,27.8,411.3,5
