Andy Isabella,0.7,ARI
Christian Kirk,1.25,ARI
John Brown,1.15,BUF
Cordarrelle Patterson,0.5,CHI
KhaDarel Hodge,1.33,CLE
Cedrick Wilson,0.7,DAL
Daurice Fountain,2,IND
Ashton Dulin,2,IND
Chris Conley,1.15,JAC
Chris Thompson,1.25,JAC
Jalen Guyton,1.45,LAC
K.J. Hill,2.1,LAC
Josh Reynolds,1.25,LAR
Nelson Agholor,1.1,LV
Preston Williams,0.9,MIA
Isaiah Ford,0.9,MIA
Jakeem Grant,0.6,MIA
Adam Trautman,1.25,NO
Deonte Harris,1.5,NO
Damion Ratley,1.45,NYG
C.J. Board,1.75,NYG
Devonta Freeman,1.3,NYG
Chris Carson,1.75,SEA
Tyler Johnson,3.25,TB
Justin Watson,0.7,TB
Antonio Gandy-Golden,1.8,WAS
Isaiah Wright,2,WAS
Dontrelle Inman,1.2,WAS
Chris Moore,0.0001,BAL
John Ross,0.0001,CIN
Rashard Higgins,0.0001,CLE
Hunter Bryant,0.0001,DET
Keke Coutee,0.0001,HOU
Dede Westbrook,0.0001,JAC
Joe Reed,0.0001,LAC
Malcolm Perry,0.0001,MIA
Tajae Sharpe,0.0001,MIN
Carlos Hyde,0.0001,SEA
Kyle Rudolph,0.9,MIN
Irv Smith Jr.,1.2,MIN
Dezmon Patmon,0.0001,
Riley Ridley,0.0001,
