DeAndre Hopkins,0.0001,ARI,
Christian Kirk,1.2,ARI,
Rondale Moore,1,ARI,
A.J. Green,1.0001,ARI,
Antoine Wesley,2,ARI,
Russell Gage,1.1,ATL,
Tajae Sharpe,1.1,ATL,
Cordarrelle Patterson,1,ATL,
Olamide Zaccheaus,0.8,ATL,
Hayden Hurst,1.2,ATL,
Wayne Gallman Jr.,0.0001,ATL,
Marquise Brown,1,BAL,
Rashod Bateman,1.05,BAL,
Devin Duvernay,1.6,BAL,
Sammy Watkins,0.0001,BAL,
Matt Breida,0.0001,BUF,
Dawson Knox,0.0001,BUF,
Chuba Hubbard,0.5,CAR,
Christian McCaffrey,2,CAR,
Terrace Marshall Jr.,1.3,CAR,
Royce Freeman,0.0001,CAR,
Shi Smith,0.0001,CAR,
Auden Tate,0.0001,CIN,
Trenton Irwin,0.0001,CIN,
Rashard Higgins,0.5,CLE,
Donovan Peoples-Jones,1.6,CLE,
Austin Hooper,1.25,CLE,
Simi Fehoko,0.0001,DAL,
Michael Gallup,0.0001,DAL,
Dalton Schultz,1.1,DAL,
Cedrick Wilson,1.1,DAL,
Noah Fant,0.0001,DEN,
Marcedes Lewis,1.85,GB,
Pharaoh Brown,0.0001,HOU,
Cavion Davis,0.0001,HOU,
Jordan Akins,1.5,HOU,
Tyron Johnson,0.0001,JAC,
Jacob Hollister,0.0001,JAC,
James Robinson,0.0001,JAC,
Carlos Hyde,1.5,JAC,
Dare Ogunbowale,2,JAC,
Peyton Barber,0.0001,LV,
Zay Jones,1.5,LV,
Jacoby Brissett,1.1,MIA,
Preston Williams,0.0001,MIA,
Mack Hollins,1.5,MIA,
Ihmir Smith-Marsette,0.0001,MIN,
N'Keal Harry,0.0001,NE,
J.J. Taylor,0.0001,NE,
Juwan Johnson,0.0001,NO,
Ty Montgomery,0.0001,NO,
Deonte Harris,0.8,NO,
Sterling Shepard,0.0001,NYG,
Kenny Golladay,1.6,NYG,
Darius Slayton,1.25,NYG,
Jalen Reagor,1.35,PHI,
George Kittle,1.2,SF,
Jeff Wilson Jr.,2,SF,
Eli Mitchell,0.8,SF,
Kyler Murray,1.1,ARI,Late swap opp
Colt McCoy,0.0001,ARI,Late swap opp
