Player Name,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Kerrith Whyte,PIT,3.4,13.2,0.0,0.7,3.5,0.0,0.0,2.3
Kyle Juszczyk,SF,0.4,1.4,0.0,1.5,12.0,0.0,0.1,2.0
CJ Ham,MIN,1.4,4.4,0.0,1.0,7.2,0.1,0.0,1.9
Darrell Henderson,LAR,2.9,11.0,0.0,0.7,3.9,0.0,0.0,1.9
Justice Hill,BAL,3.1,13.3,0.0,0.4,2.5,0.0,0.0,1.8
Boston Scott,PHI,2.6,9.1,0.1,0.5,1.9,0.0,0.0,1.7
Wayne Gallman,NYG,2.3,8.2,0.0,0.6,3.9,0.0,0.0,1.6
Jeff Wilson,SF,2.5,7.9,0.0,0.6,2.7,0.0,0.0,1.6
Jordan Howard,PHI,2.6,7.7,0.0,1.0,3.2,0.0,0.0,1.5
Qadree Ollison,ATL,2.3,8.1,0.0,0.5,2.4,0.0,0.0,1.5
Ameer Abdullah,MIN,2.1,7.4,0.0,0.6,3.8,0.0,0.0,1.4
Kenjon Barner,ATL,1.5,6.5,0.0,0.7,3.8,0.0,0.0,1.4
Reggie Bonnafon,CAR,1.9,7.4,0.0,0.4,2.2,0.0,0.0,1.2
Alex Armah,CAR,1.2,3.2,0.0,0.7,3.4,0.0,0.0,1.2
Javorius Allen,NYG,1.3,4.4,0.0,0.6,3.0,0.0,0.0,1.2
Jamize Olawale,DAL,1.7,6.2,0.0,0.4,2.0,0.0,0.0,1.1
Dontrell Hilliard,CLE,0.9,2.9,0.1,0.4,3.1,0.0,0.0,1.1
Spencer Ware,KC,1.3,4.8,0.0,0.4,3.1,0.0,0.0,1.1
Dan Vitale,GB,0.7,2.3,0.0,0.7,4.4,0.0,0.0,1.0
Alec Ingold,OAK,1.3,4.1,0.0,0.5,2.6,0.0,0.0,1.0
Patrick Ricard,BAL,0.1,0.3,0.0,0.6,4.0,0.0,0.0,1.0
Ryan Nall,CHI,1.2,3.9,0.0,0.4,1.8,0.0,0.0,0.9
Patrick DiMarco,BUF,1.1,3.3,0.0,0.6,2.8,0.0,0.0,0.9
Wendell Smallwood,WAS,1.1,4.1,0.0,0.3,1.6,0.0,0.0,0.9
Justin Jackson,LAC,0.9,3.0,0.0,0.6,2.9,0.0,0.0,0.9
Zach Zenner,MIA,0.9,2.6,0.0,0.4,2.5,0.0,0.0,0.9
Travis Homer,SEA,1.2,4.9,0.0,0.2,1.0,0.0,0.0,0.9
Josh Adams,NYJ,1.3,4.2,0.0,0.4,1.6,0.0,0.0,0.9
D'Ernest Johnson,CLE,0.6,2.9,0.0,0.3,2.6,0.0,0.0,0.9
C.J. Prosise,SEA,1.1,3.2,0.0,0.3,1.9,0.0,0.0,0.9
Trey Edmunds,PIT,1.8,5.6,0.0,0.3,1.3,0.0,0.0,0.8
Anthony Sherman,KC,0.8,2.5,0.0,0.4,3.2,0.0,0.0,0.8
Keith Smith,ATL,1.1,3.8,0.0,0.4,1.5,0.0,0.0,0.8
Devontae Booker,DEN,0.8,2.8,0.0,0.4,2.4,0.0,0.0,0.7
Derek Watt,LAC,1.2,4.0,0.0,0.3,1.5,0.0,0.0,0.7
