A.J. Green,0.0001,
Alvin Kamara,0.0001,
Amara Darboh,0.0001,
Andre Patton,4,Keenan Allen status
Andre Roberts,1.00001,bump if duke williams and robert foster are out
Anthony Miller,1.5,
Antonio Callaway,1.35,Revisit
Austin Carr,2.25,
Breshad Perriman,5,Revisit
Cam Newton,0.0001,
Cameron Brate,1.2,
Charles Clay,1.00001,bump if kirk doesn't play
Chester Rogers,1.5,
Chris Herndon IV,0.0001,
Christian Kirk,1.75,Questionable to play needs bump if plays
Cordarrelle Patterson,0.0001,
Damiere Byrd,1.4,
Dan Arnold,1.7,
Dante Pettis,1.00001,Revisit
Darius Jennings,0.0001,
Darius Slayton,1.2,
Darren Sproles,0.0001,
David Montgomery,1.15,Coach speak run more and LAC injuries
David Moore,1.25,
Deebo Samuel,1.4,Revisit
Delanie Walker,0.0001,
Demaryius Thomas,1.3,
Deon Cain,0.0001,
DeSean Jackson,0.0001,
Emmanuel Sanders,1.1,Revisit
Fred Brown,3,
Gerald Everett,1.1,
Geremy Davis,2.5,Keenan Allen status
Hunter Renfrow,1.00001,Revisit
Isaiah McKenzie,0.00001,bump if duke williams and robert foster are out
Ito Smith,0.0001,
Jacob Hollister,1.6,
James White,0.9,Burkhead Ownership terrible touchdown luck
Jamison Crowder,1.1,
Jared Cook,0.0001,
Jarius Wright,1.55,
Jaron Brown,1.25,
Jonnu Smith,1.15,
Jordan Howard,1.05,
Josh Hill,1.2,
Justin Hardy,1.25,Slight bump after Sanu trade
Keelan Doss,1.00001,Revisit
Keenan Allen,0.5,Pulled hamstring Wednesday
KeeSean Johnson,0.0001,Only played 8% of snaps week 7
Keke Coutee,1.1,
Kendrick Bourne,1.25,Revisit
Kyle Juszczyk,0.0001,
Kyler Murray,1.1,
Latavius Murray,1.1,
Luke Willson,0.5,
Mack Hollins,1.5,
Malcolm Brown,0.0001,
Marcell Ateman,1.00001,Revisit
Marquise Goodwin,0.5,Revisit
Matt Ryan,0.0001,
Maxx Williams,1.00001,bump if kirk doesn't play
Nelson Agholor,1.25,
Noah Fant,1.1,
O.J. Howard,0.0001,
Patrick Mahomes,0.0001,
Rashard Higgins,2,Revisit
Richie James Jr.,1.00001,Revisit
Robby Anderson,1.1,
Russell Gage,2.25,Possibly picking up Sanu role
Ryan Griffin,1.7,
Sam Darnold,1.1,
Scotty Miller,1.00001,Revisit
Seth DeValve,1.5,
Sony Michel,0.9,Burkhead Ownership
Sterling Shepard,0.0001,
Tajae Sharpe,1.3,
Tarik Cohen,1.25,
Taylor Gabriel,1.25,
Ted Ginn,1.2,
Tennessee Titans,1.05,
Todd Gurley,1.05,
Trent Sherfield,1.3,
Tre'Quan Smith,0.0001,
Trevor Davis,1.25,Revisit
Ty Johnson,1.1,
Tyrell Williams,1.2,Revisit
Vernon Davis,0.0001,
Will Fuller,0.0001,
Zach Pascal,1.2,
Zay Jones,1.5,
