Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
1,Russell Wilson,SEA,TB,1,3,1.0,0.2,22.1
2,Deshaun Watson,HOU,JAC,1,10,2.5,0.9,20.7
3,Dak Prescott,DAL,NYG,1,8,3.4,1.0,20.0
4,Aaron Rodgers,GB,LAC,2,7,3.6,0.8,19.4
5,Matthew Stafford,DET,OAK,2,8,4.7,1.0,19.0
6,Lamar Jackson,BAL,NE,4,17,6.9,1.5,18.8
7,Josh Allen,BUF,WAS,5,13,7.4,1.7,18.8
8,Gardner Minshew,JAC,HOU,6,11,8.1,1.1,18.0
9,Jameis Winston,TB,SEA,3,15,9.4,1.4,17.6
10,Tom Brady,NE,BAL,5,17,9.8,1.5,17.2
11,Derek Carr,OAK,DET,5,13,10.6,1.7,16.8
12,Kirk Cousins,MIN,KC,7,16,11.5,1.4,16.6
13,Sam Darnold,NYJ,MIA,11,20,14.3,1.9,16.2
14,Philip Rivers,LAC,GB,6,17,14.8,1.7,16.1
15,Carson Wentz,PHI,CHI,10,21,14.8,1.6,16.0
16,Daniel Jones,NYG,DAL,7,21,15.9,1.8,15.4
17,Jimmy Garoppolo,SF,ARI,10,20,16.1,1.9,15.3
18,Kyler Murray,ARI,SF,12,26,18.2,2.2,15.2
19,Jacoby Brissett,IND,PIT,17,24,19.2,1.3,15.1
20,Mason Rudolph,PIT,IND,16,25,20.6,1.4,14.7
21,Matt Moore,KC,MIN,9,26,21.0,2.7,14.5
22,Kyle Allen,CAR,TEN,18,26,21.9,1.5,14.2
23,Mitch Trubisky,CHI,PHI,16,26,22.5,1.8,13.8
24,Ryan Fitzpatrick,MIA,NYJ,19,26,24.3,1.9,13.6
25,Ryan Tannehill,TEN,CAR,17,26,23.9,1.8,13.3
26,Baker Mayfield,CLE,DEN,20,27,24.9,1.3,13.3
27,Brandon Allen,DEN,CLE,26,28,27.1,0.2,13.1
28,Dwayne Haskins,WAS,BUF,27,30,28.1,0.4,13.0
29,Marcus Mariota,TEN,CAR,28,30,29.8,0.4,12.9
30,Patrick Mahomes,KC,MIN,28,52,33.3,7.9,11.4
31,Matt Barkley,BUF,WAS,31,34,32.2,1.3,11.4
32,Ryan Griffin,TB,SEA,31,34,32.8,1.1,10.5
33,Tyrod Taylor,LAC,GB,32,36,33.5,1.5,7.5
34,Colt McCoy,WAS,BUF,29,34,32.0,1.8,2.7
35,Mike Glennon,OAK,DET,34,42,37.2,2.9,2.4
36,Josh McCown,PHI,CHI,34,48,38.5,5.6,1.2
37,Josh Rosen,MIA,NYJ,30,37,34.7,3.3,1.1
38,Geno Smith,SEA,TB,36,38,36.7,0.9,0.9
39,Jarrett Stidham,NE,BAL,32,42,37.3,4.1,0.8
40,Robert Griffin,BAL,NE,35,35,35.0,0.0,0.8
41,Devlin Hodges,PIT,IND,39,45,42.3,2.5,0.8
42,AJ McCarron,HOU,JAC,38,41,39.5,1.5,0.8
43,Brett Hundley,ARI,SF,37,43,40.0,3.0,0.8
44,Brett Rypien,DEN,CLE,40,48,44.3,3.3,0.8
45,Joshua Dobbs,JAC,HOU,39,46,42.5,3.5,0.7
46,Garrett Gilbert,CLE,DEN,41,44,42.5,1.5,0.6
47,Sean Mannion,MIN,KC,44,46,45.0,1.0,0.4
48,Cooper Rush,DAL,NYG,47,50,48.5,1.5,0.4
49,Nick Mullens,SF,ARI,49,51,50.0,1.0,0.4
