Adrian Peterson,0.01
D.J. Foster,1.1
Kerwynn Williams,1.1
Greg Olsen,0.9
Ed Dickson,1.15
Ty Montgomery,0
Devin Funchess,0.9
Christian McCaffrey,1.08
Doug Martin,0
Mike Williams,0
New Orleans Saints,1
Amari Cooper,0
Michael Crabtree,0
Seth Roberts,1.05
Ameer Abdullah,0.01
LeSean McCoy,0.95
Marshawn Lynch,1.05
Ryan Fitzpatrick,0.01
Jamaal Williams,0.9
Corey Davis,1.1
Delanie Walker,1.05
Sammy Watkins,0.9
Theo Riddick,1.25
Jacquizz Rodgers,0.5
Peyton Barber,1.35
Isaiah Crowell,1.05
Frank Gore,1.05
Orleans Darkwa,1.05
