Name_ID,Fill_Mult
Greg Olsen (11534593),0.502321291
Michael Thomas (11534363),0.517886905
Travis Kelce (11534589),0.53515753
Sammy Watkins (11534407),0.540121891
Devin Funchess (11534387),0.632159139
Cooper Kupp (11534379),0.669422899
Robert Woods (11534369),0.755140401
Brandin Cooks (11534373),0.763870852
Adam Thielen (11534351),0.972193101
