Player Name,Team,def_sack,def_int,def_fr,def_ff,def_td,def_assist,def_safety,def_pa,def_tyda,fpts
Detroit Lions,DET,2.7,1.5,0.7,0.9,0.3,0.0,0.0,15.0,281.2,9.7
Seattle Seahawks,SEA,2.5,1.3,0.7,1.2,0.2,0.0,0.1,14.4,269.1,9.0
Jacksonville Jaguars,JAC,2.9,1.2,0.7,0.9,0.2,0.0,0.0,18.3,315.4,9.0
Chicago Bears,CHI,2.9,1.3,0.7,1.1,0.2,0.0,0.0,17.7,333.6,8.9
Carolina Panthers,CAR,2.9,1.1,0.7,0.9,0.2,0.0,0.0,13.8,257.0,8.6
Pittsburgh Steelers,PIT,3.3,0.8,0.7,1.2,0.2,0.0,0.1,16.7,296.9,8.6
Los Angeles Rams,LAR,2.9,1.0,0.7,1.3,0.2,0.0,0.0,18.2,315.0,8.5
New England Patriots,NE,2.3,1.2,0.8,1.4,0.2,0.0,0.0,17.7,326.4,8.4
New York Giants,NYG,2.6,1.1,0.6,1.0,0.2,0.0,0.0,17.0,282.0,8.2
Tennessee Titans,TEN,2.2,0.8,0.6,1.0,0.2,0.0,0.0,18.0,298.8,7.0
Minnesota Vikings,MIN,2.4,0.8,0.9,1.6,0.2,0.0,0.0,20.2,336.8,6.9
Arizona Cardinals,ARI,2.4,1.0,0.6,1.0,0.1,0.0,0.0,22.0,353.5,6.4
Tampa Bay Buccaneers,TB,2.1,0.9,0.7,1.3,0.2,0.0,0.0,22.8,362.9,6.4
Miami Dolphins,MIA,2.3,0.9,0.6,0.9,0.2,0.0,0.0,22.6,320.9,6.3
New York Jets,NYJ,1.9,1.0,0.6,0.9,0.2,0.0,0.0,20.8,332.1,6.2
Houston Texans,HOU,1.7,0.8,0.8,1.6,0.2,0.0,0.1,27.3,350.4,6.0
San Francisco 49ers,SF,1.8,0.9,0.7,1.1,0.2,0.0,0.0,22.1,358.6,6.0
Green Bay Packers,GB,2.1,0.6,0.7,1.3,0.2,0.0,0.1,20.3,311.8,6.0
Los Angeles Chargers,LAC,2.3,0.8,0.6,1.0,0.2,0.0,0.0,24.2,366.5,5.9
Cincinnati Bengals,CIN,2.2,0.8,0.5,0.8,0.2,0.0,0.0,22.1,333.0,5.9
Washington Redskins,WAS,2.0,0.8,0.6,1.0,0.2,0.0,0.0,22.2,337.3,5.8
New Orleans Saints,NO,2.5,0.7,0.6,0.9,0.1,0.0,0.0,23.0,347.9,5.8
Dallas Cowboys,DAL,2.3,0.6,0.6,1.0,0.1,0.0,0.0,25.3,382.4,5.7
Denver Broncos,DEN,2.3,0.6,0.6,1.0,0.1,0.0,0.0,26.4,362.1,5.6
Cleveland Browns,CLE,2.2,0.6,0.6,1.0,0.2,0.0,0.0,26.0,348.6,5.6
Buffalo Bills,BUF,1.7,0.8,0.6,1.0,0.1,0.0,0.0,25.1,395.3,5.3
Indianapolis Colts,IND,1.3,0.8,0.6,0.8,0.1,0.0,0.0,27.8,423.5,5.0
Atlanta Falcons,ATL,1.6,0.5,0.6,1.0,0.1,0.0,0.0,25.8,382.9,4.5
