team,rank,day,mult
BAL,1,Sun,1
BUF,1,Sun,1
CHI,3,Sun,1
CIN,1,Sun,1
CLE,1,Sun,1
DEN,2,Sun,1
DET,1,Sun,1
GB,1,Sun,1
IND,1,Sun,1
KC,1,Sun,1
LAC,2,Sun,1
LAR,1,Sun,1
LV,1,Sun,1
MIA,1,Sun,1
MIN,1,Sun,1
NE,1,Sun,1
NO,3,Sun,1
NYJ,1,Sun,1
PIT,1,Sun,1
SEA,3,Sun,1
SF,3,Sun,1
TEN,1,Sun,1
