Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
1,San Francisco (SF)SF DST,SF,ARI,1,3,1.2,0.5,10.7
2,Buffalo (BUF)BUF DST,BUF,WAS,1,5,2.1,0.8,10.7
3,New England (NE)NE DST,NE,BAL,2,11,3.4,1.5,9.5
4,Philadelphia (PHI)PHI DST,PHI,CHI,3,10,5.3,1.7,9.5
5,Cleveland (CLE)CLE DST,CLE,DEN,3,13,5.7,2.3,8.8
6,Carolina (CAR)CAR DST,CAR,TEN,3,10,6.3,1.3,8.5
7,Seattle (SEA)SEA DST,SEA,TB,2,11,6.6,1.6,8.2
8,New York (NYJ)NYJ DST,NYJ,MIA,3,12,7.4,2.1,8.2
9,Dallas (DAL)DAL DST,DAL,NYG,4,16,8.9,1.8,8.0
10,Denver (DEN)DEN DST,DEN,CLE,5,19,9.9,2.1,8.0
11,Minnesota (MIN)MIN DST,MIN,KC,8,24,11.6,1.7,7.7
12,Green Bay (GB)GB DST,GB,LAC,8,18,13.2,2.0,7.6
13,Pittsburgh (PIT)PIT DST,PIT,IND,7,18,13.3,2.3,7.2
14,Jacksonville (JAC)JAC DST,JAC,HOU,6,19,13.4,2.8,7.1
15,Tennessee (TEN)TEN DST,TEN,CAR,10,17,14.5,1.6,6.7
16,Chicago (CHI)CHI DST,CHI,PHI,11,20,15.3,1.8,6.7
17,Indianapolis (IND)IND DST,IND,PIT,10,23,16.4,2.0,6.7
18,Houston (HOU)HOU DST,HOU,JAC,10,26,17.9,2.2,6.3
19,Detroit (DET)DET DST,DET,OAK,18,24,20.4,1.7,6.3
20,Washington (WAS)WAS DST,WAS,BUF,14,23,19.8,1.7,6.3
21,Kansas City (KC)KC DST,KC,MIN,18,23,21.0,1.2,6.2
22,Miami (MIA)MIA DST,MIA,NYJ,14,27,22.8,2.0,6.1
23,Los Angeles (LAC)LAC DST,LAC,GB,20,28,22.8,2.4,6.1
24,Oakland (OAK)OAK DST,OAK,DET,17,27,23.3,1.6,6.0
25,Baltimore (BAL)BAL DST,BAL,NE,15,27,24.2,2.0,5.9
26,Tampa Bay (TB)TB DST,TB,SEA,18,28,26.1,1.2,5.9
27,Arizona (ARI)ARI DST,ARI,SF,19,28,26.4,2.0,5.8
28,New York (NYG)NYG DST,NYG,DAL,24,28,27.1,1.1,5.7
29,Los Angeles (LAR)LAR DST,LAR,,22,22,22.0,0.0,0
