"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Kyler Murray",ARI,"1","3","1.2","0.4"
"2","Patrick Mahomes II",KC,"1","5","2.0","0.7"
"3","Russell Wilson",SEA,"1","7","3.0","0.6"
"4","Justin Herbert",LAC,"2","6","4.5","0.7"
"5","Lamar Jackson",BAL,"3","11","5.3","1.4"
"6","Ben Roethlisberger",PIT,"2","12","5.9","1.3"
"7","Deshaun Watson",HOU,"2","13","7.4","1.4"
"8","Aaron Rodgers",GB,"4","15","7.8","1.4"
"9","Matt Ryan",ATL,"6","14","9.4","1.5"
"10","Cam Newton",NE,"6","16","9.9","1.3"
"11","Tom Brady",TB,"7","20","11.7","2.0"
"12","Joe Burrow",CIN,"8","19","13.0","1.8"
"13","Carson Wentz",PHI,"8","23","13.3","2.2"
"14","Derek Carr",LV,"6","24","15.2","2.3"
"15","Taysom Hill",NO,"7","27","15.6","4.0"
"16","Matthew Stafford",DET,"10","24","16.3","2.8"
"17","Kirk Cousins",MIN,"11","28","17.3","2.5"
"18","Tua Tagovailoa",MIA,"14","26","17.4","2.4"
"19","Alex Smith",WAS,"9","28","19.4","3.2"
"20","Ryan Tannehill",TEN,"10","29","19.5","1.9"
"21","Jared Goff",LAR,"11","26","20.5","2.8"
"22","Philip Rivers",IND,"12","25","20.9","2.3"
"23","Andy Dalton",DAL,"15","27","23.2","2.3"
"24","Baker Mayfield",CLE,"21","27","24.1","1.3"
"25","Drew Lock",DEN,"20","33","25.8","1.8"
"26","Joe Flacco",NYJ,"17","29","26.4","1.7"
"27","Phillip Walker",CAR,"9","33","26.3","2.6"
"28","Jake Luton",JAC,"15","30","27.5","1.0"
"29","Jameis Winston",NO,"19","34","28.9","2.2"
"30","Jalen Hurts",PHI,"29","38","30.5","1.6"
"31","Chase Daniel",DET,"30","38","32.7","1.7"
"32","Brett Rypien",DEN,"26","35","31.7","1.8"
"33","Jarrett Stidham",NE,"30","34","32.1","1.0"
"34","Will Grier",CAR,"29","33","31.1","1.3"
"35","Mike Glennon",JAC,"32","35","33.0","1.1"
"36","Jacoby Brissett",IND,"31","36","33.4","1.7"
"37","Dwayne Haskins",WAS,"33","37","34.6","1.4"
"38","Robert Griffin III",BAL,"32","38","35.0","2.5"
"39","Mason Rudolph",PIT,"33","39","35.3","2.6"
"40","Garrett Gilbert",DAL,"36","40","37.7","1.7"
"41","Tyrod Taylor",LAC,"40","44","42.0","2.0"
