Player,Team,Opp,Time,"FD Pos","FD Draft %","FD Sal","DK Pos","DK Draft %","DK Sal"
"Jalen Reagor",PHI,LA,"Sun 01:00 EDT",WR,2.0%,5100,WR,2.4%,4100
"John Brown",BUF,MIA,"Sun 01:00 EDT",WR,1.9%,6400,WR,1.8%,6000
"Carson Wentz",PHI,LA,"Sun 01:00 EDT",QB,1.9%,7300,QB,2.1%,6000
"Evan Engram",NYG,CHI,"Sun 01:00 EDT",TE,1.9%,6000,TE,2.4%,5300
"Brandin Cooks",HOU,BAL,"Sun 04:25 EDT",WR,1.7%,5600,WR,1.8%,4900
"Danny Amendola",DET,GB,"Sun 01:00 EDT",WR,1.6%,5200,WR,1.6%,4800
"Eric Ebron",PIT,DEN,"Sun 01:00 EDT",TE,1.6%,4900,TE,1.9%,4300
"Jerry Jeudy",DEN,PIT,"Sun 01:00 EDT",WR,1.6%,5300,WR,1.6%,4900
"Justin Watson",TB,CAR,"Sun 01:00 EDT",WR,1.5%,4500,WR,1.8%,3500
"Adrian Peterson",DET,GB,"Sun 01:00 EDT",RB,1.4%,5500,RB,1.6%,4700
"Willie Snead",BAL,HOU,"Sun 04:25 EDT",WR,1.4%,5100,WR,1.5%,4300
"Rob Gronkowski",TB,CAR,"Sun 01:00 EDT",TE,1.4%,5400,TE,1.9%,4100
"Jimmy Graham",CHI,NYG,"Sun 01:00 EDT",TE,1.4%,5500,TE,2.1%,3800
"Miles Boykin",BAL,HOU,"Sun 04:25 EDT",WR,1.4%,4700,WR,1.5%,4100
"Antonio Gibson",WAS,ARI,"Sun 04:05 EDT",RB,1.4%,5100,RB,1.6%,4300
"Joshua Kelley",LAC,KC,"Sun 04:25 EDT",RB,1.4%,5500,RB,1.6%,4700
"Jerick McKinnon",SF,NYJ,"Sun 01:00 EDT",RB,1.3%,4900,RB,1.7%,4200
"Jordan Reed",SF,NYJ,"Sun 01:00 EDT",TE,1.3%,4800,TE,2.6%,2600
"Trent Taylor",SF,NYJ,"Sun 01:00 EDT",WR,1.3%,4500,WR,1.7%,3300
"Zach Pascal",IND,MIN,"Sun 01:00 EDT",WR,1.3%,5000,WR,1.7%,3700
"Jordan Akins",HOU,BAL,"Sun 04:25 EDT",TE,1.3%,4600,TE,1.9%,3300
"Brandon Aiyuk",SF,NYJ,"Sun 01:00 EDT",WR,1.3%,4900,WR,1.4%,4300
"Larry Fitzgerald",ARI,WAS,"Sun 04:05 EDT",WR,1.2%,5200,WR,1.3%,4600
"Jimmy Garoppolo",SF,NYJ,"Sun 01:00 EDT",QB,1.2%,7100,QB,1.3%,5700
"Sterling Shepard",NYG,CHI,"Sun 01:00 EDT",WR,1.2%,5600,WR,1.2%,5500
"Jamaal Williams",GB,DET,"Sun 01:00 EDT",RB,1.2%,4800,RB,1.3%,4200
"D'Andre Swift",DET,GB,"Sun 01:00 EDT",RB,1.2%,5200,RB,1.4%,4900
"Adam Humphries",TEN,JAC,"Sun 01:00 EDT",WR,1.1%,4700,WR,1.4%,3400
"Jeremy McNichols",TEN,JAC,"Sun 01:00 EDT",RB,1.1%,4500,RB,0.0%,0
"Tony Pollard",DAL,ATL,"Sun 01:00 EDT",RB,1.1%,4800,RB,1.0%,4900
"Kyle Rudolph",MIN,IND,"Sun 01:00 EDT",TE,1.0%,5000,TE,1.5%,3500
"Nick Boyle",BAL,HOU,"Sun 04:25 EDT",TE,1.0%,4400,TE,1.5%,3100
"Peyton Barber",WAS,ARI,"Sun 04:05 EDT",RB,1.0%,5400,RB,1.1%,4400
"Tarik Cohen",CHI,NYG,"Sun 01:00 EDT",RB,1.0%,5000,RB,1.1%,4800
"Keelan Cole",JAC,TEN,"Sun 01:00 EDT",WR,1.0%,4800,WR,1.0%,4300
"Ian Thomas",CAR,TB,"Sun 01:00 EDT",TE,1.0%,5000,TE,1.7%,3200
"LeSean McCoy",TB,CAR,"Sun 01:00 EDT",RB,0.9%,4500,RB,1.0%,4000
"Frank Gore",NYJ,SF,"Sun 01:00 EDT",RB,0.9%,5400,RB,1.1%,4500
"Dontrelle Inman",WAS,ARI,"Sun 04:05 EDT",WR,0.9%,4600,WR,1.1%,3500
"Ben Roethlisberger",PIT,DEN,"Sun 01:00 EDT",QB,0.9%,7500,QB,0.9%,6300
"Demarcus Robinson",KC,LAC,"Sun 04:25 EDT",WR,0.9%,4700,WR,1.1%,3500
"Gerald Everett",LA,PHI,"Sun 01:00 EDT",TE,0.9%,4300,TE,1.5%,2800
"Anthony Firkser",TEN,JAC,"Sun 01:00 EDT",TE,0.9%,4100,TE,1.5%,2500
"Dan Arnold",ARI,WAS,"Sun 04:05 EDT",TE,0.9%,4400,TE,1.4%,3300
"Alexander Mattison",MIN,IND,"Sun 01:00 EDT",RB,0.9%,4700,RB,1.0%,4300
"Preston Williams",MIA,BUF,"Sun 01:00 EDT",WR,0.9%,5400,WR,1.0%,4800
"Randall Cobb",HOU,BAL,"Sun 04:25 EDT",WR,0.8%,4900,WR,0.8%,4400
"Cole Beasley",BUF,MIA,"Sun 01:00 EDT",WR,0.8%,5400,WR,0.9%,4700
"Ryan Griffin",NYJ,SF,"Sun 01:00 EDT",TE,0.8%,4100,TE,1.2%,2900
"Robert Tonyan",GB,DET,"Sun 01:00 EDT",TE,0.8%,4300,TE,1.5%,2500
"Cam Akers",LA,PHI,"Sun 01:00 EDT",RB,0.8%,5600,RB,0.9%,4500
"Golden Tate",NYG,CHI,"Sun 01:00 EDT",WR,0.7%,5500,WR,0.8%,4900
"Tyler Eifert",JAC,TEN,"Sun 01:00 EDT",TE,0.7%,4600,TE,1.2%,3000
"Darren Fells",HOU,BAL,"Sun 04:25 EDT",TE,0.7%,4300,TE,1.0%,3200
"Tyler Kroft",BUF,MIA,"Sun 01:00 EDT",TE,0.7%,4000,TE,1.2%,2500
"Kalif Raymond",TEN,JAC,"Sun 01:00 EDT",WR,0.7%,4600,WR,1.0%,3000
"Curtis Samuel",CAR,TB,"Sun 01:00 EDT",WR,0.7%,5200,WR,0.8%,4700
"Courtland Sutton",DEN,PIT,"Sun 01:00 EDT",WR,0.7%,6900,WR,0.7%,6000
"Myles Gaskin",MIA,BUF,"Sun 01:00 EDT",RB,0.7%,4900,RB,0.8%,4300
"Chris Thompson",JAC,TEN,"Sun 01:00 EDT",RB,0.6%,4700,RB,0.8%,4000
"Chris Hogan",NYJ,SF,"Sun 01:00 EDT",WR,0.6%,4500,WR,0.9%,3200
"Vance McDonald",PIT,DEN,"Sun 01:00 EDT",TE,0.6%,4500,TE,1.0%,3000
"Jared Goff",LA,PHI,"Sun 01:00 EDT",QB,0.6%,7300,QB,0.7%,5800
"Greg Ward",PHI,LA,"Sun 01:00 EDT",WR,0.6%,4900,WR,0.7%,4200
"James Washington",PIT,DEN,"Sun 01:00 EDT",WR,0.6%,4900,WR,0.7%,4100
"Gardner Minshew",JAC,TEN,"Sun 01:00 EDT",QB,0.6%,7000,QB,0.6%,5800
"Olabisi Johnson",MIN,IND,"Sun 01:00 EDT",WR,0.6%,4900,WR,0.7%,3900
"Kenny Stills",HOU,BAL,"Sun 04:25 EDT",WR,0.5%,4600,WR,0.6%,3500
"Tyrod Taylor",LAC,KC,"Sun 04:25 EDT",QB,0.5%,6800,QB,0.6%,5300
"Duke Johnson",HOU,BAL,"Sun 04:25 EDT",RB,0.5%,4800,RB,0.6%,4000
"J.D. McKissic",WAS,ARI,"Sun 04:05 EDT",RB,0.5%,4600,RB,0.6%,4100
"Brian Hill",ATL,DAL,"Sun 01:00 EDT",RB,0.5%,4600,RB,0.6%,4000
"Royce Freeman",DEN,PIT,"Sun 01:00 EDT",RB,0.5%,4700,RB,0.6%,4000
"Mecole Hardman",KC,LAC,"Sun 04:25 EDT",WR,0.5%,5000,WR,0.6%,3800
"Justin Jefferson",MIN,IND,"Sun 01:00 EDT",WR,0.5%,4700,WR,0.5%,4400
"Teddy Bridgewater",CAR,TB,"Sun 01:00 EDT",QB,0.4%,6900,QB,0.4%,5800
"Tim Patrick",DEN,PIT,"Sun 01:00 EDT",WR,0.4%,4600,WR,0.4%,3800
"Isaiah Ford",MIA,BUF,"Sun 01:00 EDT",WR,0.4%,4500,WR,0.5%,3500
"Matt Breida",MIA,BUF,"Sun 01:00 EDT",RB,0.4%,4800,RB,0.4%,4500
"Kerryon Johnson",DET,GB,"Sun 01:00 EDT",RB,0.4%,5000,RB,0.5%,4000
"Kalen Ballage",NYJ,SF,"Sun 01:00 EDT",RB,0.4%,4500,RB,0.0%,200
"Jaylen Samuels",PIT,DEN,"Sun 01:00 EDT",RB,0.4%,4600,RB,0.5%,4000
"Boston Scott",PHI,LA,"Sun 01:00 EDT",RB,0.4%,5300,RB,0.4%,5000
"Andy Isabella",ARI,WAS,"Sun 04:05 EDT",WR,0.4%,4500,WR,0.5%,3700
"Ted Ginn",CHI,NYG,"Sun 01:00 EDT",WR,0.3%,4800,WR,0.4%,3300
"Cordarrelle Patterson",CHI,NYG,"Sun 01:00 EDT",WR,0.3%,5000,WR,0.4%,3400
"Kirk Cousins",MIN,IND,"Sun 01:00 EDT",QB,0.3%,7400,QB,0.3%,5900
"Chris Conley",JAC,TEN,"Sun 01:00 EDT",WR,0.3%,4900,WR,0.3%,3600
"Jakeem Grant",MIA,BUF,"Sun 01:00 EDT",WR,0.3%,4500,WR,0.3%,3900
"Josh Reynolds",LA,PHI,"Sun 01:00 EDT",WR,0.3%,4800,WR,0.3%,4000
"Ito Smith",ATL,DAL,"Sun 01:00 EDT",RB,0.3%,4600,RB,0.4%,4000
"Braxton Berrios",NYJ,SF,"Sun 01:00 EDT",WR,0.3%,4500,WR,0.4%,3000
"Daniel Jones",NYG,CHI,"Sun 01:00 EDT",QB,0.3%,6900,QB,0.3%,5800
"La'Mical Perine",NYJ,SF,"Sun 01:00 EDT",RB,0.3%,4500,RB,0.3%,4000
"Jordan Howard",MIA,BUF,"Sun 01:00 EDT",RB,0.2%,5100,RB,0.2%,4700
"Dwayne Haskins",WAS,ARI,"Sun 04:05 EDT",QB,0.2%,6500,QB,0.2%,5100
"Drew Lock",DEN,PIT,"Sun 01:00 EDT",QB,0.2%,6700,QB,0.2%,5400
"Dawson Knox",BUF,MIA,"Sun 01:00 EDT",TE,0.2%,4700,TE,0.2%,3700
"Chase Claypool",PIT,DEN,"Sun 01:00 EDT",WR,0.2%,4500,WR,0.3%,3000
"Ryan Fitzpatrick",MIA,BUF,"Sun 01:00 EDT",QB,0.1%,6500,QB,0.1%,5200
"Sam Darnold",NYJ,SF,"Sun 01:00 EDT",QB,0.1%,6600,QB,0.1%,5100
"Ross Dwelley",SF,NYJ,"Sun 01:00 EDT",TE,0.1%,4400,TE,0.2%,2500
"Cameron Batson",TEN,JAC,"Sun 01:00 EDT",WR,0.1%,4500,WR,0.0%,0
