Player,Team,Opp,Time,"FD Pos","FD Draft %","FD Sal","DK Pos","DK Draft %","DK Sal"
"Boston Scott",PHI,WAS,"Sun 01:00 EDT",RB,39.4%,4700,RB,32.5%,4800
"Christian McCaffrey",CAR,LV,"Sun 01:00 EDT",RB,37.9%,10000,RB,25.7%,10000
"Michael Thomas",NO,TB,"Sun 04:25 EDT",WR,29.7%,8800,WR,17.4%,9000
"Davante Adams",GB,MIN,"Sun 01:00 EDT",WR,23.0%,8000,WR,14.5%,7300
"Josh Jacobs",LV,CAR,"Sun 01:00 EDT",RB,22.8%,8200,RB,17.1%,6800
"George Kittle",SF,ARI,"Sun 04:25 EDT",TE,19.7%,8000,TE,8.2%,7200
"Tyler Lockett",SEA,ATL,"Sun 01:00 EDT",WR,19.4%,6800,WR,11.6%,6500
"Julio Jones",ATL,SEA,"Sun 01:00 EDT",WR,18.3%,8200,WR,14.8%,7700
"Austin Ekeler",LAC,CIN,"Sun 04:05 EDT",RB,17.8%,7700,RB,8.6%,7000
"DeSean Jackson",PHI,WAS,"Sun 01:00 EDT",WR,17.5%,5700,WR,23.2%,4900
"Alvin Kamara",NO,TB,"Sun 04:25 EDT",RB,17.4%,8300,RB,16.8%,7200
"Lamar Jackson",BAL,CLE,"Sun 01:00 EDT",QB,16.3%,9400,QB,16.2%,8100
"Marquise Brown",BAL,CLE,"Sun 01:00 EDT",WR,15.2%,5900,WR,13.4%,5100
"Russell Wilson",SEA,ATL,"Sun 01:00 EDT",QB,14.8%,8400,QB,15.3%,7000
"Zach Ertz",PHI,WAS,"Sun 01:00 EDT",TE,14.5%,6600,TE,9.3%,5800
"DK Metcalf",SEA,ATL,"Sun 01:00 EDT",WR,13.9%,6400,WR,11.7%,5800
"Adam Thielen",MIN,GB,"Sun 01:00 EDT",WR,13.2%,6800,WR,10.3%,6700
"Dalvin Cook",MIN,GB,"Sun 01:00 EDT",RB,11.6%,8700,RB,12.0%,7900
"Antonio Gibson",WAS,PHI,"Sun 01:00 EDT",RB,10.3%,4600,RB,15.0%,4000
"T.Y. Hilton",IND,JAC,"Sun 01:00 EDT",WR,10.2%,6400,WR,12.9%,5800
"Terry McLaurin",WAS,PHI,"Sun 01:00 EDT",WR,10.2%,6500,WR,13.9%,5600
"Chris Godwin",TB,NO,"Sun 04:25 EDT",WR,8.7%,7700,WR,6.3%,7100
"Calvin Ridley",ATL,SEA,"Sun 01:00 EDT",WR,8.5%,6600,WR,10.4%,6100
"Matt Ryan",ATL,SEA,"Sun 01:00 EDT",QB,8.4%,7800,QB,8.4%,6700
"Mike Evans",TB,NO,"Sun 04:25 EDT",WR,7.6%,7500,WR,4.7%,6900
"Joe Mixon",CIN,LAC,"Sun 04:05 EDT",RB,7.6%,7300,RB,3.9%,6700
"Mark Andrews",BAL,CLE,"Sun 01:00 EDT",TE,6.9%,7400,TE,9.3%,6000
"Allen Robinson",CHI,DET,"Sun 01:00 EDT",WR,6.6%,7200,WR,8.2%,6500
"D.J. Moore",CAR,LV,"Sun 01:00 EDT",WR,6.0%,7100,WR,7.6%,6600
"Cam Newton",NE,MIA,"Sun 01:00 EDT",QB,5.9%,7300,QB,6.1%,6100
"Julian Edelman",NE,MIA,"Sun 01:00 EDT",WR,5.8%,6700,WR,7.4%,6000
"Raheem Mostert",SF,ARI,"Sun 04:25 EDT",RB,5.7%,6200,RB,5.5%,5800
"Chris Carson",SEA,ATL,"Sun 01:00 EDT",RB,5.7%,7200,RB,6.2%,6200
"Marvin Jones",DET,CHI,"Sun 01:00 EDT",WR,5.6%,6200,WR,7.2%,5500
"Henry Ruggs",LV,CAR,"Sun 01:00 EDT",WR,5.6%,5100,WR,6.7%,5100
"Marlon Mack",IND,JAC,"Sun 01:00 EDT",RB,5.4%,6100,RB,5.6%,5300
"Mark Ingram",BAL,CLE,"Sun 01:00 EDT",RB,5.3%,7000,RB,6.2%,5500
"Jonathan Taylor",IND,JAC,"Sun 01:00 EDT",RB,5.3%,5400,RB,4.5%,5700
"Stefon Diggs",BUF,NYJ,"Sun 01:00 EDT",WR,5.2%,6600,WR,6.1%,6400
"Jimmy Garoppolo",SF,ARI,"Sun 04:25 EDT",QB,5.0%,7400,QB,5.5%,5800
"Keenan Allen",LAC,CIN,"Sun 04:05 EDT",WR,4.9%,7000,WR,6.2%,6400
"DeAndre Hopkins",ARI,SF,"Sun 04:25 EDT",WR,4.8%,7800,WR,6.6%,6800
"Hayden Hurst",ATL,SEA,"Sun 01:00 EDT",TE,4.8%,5200,TE,6.5%,4300
"Kendrick Bourne",SF,ARI,"Sun 04:25 EDT",WR,4.7%,5700,WR,6.2%,5000
"Philip Rivers",IND,JAC,"Sun 01:00 EDT",QB,4.6%,7100,QB,4.7%,6000
"Darren Waller",LV,CAR,"Sun 01:00 EDT",TE,4.6%,6800,TE,6.0%,5900
"Parris Campbell",IND,JAC,"Sun 01:00 EDT",WR,4.6%,5100,WR,7.1%,3900
"D.J. Chark",JAC,IND,"Sun 01:00 EDT",WR,4.5%,6600,WR,5.6%,6300
"T.J. Hockenson",DET,CHI,"Sun 01:00 EDT",TE,4.5%,5300,TE,6.2%,4200
"Tom Brady",TB,NO,"Sun 04:25 EDT",QB,4.4%,7600,QB,4.5%,6500
