  Week 1,,,
 Date,Time (ET), Away Team, Home Team
 Thu Sep 5,8:20 PM, Green Bay Packers, Chicago Bears
 Sun Sep 8,1:00 PM, Atlanta Falcons, Minnesota Vikings
,1:00 PM, Baltimore Ravens, Miami Dolphins
,1:00 PM, Buffalo Bills, New York Jets
,1:00 PM, Kansas City Chiefs, Jacksonville Jaguars
,1:00 PM, Los Angeles Rams, Carolina Panthers
,1:00 PM, Tennessee Titans, Cleveland Browns
,1:00 PM, Washington Redskins, Philadelphia Eagles
,4:05 PM, Cincinnati Bengals, Seattle Seahawks
,4:05 PM, Indianapolis Colts, Los Angeles Chargers
,4:25 PM, Detroit Lions, Arizona Cardinals
,4:25 PM, New York Giants, Dallas Cowboys
,4:25 PM, San Francisco 49ers, Tampa Bay Buccaneers
,8:20 PM, Pittsburgh Steelers, New England Patriots
 Mon Sep 9,7:10 PM, Houston Texans, New Orleans Saints
,10:20 PM, Denver Broncos, Oakland Raiders
  Week 2,,,
 Date,Time (ET), Away Team, Home Team
 Thu Sep 12,8:20 PM, Tampa Bay Buccaneers, Carolina Panthers
 Sun Sep 15,1:00 PM, Arizona Cardinals, Baltimore Ravens
,1:00 PM, Buffalo Bills, New York Giants
,1:00 PM, Dallas Cowboys, Washington Redskins
,1:00 PM, Indianapolis Colts, Tennessee Titans
,1:00 PM, Jacksonville Jaguars, Houston Texans
,1:00 PM, Los Angeles Chargers, Detroit Lions
,1:00 PM, Minnesota Vikings, Green Bay Packers
,1:00 PM, New England Patriots, Miami Dolphins
,1:00 PM, San Francisco 49ers, Cincinnati Bengals
,1:00 PM, Seattle Seahawks, Pittsburgh Steelers
,4:05 PM, Kansas City Chiefs, Oakland Raiders
,4:25 PM, Chicago Bears, Denver Broncos
,4:25 PM, New Orleans Saints, Los Angeles Rams
,8:20 PM, Philadelphia Eagles, Atlanta Falcons
 Mon Sep 16,8:15 PM, Cleveland Browns, New York Jets
  Week 3,,,
 Date,Time (ET), Away Team, Home Team
 Thu Sep 19,8:20 PM, Tennessee Titans, Jacksonville Jaguars
 Sun Sep 22,1:00 PM, Atlanta Falcons, Indianapolis Colts
,1:00 PM, Baltimore Ravens, Kansas City Chiefs
,1:00 PM, Cincinnati Bengals, Buffalo Bills
,1:00 PM, Denver Broncos, Green Bay Packers
,1:00 PM, Detroit Lions, Philadelphia Eagles
,1:00 PM, Miami Dolphins, Dallas Cowboys
,1:00 PM, New York Jets, New England Patriots
,1:00 PM, Oakland Raiders, Minnesota Vikings
,4:05 PM, Carolina Panthers, Arizona Cardinals
,4:05 PM, New York Giants, Tampa Bay Buccaneers
,4:25 PM, Houston Texans, Los Angeles Chargers
,4:25 PM, New Orleans Saints, Seattle Seahawks
,4:25 PM, Pittsburgh Steelers, San Francisco 49ers
,8:20 PM, Los Angeles Rams, Cleveland Browns
 Mon Sep 23,8:15 PM, Chicago Bears, Washington Redskins
  Week 4,,,
 Date,Time (ET), Away Team, Home Team
 Thu Sep 26,8:20 PM, Philadelphia Eagles, Green Bay Packers
 Sun Sep 29,1:00 PM, Carolina Panthers, Houston Texans
,1:00 PM, Cleveland Browns, Baltimore Ravens
,1:00 PM, Kansas City Chiefs, Detroit Lions
,1:00 PM, Los Angeles Chargers, Miami Dolphins
,1:00 PM, New England Patriots, Buffalo Bills
,1:00 PM, Oakland Raiders, Indianapolis Colts
,1:00 PM, Tennessee Titans, Atlanta Falcons
,1:00 PM, Washington Redskins, New York Giants
,4:05 PM, Seattle Seahawks, Arizona Cardinals
,4:05 PM, Tampa Bay Buccaneers, Los Angeles Rams
,4:25 PM, Jacksonville Jaguars, Denver Broncos
,4:25 PM, Minnesota Vikings, Chicago Bears
,8:20 PM, Dallas Cowboys, New Orleans Saints
 Mon Sep 30,8:15 PM, Cincinnati Bengals, Pittsburgh Steelers
,,,
" Bye: N.Y. Jets, San Francisco",,,
,,,
  Week 5,,,
 Date,Time (ET), Away Team, Home Team
 Thu Oct 3,8:20 PM, Los Angeles Rams, Seattle Seahawks
 Sun Oct 6,1:00 PM, Arizona Cardinals, Cincinnati Bengals
,1:00 PM, Atlanta Falcons, Houston Texans
,1:00 PM, Baltimore Ravens, Pittsburgh Steelers
,1:00 PM, Buffalo Bills, Tennessee Titans
,1:00 PM, Chicago Bears, Oakland Raiders ¹
,1:00 PM, Jacksonville Jaguars, Carolina Panthers
,1:00 PM, Minnesota Vikings, New York Giants
,1:00 PM, New England Patriots, Washington Redskins
,1:00 PM, New York Jets, Philadelphia Eagles
,1:00 PM, Tampa Bay Buccaneers, New Orleans Saints
,4:05 PM, Denver Broncos, Los Angeles Chargers
,4:25 PM, Green Bay Packers, Dallas Cowboys
,8:20 PM, Indianapolis Colts, Kansas City Chiefs
 Mon Oct 7,8:15 PM, Cleveland Browns, San Francisco 49ers
,,,
 ¹ This game is being played in London.,,,
,,,
" Bye: Detroit, Miami",,,
,,,
  Week 6,,,
 Date,Time (ET), Away Team, Home Team
 Thu Oct 10,8:20 PM, New York Giants, New England Patriots
 Sun Oct 13,9:30 AM, Carolina Panthers, Tampa Bay Buccaneers ¹
,1:00 PM, Cincinnati Bengals, Baltimore Ravens
,1:00 PM, Houston Texans, Kansas City Chiefs
,1:00 PM, New Orleans Saints, Jacksonville Jaguars
,1:00 PM, Philadelphia Eagles, Minnesota Vikings
,1:00 PM, Seattle Seahawks, Cleveland Browns
,1:00 PM, Washington Redskins, Miami Dolphins
,4:05 PM, Atlanta Falcons, Arizona Cardinals
,4:05 PM, San Francisco 49ers, Los Angeles Rams
,4:25 PM, Dallas Cowboys, New York Jets
,4:25 PM, Tennessee Titans, Denver Broncos
,8:20 PM, Pittsburgh Steelers, Los Angeles Chargers
 Mon Oct 14,8:15 PM, Detroit Lions, Green Bay Packers
,,,
 ¹ This game is being played in London.,,,
,,,
" Bye: Buffalo, Chicago, Indianapolis, Oakland",,,
,,,
  Week 7,,,
 Date,Time (ET), Away Team, Home Team
 Thu Oct 17,8:20 PM, Kansas City Chiefs, Denver Broncos
 Sun Oct 20,1:00 PM, Arizona Cardinals, New York Giants
,1:00 PM, Houston Texans, Indianapolis Colts
,1:00 PM, Jacksonville Jaguars, Cincinnati Bengals
,1:00 PM, Los Angeles Rams, Atlanta Falcons
,1:00 PM, Miami Dolphins, Buffalo Bills
,1:00 PM, Minnesota Vikings, Detroit Lions
,1:00 PM, Oakland Raiders, Green Bay Packers
,1:00 PM, San Francisco 49ers, Washington Redskins
,4:05 PM, Los Angeles Chargers, Tennessee Titans
