Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts,uncertainty
1,Buffalo (BUF)BUF DST,BUF,MIA,1,6,1.7,1.1,9.1,1.2100000000000002
2,San Francisco (SF)SF DST,SF,NYJ,1,15,2.4,1.5,8.7,2.25
3,Pittsburgh (PIT)PIT DST,PIT,DEN,1,22,3.1,2.7,8.7,7.290000000000001
4,Baltimore (BAL)BAL DST,BAL,HOU,1,18,5.2,2.1,8.2,4.41
5,Kansas City (KC)KC DST,KC,LAC,2,15,5.9,1.9,8.2,1.805
6,Chicago (CHI)CHI DST,CHI,NYG,1,14,6.3,1.9,7.8,3.61
7,Tennessee (TEN)TEN DST,TEN,JAC,1,17,7.7,2.3,7.6,5.289999999999999
8,Los Angeles (LAR)LAR DST,LAR,PHI,1,20,9.0,3.4,7.5,11.559999999999999
9,New Orleans (NO)NO DST,NO,LV,3,24,10.2,3.6,7.5,4.32
10,Tampa Bay (TB)TB DST,TB,CAR,2,28,11.2,3.5,7.4,6.125
11,Philadelphia (PHI)PHI DST,PHI,LAR,3,24,12.5,3.5,7.0,4.083333333333333
12,Arizona (ARI)ARI DST,ARI,WAS,2,29,12.9,5.7,7.0,16.245
13,Indianapolis (IND)IND DST,IND,MIN,5,23,13.3,3.5,6.9,2.45
14,Seattle (SEA)SEA DST,SEA,NE,5,23,14.2,2.8,6.6,1.5679999999999998
15,New England (NE)NE DST,NE,SEA,4,23,14.5,4.1,6.6,4.2025
16,Green Bay (GB)GB DST,GB,DET,4,25,14.9,3.4,6.5,2.8899999999999997
17,Washington (WAS)WAS DST,WAS,ARI,6,26,18.2,4.2,6.5,2.94
18,Dallas (DAL)DAL DST,DAL,ATL,14,27,18.4,2.5,6.5,0.44642857142857145
19,Minnesota (MIN)MIN DST,MIN,IND,6,29,19.5,3.6,6.4,2.16
20,Denver (DEN)DEN DST,DEN,PIT,10,28,19.5,3.5,6.3,1.225
21,Cleveland (CLE)CLE DST,CLE,CIN,1,29,18.9,5.5,6.2,30.25
22,Cincinnati (CIN)CIN DST,CIN,CLE,13,27,21.0,2.6,6.1,0.52
23,Miami (MIA)MIA DST,MIA,BUF,11,32,21.2,3.5,6.1,1.1136363636363635
24,New York (NYG)NYG DST,NYG,CHI,7,31,23.1,3.9,5.9,2.1728571428571426
25,Los Angeles (LAC)LAC DST,LAC,KC,6,32,23.4,5.1,5.9,4.335
26,New York (NYJ)NYJ DST,NYJ,SF,10,32,24.6,2.7,5.7,0.7290000000000001
27,Las Vegas (LV)LV DST,LV,NO,16,32,27.2,2.3,5.5,0.33062499999999995
28,Detroit (DET)DET DST,DET,GB,14,32,27.6,2.7,5.5,0.5207142857142858
29,Jacksonville (JAC)JAC DST,JAC,TEN,12,31,27.2,4.0,5.4,1.3333333333333333
30,Atlanta (ATL)ATL DST,ATL,DAL,13,32,28.6,2.2,5.3,0.37230769230769234
31,Carolina (CAR)CAR DST,CAR,TB,25,32,28.8,2.0,4.8,0.16
32,Houston (HOU)HOU DST,HOU,BAL,14,32,30.6,2.4,4.3,0.4114285714285714
