Antoine Wesley,1.33,ARI
Devin Duvernay,1.15,BAL
Devin Singletary,1.1,BUF
Matt Breida,0.5,BUF
Zack Moss,0.0001,BUF
Emmanuel Sanders,0.0001,BUF
Shi Smith,0.0001,CAR
Simi Fehoko,0.0001,DAL
Shane Zylstra,1.7,DET
Brock Wright,1.2,DET
Trinity Benson,0.0001,DET
Paul Quessenberry,0.0001,HOU
Luke Farrell,0.0001,JAC
Carolos Hyde,0.0001,JAC
Larry Rountree,0.0001,LAC
Jaylen Waddle,0.0001,MIA
Mack Hollins,1.4,MIA
Adam Shaheen,0.0001,MIA
Braxton Berrios,0.75,NYJ
D.J. Montgomery,1.5,NYJ
Denzel Mims,1,NYJ
Ty Johnson,0.0001,NYJ
La'Mical Perine,0.0001,NYJ
James Washington,0.5,PIT
Ray-Ray McCloud,1.5,PIT
Jauan Jennings,1.25,SF
Jeff Wilson Jr.,1.1,SF
Michael Carter,1.05,NYJ
P.J. Walker,0.0001,CAR
Julio Jones,1.05,TEN
Albert Wilson,1.2,MIA
