"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"101","Elijah McGuire",MIA,"vs. KC","-","F","1.6","-0.1","0% (0/4)","0%","N/A"
"102","Buddy Howell",HOU,"at CHI"," 3.2","F","1.5","-0.6","0% (0/12)","0%","N/A"
"103","Troymaine Pope",LAC,"vs. ATL"," 4.2","F","1.4","-","-","3%","Awful"
"104","Khari Blasingame",TEN,"at JAC","-","F","1.4","-0.1","38% (5/13)","0%","N/A"
"105","AJ Dillon",GB,"at DET","-","F","1.2","-1.0","11% (1/9)","0%","Awful"
"106","Dwayne Washington",NO,"at PHI"," 6.0","F","1.2","0.0","20% (2/10)","0%","Awful"
"107","Patrick Ricard",BAL,"at CLE","-","F","0.0","-0.5","14% (2/14)","5%","Average"
"108","Qadree Ollison",ATL,"at LAC"," 8.6","F","0.0","+0.3","25% (2/8)","0%","Awful"
"109","Alex Armah",CAR,"vs. DEN","-","F","0.0","-1.0","6% (1/15)","2%","Awful"
"110","Keith Smith",ATL,"at LAC","-","F","0.0","-0.2","38% (5/13)","1%","Awful"
"111","Anthony Sherman",KC,"at MIA","-","F","1.0","-0.4","7% (1/14)","6%","Great"
"112","Devonta Freeman",NYG,"vs. ARI","-","F","0.0","-0.8","44% (4/9)","8%","Poor"
"113","Michael Burton",NO,"at PHI","-","F","-","-0.1","14% (2/14)","0%","Awful"
"114","Reggie Gilliam",BUF,"vs. PIT","-","F","-","-1.0","18% (2/11)","6%","Great"
"115","T.J. Yeldon",BUF,"vs. PIT","-","F","-","+0.7","14% (1/7)","3%","Great"
"116","Ke'Shawn Vaughn",TB,"vs. MIN","-","F","-","-1.3","10% (1/10)","3%","Great"
"117","Andy Janovich",CLE,"vs. BAL","-","F","-","-1.1","0% (0/10)","0%","Awful"
"118","Derek Watt",PIT,"at BUF","-","F","-","-0.1","8% (1/12)","0%","N/A"
"119","Lamar Miller",CHI,"vs. HOU","-","F","-","-1.8","0% (0/3)","0%","Awful"
"120","Dontrell Hilliard",CLE,"vs. BAL","-","F","-","-0.9","30% (3/10)","2%","Awful"
"121","Jonathan Ward",ARI,"at NYG","-","F","-","-","-","0%","N/A"
