"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"130","Dontrelle Inman",WAS,"at SF"," 4.4","F","2.6","-1.9","23% (3/13)","4%","Great"
"131","Javon Wims",CHI,"vs. HOU"," 7.8","F","2.5","-0.7","33% (4/12)","4%","Good"
"132","John Hightower",PHI,"vs. NO"," 7.6","F","2.3","-0.9","36% (4/11)","5%","Awful"
"133","Noah Brown",DAL,"at CIN"," 8.8","F","2.3","+0.7","40% (4/10)","3%","Awful"
"134","C.J. Board",NYG,"vs. ARI"," 7.8","F","2.3","-0.6","18% (2/11)","0%","Awful"
"135","Gunner Olszewski",NE,"at LAR"," 4.6","F","2.2","+1.0","16% (1/6)","1%","Great"
"136","Marcus Johnson",IND,"at LV"," 7.8","F","1.9","+0.5","37% (6/16)","5%","Awful"
"137","Tyler Johnson",TB,"vs. MIN"," 7.8","F","1.9","+0.6","33% (3/9)","5%","Average"
"138","Donte Moncrief",NE,"at LAR"," 4.6","F","1.9","-2.7","0% (0/1)","1%","Awful"
"139","Marcus Kemp",KC,"at MIA"," 5.0","F","1.8","-0.3","0% (0/6)","0%","Awful"
"140","DeMichael Harris",IND,"at LV"," 7.8","F","1.8","-","-","2%","Awful"
"141","Zay Jones",LV,"vs. IND"," 5.2","F","1.7","-1.2","25% (4/16)","2%","Great"
"142","Antonio Callaway",MIA,"vs. KC"," 6.0","F","1.6","-1.7","0% (0/4)","0%","N/A"
"143","Malik Taylor",GB,"at DET"," 5.8","F","1.5","-0.6","40% (4/10)","4%","Average"
"144","Isaiah Coulter",HOU,"at CHI","-","F","1.4","-","-","0%","N/A"
"145","Tommylee Lewis",NO,"at PHI"," 6.6","F","-","-","-","2%","Awful"
"146","James Proche",BAL,"at CLE"," 5.6","F","-","-0.4","0% (0/8)","0%","N/A"
"147","Deonte Harris",NO,"at PHI","-","F","-","+0.3","46% (6/13)","4%","Awful"
"148","Dante Pettis",NYG,"vs. ARI","-","F","-","-2.3","0% (0/9)","0%","N/A"
"149","Ashton Dulin",IND,"at LV"," 7.0","F","-","-0.6","20% (2/10)","0%","Awful"
"150","Trent Taylor",SF,"vs. WAS"," 4.4","F","-","-1.6","27% (3/11)","7%","Awful"
"151","Marvin Hall",CLE,"vs. BAL","-","F","-","+0.6","27% (3/11)","0%","N/A"
"152","Tyrie Cleveland",DEN,"at CAR"," 6.2","F","-","0.0","33% (2/6)","2%","Awful"
"153","Laquon Treadwell",ATL,"at LAC","-","F","-","-0.1","25% (1/4)","0%","N/A"
"154","Penny Hart",SEA,"vs. NYJ","-","F","-","-","-","0%","N/A"
"155","Justin Watson",TB,"vs. MIN"," 7.6","F","-","+0.6","44% (4/9)","0%","Awful"
