Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts,uncertainty
97,Alec Ingold,OAK,KC,95,100,97.3,2.1,1.2,0.0464210526316
98,Derek Watt,LAC,DEN,95,97,96.0,0.7,1.2,0.00515789473684
99,Anthony Sherman,KC,OAK,85,101,94.7,6.9,1.1,0.560117647059
100,Justin Jackson,LAC,DEN,84,103,93.5,9.5,0.9,1.0744047619
101,C.J. Prosise,SEA,MIN,93,95,94.0,1.0,0.9,0.010752688172
102,Keith Smith,ATL,NO,97,98,97.5,0.5,0.9,0.00257731958763
103,Jamize Olawale,DAL,BUF,99,102,100.5,1.5,0.7,0.0227272727273
104,Dwayne Washington,NO,ATL,98,106,102.0,4.0,0.7,0.163265306122
105,Troymaine Pope,LAC,DEN,99,108,103.5,4.5,0.5,0.204545454545
106,D'Ernest Johnson,CLE,PIT,103,105,104.0,1.0,0.4,0.00970873786408
107,Travis Homer,SEA,MIN,104,107,105.5,1.5,0.4,0.0216346153846
108,Damien Harris,NE,HOU,106,107,106.5,0.5,0.4,0.00235849056604
