Andy Isabella,1.25,ARI,Larry fitz out
Larry Fitzgerald,0.5,ARI,Still covid
Julio Jones,1.075,ATL,back from inj
Cordarrelle Patterson,0.5,CHI,
David Montgomery,0.9,Chi,
Cole Kmet,1.85,CHI,
Drew Sample,1.2,CIN,
Donovan Peoples-Jones,2,CLE,Hodge out
Kareem Hunt,0.9,CLE,
Danny Amendola,2.25,DET ,Return from injury
Marvin Hall,1.75,DET ,"Reports that he will be waived, using him to add cephus"
Quintez Cephus,1.85,DET ,Not making it through to the Flex sheet
Allen Lazard,0.85,GB,Still ramping snaps
Robert Tonyan,0.85,GB,
Keke Coutee,0.95,HOU,
Isaiah Coulter,0.0001,HOU,Inactive
Jordan Akins,0.9,HOU,
Duke Johnson Jr.,0.5,HOU,
David Johnson,1.6,HOU,
Michael Pittman Jr.,0.95,IND,
Mo Alie-Cox,0.0001,IND,
Collin Johnson,0.5,JAC,
Jalen Guyton,1.05,LAC,
Nelson Agholor,0.9,LV,
Devontae Booker,1.125,LV,
DeVante Parker,0.9,MIA,Depends on QB
Jakeem Grant,0.95,MIA,Grant got less playing time week 12
Mack Hollins,1.5,MIA,
Olabisi Johnson,1.1,MIN,
Adam Thielen,1,MIN,
Kyle Rudolph,0.85,MIN,
Jakobi Meyers,0.85,NE,
Damiere Byrd,1.15,NE,
Michael Thomas,0.9,NO,
Jared Cook,0.7,NO,
Alvin Kamara,1.075,NO,fallen too far narrative
Golden Tate,1.1,NYG,
Jamison Crowder,1.15,NYJ,
Alshon Jeffery,1.1,PHI,
Greg Ward,1.1,PHI,
Travis Fulgham,0.9,PHI,
Will Dissly,1.2,SEA,
David Moore,0.8,SEA,
Chris Carson,1.05,SEA,
Adam Humphries,1.4,TEN,
Derrick Henry,1.1,TEN,
Geoff Swaim,2,TEN,
Myles Gaskin,1.075,MIA,Leverage and back from inj
Deonte Harris,0.0001,NO,
Alexander Mattison,0.0001,MIN,
Tajae Sharpe,0.0001,TEN,
Dezmon Patmon,0.0001,IND,
Riley Ridley,0.0001,CHI,
Ryan Fitzpatrick,0.0001,MIA,
Tua Tagovailoa,1.2,MIA,
Jonathan Taylor,1.25,IND,Leverage and back from inj
