Player,Ownership
Name,pOWN%
Brian Hill,40.20%
Josh Jacobs,27.80%
Dalvin Cook,27.80%
D.J. Moore,26.00%
Christian McCaffrey,25.90%
Deebo Samuel,23.60%
Tevin Coleman,21.00%
Greg Olsen,20.80%
Michael Thomas,19.70%
Miles Sanders,18.20%
Eric Ebron,15.70%
Ezekiel Elliott,14.90%
Darren Waller,14.60%
Curtis Samuel,14.20%
Mike Evans,12.30%
Tyrell Williams,11.80%
Calvin Ridley,11.50%
Julio Jones,11.10%
Russell Gage,10.80%
John Brown,9.80%
Jared Cook,9.50%
Terry McLaurin,9.30%
Alvin Kamara,9.30%
Chris Godwin,9.10%
Marquise Brown,9.00%
Stefon Diggs,8.40%
Mohamed Sanu,8.00%
Mark Andrews,8.00%
Dede Westbrook,7.90%
Christian Kirk,7.40%
Amari Cooper,7.10%
DeVante Parker,7.00%
DeAndre Hopkins,6.90%
Hunter Renfrow,6.90%
Leonard Fournette,6.90%
Randall Cobb,6.90%
Julian Edelman,6.80%
Zach Ertz,5.90%
Ross Dwelley,5.70%
Ted Ginn,5.40%
Mark Ingram,5.40%
Kalen Ballage,5.40%
Tyler Boyd,5.10%
Devin Singletary,5.10%
Allen Hurns,5.00%
James White,4.30%
J.D. McKissic,4.30%
Sony Michel,4.30%
Joe Mixon,4.30%
Auden Tate,4.30%
Le'Veon Bell,3.90%
Jack Doyle,3.90%
Noah Fant,3.90%
DJ Chark,3.70%
Marlon Mack,3.70%
Kendrick Bourne,3.60%
Cole Beasley,3.60%
Marvin Jones,3.50%
Michael Gallup,3.50%
Ronald Jones,3.40%
Kenny Golladay,3.20%
Phillip Dorsett,3.20%
Adrian Peterson,3.20%
Courtland Sutton,3.10%
Tre'Quan Smith,3.10%
Dallas Goedert,3.00%
Carlos Hyde,2.90%
Nelson Agholor,2.90%
Duke Johnson,2.90%
Latavius Murray,2.40%
David Johnson,2.40%
Ty Johnson,2.30%
Larry Fitzgerald,2.20%
Mike Gesicki,2.10%
Derrius Guice,1.90%
O.J. Howard,1.90%
Irv Smith,1.80%
Kenyan Drake,1.80%
Kyle Rudolph,1.70%
Alex Erickson,1.40%
Alexander Mattison,1.40%
Zach Pascal,1.40%
Phillip Lindsay,1.40%
Royce Freeman,1.40%
Qadree Ollison,1.30%
Andy Isabella,1.20%
Robby Anderson,1.20%
T.J. Hockenson,1.10%
Trey Quinn,1.10%
Darren Fells,1.00%
Dawson Knox,1.00%
Jamison Crowder,0.90%
Jaeden Graham,0.90%
Demaryius Thomas,0.90%
Tyler Eifert,0.80%
Jordan Akins,0.80%
Emmanuel Sanders,0.70%
Danny Amendola,0.70%
JJ Arcega-Whiteside,0.70%
Willie Snead,0.60%
Jakeem Grant,0.60%
Albert Wilson,0.60%
Breshad Perriman,0.60%
Jason Witten,0.60%
Chris Conley,0.60%
Chester Rogers,0.60%
Foster Moreau,0.10%
C.J. Uzomah,0.10%
Giovani Bernard,0.10%
Kenjon Barner,0.10%
Boston Scott,0.10%
Jordan Matthews,0.10%
Stanley Morgan,0.10%
Ben Koyack,0.10%
Trayveon Williams,0.10%
Marcus Johnson,0.10%
Deon Yelder,null
Jordan Wilkins,0.10%
Jalen Richard,0.10%
DeAndre Washington,0.10%
Christian Blake,0.10%
Nyheim Hines,0.10%
Zay Jones,0.10%
Marcell Ateman,0.10%
Trevor Davis,0.10%
Mack Hollins,0.10%
Dante Pettis,0.10%
Brandon Zylstra,0.10%
Marquise Goodwin,0.10%
Jeff Wilson,0.10%
DeAndrew White,0.10%
Raheem Mostert,0.10%
Chris Manhertz,0.10%
KeeSean Johnson,0.10%
Alex Armah,0.10%
Pharoh Cooper,0.10%
Charles Clay,0.10%
Levine Toilolo,0.10%
Reggie Bonnafon,0.10%
Jakobi Meyers,0.10%
Luke Stocker,0.10%
Jordan Howard,0.10%
Maxx Williams,0.10%
Rex Burkhead,0.10%
N'Keal Harry,0.10%
Jarius Wright,0.10%
Zach Zenner,0.10%
Benjamin Watson,0.10%
Ryan Izzo,0.10%
Justin Hardy,0.10%
Durham Smythe,0.10%
Zach Line,0.10%
