"Pos","Player","Tm","Opp","DK Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","DK LEV"
"RB","Christian McCaffrey","CAR","ATL","10500","27.5%","71%","43%","50%","1.82"
"WR","Michael Thomas","NO","@TB","9900","32.5%","66%","32%","35%","1.09"
"RB","Ezekiel Elliott","DAL","@DET","9000","17.5%","43%","15%","17%","0.97"
"RB","Dalvin Cook","MIN","DEN","8900","22.5%","59%","26%","30%","1.35"
"WR","DeAndre Hopkins","HOU","@BAL","8100","12.5%","51%","16%","18%","1.42"
"RB","Leonard Fournette","JAX","@IND","7900","12.5%","51%","16%","19%","1.51"
"WR","Amari Cooper","DAL","@DET","7700","12.5%","49%","16%","18%","1.42"
"QB","Lamar Jackson","BAL","HOU","7700","17.5%","60%","30%","15%","0.83"
"WR","Julian Edelman","NE","@PHI","7600","17.5%","44%","12%","14%","0.78"
"WR","Julio Jones","ATL","@CAR","7500","12.5%","52%","16%","18%","1.44"
"RB","Alvin Kamara","NO","@TB","7400","12.5%","50%","15%","17%","1.38"
"WR","Mike Evans","TB","NO","7400","17.5%","56%","20%","22%","1.25"
"WR","Chris Godwin","TB","NO","7300","17.5%","53%","17%","19%","1.09"
"RB","LeVeon Bell","NYJ","@WAS","7200","7.5%","45%","12%","14%","1.80"
"WR","Emmanuel Sanders","SF","ARI","7200","3.0%","26%","4%","5%","1.59"
"WR","Stefon Diggs","MIN","DEN","6900","7.5%","34%","7%","8%","1.01"
"RB","Josh Jacobs","OAK","CIN","6900","27.5%","60%","21%","25%","0.90"
"QB","Drew Brees","NO","@TB","6900","12.5%","41%","12%","6%","0.48"
"QB","Deshaun Watson","HOU","@BAL","6800","12.5%","49%","20%","10%","0.80"
"QB","Jimmy Garoppolo","SF","ARI","6700","3.0%","37%","11%","5%","1.76"
"WR","Kenny Golladay","DET","DAL","6700","7.5%","33%","7%","7%","0.98"
"QB","Dak Prescott","DAL","@DET","6700","12.5%","51%","21%","10%","0.82"
"QB","Josh Allen","BUF","@MIA","6600","7.5%","44%","17%","8%","1.11"
"RB","Mark Ingram","BAL","HOU","6600","12.5%","30%","5%","6%","0.48"
"QB","Jameis Winston","TB","NO","6500","7.5%","43%","15%","7%","0.98"
"WR","Michael Gallup","DAL","@DET","6500","7.5%","34%","7%","7%","0.97"
"WR","John Brown","BUF","@MIA","6400","7.5%","43%","9%","11%","1.40"
"RB","Marlon Mack","IND","JAX","6400","7.5%","38%","7%","8%","1.05"
"QB","Tom Brady","NE","@PHI","6400","7.5%","41%","13%","6%","0.82"
"QB","Kirk Cousins","MIN","DEN","6300","3.0%","31%","8%","4%","1.33"
"WR","D.J. Chark","JAX","@IND","6200","7.5%","41%","10%","11%","1.43"
"QB","Matt Ryan","ATL","@CAR","6200","7.5%","41%","13%","6%","0.86"
