"Player","Team","Opp","Time","FD Pos","FD Own","FD Sal","DK Pos","DK Own","DK Sal"
"Dalvin Cook","MIN","DEN","Sun 01:00 EST","RB","32.9%","8600","RB","26.6%","8900"
"Christian McCaffrey","CAR","ATL","Sun 01:00 EST","RB","27.0%","10500","RB","24.1%","10500"
"D.J. Moore","CAR","ATL","Sun 01:00 EST","WR","25.1%","6000","WR","21.3%","5900"
"Leonard Fournette","JAC","IND","Sun 01:00 EST","RB","24.7%","7200","RB","10.8%","7900"
"Calvin Ridley","ATL","CAR","Sun 01:00 EST","WR","23.9%","5500","WR","11.8%","5500"
"Josh Jacobs","OAK","CIN","Sun 04:25 EST","RB","20.4%","8000","RB","17.6%","6900"
"Darren Waller","OAK","CIN","Sun 04:25 EST","TE","18.7%","6700","TE","18.3%","5500"
"Alvin Kamara","NO","TB","Sun 01:00 EST","RB","18.7%","7800","RB","18.5%","7400"
"Michael Thomas","NO","TB","Sun 01:00 EST","WR","17.8%","9000","WR","16.2%","9900"
"Julio Jones","ATL","CAR","Sun 01:00 EST","WR","17.4%","7800","WR","17.7%","7500"
"Ezekiel Elliott","DAL","DET","Sun 01:00 EST","RB","16.7%","8400","RB","13.5%","9000"
"Tevin Coleman","SF","ARI","Sun 04:05 EST","RB","15.9%","6700","RB","12.0%","6100"
"Greg Olsen","CAR","ATL","Sun 01:00 EST","TE","13.7%","5100","TE","13.3%","3900"
"Lamar Jackson","BAL","HOU","Sun 01:00 EST","QB","13.0%","8800","QB","12.1%","7700"
"Dak Prescott","DAL","DET","Sun 01:00 EST","QB","12.7%","8100","QB","12.6%","6700"
"DeAndre Hopkins","HOU","BAL","Sun 01:00 EST","WR","12.7%","8300","WR","13.2%","8100"
"Tyrell Williams","OAK","CIN","Sun 04:25 EST","WR","12.6%","6200","WR","14.6%","5400"
"Amari Cooper","DAL","DET","Sun 01:00 EST","WR","11.4%","8100","WR","11.9%","7700"
"Curtis Samuel","CAR","ATL","Sun 01:00 EST","WR","11.2%","6300","WR","12.5%","5300"
"Terry McLaurin","WAS","NYJ","Sun 01:00 EST","WR","10.7%","5500","WR","5.4%","5600"
"Mark Ingram","BAL","HOU","Sun 01:00 EST","RB","10.6%","7500","RB","10.0%","6600"
"Tyler Boyd","CIN","OAK","Sun 04:25 EST","WR","10.6%","5900","WR","10.3%","5200"
"Brian Hill","ATL","CAR","Sun 01:00 EST","RB","10.1%","5900","RB","10.3%","4800"
"Le'Veon Bell","NYJ","WAS","Sun 01:00 EST","RB","9.4%","7400","RB","4.1%","7200"
"Mark Andrews","BAL","HOU","Sun 01:00 EST","TE","9.4%","6900","TE","10.2%","6100"
"Zach Ertz","PHI","NE","Sun 04:25 EST","TE","9.4%","6200","TE","11.6%","5000"
"Stefon Diggs","MIN","DEN","Sun 01:00 EST","WR","9.4%","7300","WR","10.1%","6900"
"Julian Edelman","NE","PHI","Sun 04:25 EST","WR","9.3%","7400","WR","8.3%","7600"
"Deebo Samuel","SF","ARI","Sun 04:05 EST","WR","9.3%","5600","WR","10.6%","4000"
"Mike Evans","TB","NO","Sun 01:00 EST","WR","9.3%","8200","WR","10.2%","7400"
"John Brown","BUF","MIA","Sun 01:00 EST","WR","9.1%","5900","WR","4.3%","6400"
"Drew Brees","NO","TB","Sun 01:00 EST","QB","9.0%","8300","QB","8.8%","6900"
"Kyle Allen","CAR","ATL","Sun 01:00 EST","QB","8.6%","7200","QB","9.6%","5300"
"Jameis Winston","TB","NO","Sun 01:00 EST","QB","8.6%","7600","QB","8.2%","6500"
"Marquise Brown","BAL","HOU","Sun 01:00 EST","WR","8.1%","5600","WR","8.8%","5600"
"Mohamed Sanu","NE","PHI","Sun 04:25 EST","WR","7.9%","5800","WR","7.7%","5100"
"Carlos Hyde","HOU","BAL","Sun 01:00 EST","RB","7.3%","6300","RB","8.7%","4600"
"Josh Allen","BUF","MIA","Sun 01:00 EST","QB","6.8%","7800","QB","6.5%","6600"
