Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Status
92,Braxton Miller,HOU,IND,73,124,88.5,9.0
93,Josh Malone,CIN,JAC,73,104,89.2,6.7
94,Brandon Tate,BUF,NYJ,76,96,89.6,4.8
95,Tommylee Lewis,NO,TB,70,113,90.4,11.1
96,Tavarres King,NYG,LAR,65,98,90.6,6.2
97,Marvin Hall,ATL,CAR,72,134,90.7,11.1
98,Justin Hardy,ATL,CAR,81,111,91.8,8.2
99,Jared Abbrederis,DET,GB,84,102,92.0,5.9
100,Leonte Carroo,MIA,OAK,72,108,92.9,7.8
101,ArDarius Stewart,NYJ,BUF,74,118,93.5,12.9
102,Geronimo Allison,GB,DET,76,115,95.5,7.0
103,Jordan Taylor,DEN,PHI,89,100,96.7,3.6
104,Jehu Chesson,KC,DAL,93,102,97.5,4.5
105,Kaelin Clay,CAR,ATL,89,109,98.0,8.3
106,Amara Darboh,SEA,WAS,90,107,98.3,5.8
107,Chad Hansen,NYJ,BUF,87,112,102.3,11.0
108,Marcus Johnson,PHI,DEN,90,119,103.3,12.0
109,Alex Erickson,CIN,JAC,97,118,103.7,7.7
110,Jaelen Strong,JAC,CIN,98,115,104.0,7.8
111,Cody Core,CIN,JAC,100,108,104.0,4.0
112,Tanner McEvoy,SEA,WAS,99,112,105.2,4.3
113,Brittan Golden,ARI,SF,84,128,106.0,15.6
114,Brian Quick,WAS,SEA,92,123,106.2,14.0
115,Jakeem Grant,MIA,OAK,100,119,107.0,8.5
116,Pharoh Cooper,LAR,NYG,100,127,107.4,9.9
117,Quan Bray,IND,HOU,101,121,108.3,9.0
118,Johnny Holton,OAK,MIA,103,111,108.5,3.3
119,Kendrick Bourne,SF,ARI,99,127,108.7,10.4
120,Cody Latimer,DEN,PHI,101,122,109.0,9.3
121,Isaiah McKenzie,DEN,PHI,109,111,110.0,1.0
122,Victor Bolden Jr.,SF,ARI,110,124,116.0,5.9
123,Arrelious Benn,JAC,CIN,117,120,118.5,1.5
124,Bernard Reedy,TB,NO,116,126,122.3,4.5
125,Andre Roberts,ATL,CAR,114,129,122.7,6.3
126,Nick Williams,ATL,CAR,116,130,123.0,7.0
127,Chad Williams,ARI,SF,120,131,125.5,5.5
128,Chris Thompson,HOU,IND,128,133,130.5,2.5
