"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)","OPPORTUNITY (?)","EFFICIENCY (?)"
"65","Ke'Shawn Vaughn",TB,"at LV"," 8.0","F","2.6","-0.4","16% (1/6)","4%","Great"
"66","Dontrell Hilliard",CLE,"at CIN"," 5.8","F","2.6","-0.5","33% (4/12)","3%","Awful"
"67","Peyton Barber",WAS,"vs. DAL"," 9.0","F","2.7","+0.2","31% (5/16)","16%","Average"
"68","Ty Johnson",NYJ,"vs. BUF"," 6.0","F","2.6","-1.0","25% (4/16)","0%","N/A"
"69","LeSean McCoy",TB,"at LV"," 8.0","F","2.5","-1.4","30% (4/13)","4%","Awful"
"70","Trenton Cannon",CAR,"at NO"," 5.2","F","2.5","-1.3","16% (1/6)","1%","Awful"
"71","Jaylen Samuels",PIT,"at TEN"," 5.4","F","2.4","-2.5","14% (2/14)","2%","Awful"
"72","Devontae Booker",LV,"vs. TB"," 3.8","F","2.4","+0.4","35% (5/14)","4%","Awful"
"73","T.J. Yeldon",BUF,"at NYJ"," 7.0","F","2.2","+1.1","16% (1/6)","3%","Great"
"74","Alex Armah",CAR,"at NO"," 5.2","F","2.1","-0.8","6% (1/15)","3%","Awful"
"75","Jakob Johnson",NE,"vs. SF"," 6.4","F","1.8","+1.2","25% (1/4)","8%","Average"
"76","Samaje Perine",CIN,"vs. CLE"," 4.8","F","2.0","-0.2","0% (0/5)","0%","Awful"
"77","Ryan Nall",CHI,"at LAR"," 6.8","F","1.6","-1.3","0% (0/12)","0%","Awful"
"78","Darwin Thompson",KC,"at DEN"," 3.0","F","1.9","-0.1","33% (4/12)","1%","Awful"
"79","Dare Ogunbowale",JAC,"at LAC"," 6.4","F","1.9","-0.4","28% (4/14)","0%","N/A"
"80","Jason Huntley",PHI,"vs. NYG"," 7.8","F","1.5","-0.9","0% (0/3)","0%","Awful"
"81","Trayveon Williams",CIN,"vs. CLE","-","F","1.5","-0.6","0% (0/11)","0%","N/A"
"82","Devine Ozigbo",JAC,"at LAC","-","F","1.5","-1.4","0% (0/7)","0%","N/A"
"83","Alec Ingold",LV,"vs. TB","-","F","1.5","+1.4","46% (7/15)","5%","Great"
"84","DeAndre Washington",KC,"at DEN"," 3.0","F","1.5","+1.7","45% (5/11)","0%","N/A"
"85","Elijhaa Penny",NYG,"at PHI"," 7.2","F","1.4","-0.4","0% (0/14)","0%","N/A"
"86","C.J. Prosise",HOU,"vs. GB"," 7.2","F","1.4","-0.9","0% (0/10)","2%","Awful"
"87","DeeJay Dallas",SEA,"at ARI"," 7.6","F","1.0","-0.1","33% (1/3)","1%","Awful"
"88","Eno Benjamin",ARI,"vs. SEA"," 4.6","F","1.0","-1.3","0% (0/3)","0%","N/A"
"89","Josh Adams",NYJ,"vs. BUF"," 6.0","F","1.2","-0.5","25% (3/12)","10%","Average"
"90","Andy Janovich",CLE,"at CIN","-","F","1.1","-0.1","30% (3/10)","1%","Awful"
"91","Ryquell Armstead",JAC,"at LAC"," 6.4","F","1.0","-0.5","16% (2/12)","0%","N/A"
"92","Keith Smith",ATL,"vs. DET","-","F","0.8","-0.2","40% (6/15)","0%","Awful"
"93","Michael Burton",NO,"vs. CAR","-","F","0.7","-0.3","7% (1/14)","0%","N/A"
"94","Reggie Gilliam",BUF,"at NYJ","-","F","0.7","-0.3","20% (1/5)","11%","Poor"
"95","Anthony Sherman",KC,"at DEN","-","F","0.6","0.0","13% (2/15)","7%","Average"
"96","Dexter Williams",GB,"at HOU","-","F","0.6","-0.4","0% (0/7)","0%","N/A"
"97","Kalen Ballage",LAC,"vs. JAC","-","F","0.2","0.0","45% (5/11)","0%","N/A"
"98","Khari Blasingame",TEN,"vs. PIT","-","F","0.4","-0.4","22% (2/9)","0%","N/A"
"99","Ty Montgomery",NO,"vs. CAR","-","F","0.3","-1.0","30% (4/13)","1%","Awful"
"100","Troymaine Pope",LAC,"vs. JAC","-","F","0.2","-","-","0%","N/A"
"101","Bo Scarbrough",DET,"at ATL","-","F","0.2","+1.4","57% (4/7)","0%","N/A"
"102","J.J. Taylor",NE,"vs. SF","-","F","0.2","-0.9","40% (2/5)","4%","Awful"
"103","Taiwan Jones",BUF,"at NYJ","-","F","0.1","-0.3","0% (0/13)","3%","Awful"
"104","Cullen Gillaspia",HOU,"vs. GB","-","F","0.1","-0.1","8% (1/12)","0%","N/A"
"105","Trey Edmunds",PIT,"at TEN","-","F","0.1","-0.1","33% (3/9)","0%","N/A"
"106","Artavis Pierce",CHI,"at LAR","-","F","0.1","-1.4","0% (0/3)","0%","N/A"
"107","Buddy Howell",HOU,"vs. GB","-","F","0.1","-0.5","7% (1/13)","0%","N/A"
"108","Rico Dowdle",DAL,"at WAS","-","F","0.1","-0.7","0% (0/4)","0%","Awful"
