"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)","OPPORTUNITY (?)","EFFICIENCY (?)"
"1","Travis Kelce",KC,"at DEN"," 4.6","A+","17.3","+0.5","56% (9/16)","9%","Great"
"2","George Kittle",SF,"at NE"," 2.0","A","15.8","+1.5","53% (7/13)","7%","Great"
"3","Darren Waller",LV,"vs. TB"," 4.6","A","14.3","-1.0","31% (5/16)","17%","Average"
"4","T.J. Hockenson",DET,"at ATL"," 8.8","A-","13.4","-0.5","45% (5/11)","19%","Good"
"5","Hunter Henry",LAC,"vs. JAC"," 7.6","A-","11.9","-1.9","40% (6/15)","11%","Average"
"6","Robert Tonyan",GB,"at HOU"," 7.4","B+","11.2","+2.6","38% (5/13)","10%","Great"
"7","Evan Engram",NYG,"at PHI"," 8.2","B","11.2","-3.4","33% (3/9)","9%","Good"
"8","Jared Cook",NO,"vs. CAR"," 4.6","B","10.9","+2.4","58% (7/12)","6%","Great"
"9","Rob Gronkowski",TB,"at LV"," 6.6","B-","9.9","-0.5","33% (2/6)","8%","Average"
"10","Jonnu Smith",TEN,"vs. PIT"," 3.6","B","9.7","+1.9","53% (8/15)","13%","Great"
"11","Dalton Schultz",DAL,"at WAS"," 7.8","C+","9.3","+0.8","26% (4/15)","5%","Great"
"12","Jimmy Graham",CHI,"at LAR"," 6.0","C","9.0","+0.9","43% (7/16)","20%","Great"
"13","Noah Fant",DEN,"vs. KC"," 6.2","C+","8.7","+0.5","42% (6/14)","8%","Great"
"14","Hayden Hurst",ATL,"vs. DET"," 4.8","C","8.5","-0.4","25% (4/16)","8%","Great"
"15","Eric Ebron",PIT,"at TEN"," 9.0","C-","8.4","-0.6","40% (4/10)","10%","Average"
"16","Darren Fells",HOU,"vs. GB"," 7.4","C-","8.1","+0.6","37% (6/16)","6%","Great"
"17","Logan Thomas",WAS,"vs. DAL"," 7.4","D+","7.6","0.0","37% (6/16)","9%","Great"
"18","Tyler Higbee",LAR,"vs. CHI"," 7.8","D+","7.3","+1.9","56% (9/16)","9%","Great"
"19","Greg Olsen",SEA,"at ARI"," 6.6","D-","7.1","-0.9","30% (4/13)","10%","Poor"
"20","Richard Rodgers",PHI,"vs. NYG"," 4.2","D","6.9","+0.6","50% (3/6)","2%","Awful"
"21","Gerald Everett",LAR,"vs. CHI"," 7.0","D","6.9","+0.3","46% (6/13)","4%","Great"
"22","Drew Sample",CIN,"vs. CLE"," 5.6","D","5.5","-0.5","33% (3/9)","8%","Awful"
"23","David Njoku",CLE,"at CIN"," 6.4","F","5.3","0.0","20% (1/5)","6%","Great"
"24","Anthony Firkser",TEN,"vs. PIT"," 3.4","F","5.2","+1.2","50% (7/14)","6%","Good"
"25","Ian Thomas",CAR,"at NO"," 6.2","F","4.9","-0.6","25% (4/16)","4%","Great"
"26","James O'Shaughnessy",JAC,"at LAC"," 5.6","F","4.4","0.0","50% (3/6)","1%","Awful"
"27","Cameron Brate",TB,"at LV"," 6.6","F","4.4","-0.3","37% (6/16)","5%","Great"
"28","Tyler Kroft",BUF,"at NYJ"," 6.8","F","4.3","-0.3","23% (4/17)","8%","Good"
"29","Chris Herndon IV",NYJ,"vs. BUF"," 7.4","F","4.3","-4.7","0% (0/7)","3%","Awful"
"30","Dan Arnold",ARI,"vs. SEA"," 7.0","F","4.1","-0.5","33% (4/12)","5%","Awful"
"31","Vance McDonald",PIT,"at TEN"," 8.2","F","4.1","-1.6","14% (2/14)","2%","Awful"
"32","Cole Kmet",CHI,"at LAR"," 6.6","F","4.0","0.0","16% (1/6)","3%","Great"
"33","Harrison Bryant",CLE,"at CIN"," 6.4","F","4.0","0.0","33% (2/6)","5%","Great"
"34","Will Dissly",SEA,"at ARI"," 5.4","F","3.8","+0.2","40% (2/5)","3%","Great"
"35","Albert Okwuegbunam",DEN,"vs. KC"," 6.2","F","3.8","+0.5","25% (1/4)","17%","Awful"
"36","Darrell Daniels",ARI,"vs. SEA"," 7.4","F","3.7","+0.1","20% (3/15)","0%","Awful"
"37","Ryan Griffin",NYJ,"vs. BUF"," 7.0","F","3.7","+1.5","46% (6/13)","1%","Awful"
"38","Jesse James",DET,"at ATL"," 8.6","F","3.5","-0.7","18% (3/16)","9%","Poor"
"39","Ryan Izzo",NE,"vs. SF"," 5.2","F","3.3","-1.6","22% (2/9)","3%","Awful"
"40","Kaden Smith",NYG,"at PHI"," 7.8","F","3.2","+1.9","46% (6/13)","6%","Awful"
