Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
111,Justin Hardy,ATL,TEN,86,113,108.5,3.7
112,Trent Sherfield,ARI,SEA,66,122,98.6,10.8
113,Javon Wims,CHI,MIN,90,124,108.8,8.5
114,Keelan Doss,OAK,IND,89,130,111.1,8.8
115,Malik Turner,SEA,ARI,98,128,111.5,7.5
116,TJ Jones,NYG,WAS,86,137,111.7,13.7
117,Taywan Taylor,CLE,BAL,102,115,107.1,3.9
118,Olabisi Johnson,MIN,CHI,99,126,111.7,8.2
119,Donte Moncrief,PIT,CIN,101,135,108.8,11.4
120,De'Anthony Thomas,KC,DET,104,139,116.8,8.7
121,Deonte Harris,NO,DAL,82,140,114.5,13.1
122,Steven Sims,WAS,NYG,110,121,117.5,3.2
123,Jake Kumerow,GB,PHI,93,117,103.8,7.7
124,Russell Gage,ATL,TEN,114,121,118.9,1.4
125,Darius Jennings,TEN,ATL,101,123,119.5,2.1
126,Tyler Ervin,JAC,DEN,103,106,104.3,1.1
127,Riley Ridley,CHI,MIN,111,132,120.0,7.4
128,Tavon Austin,DAL,NO,114,133,121.5,6.6
129,Darrius Shepherd,GB,PHI,102,133,124.4,6.2
130,Byron Pringle,KC,DET,111,130,123.3,4.7
131,Robert Davis,WAS,NYG,102,132,120.0,10.2
132,Cedrick Wilson,DAL,NO,113,139,124.8,10.7
133,Justin Watson,TB,LAR,104,141,126.3,7.8
134,Lil'Jordan Humphrey,NO,DAL,83,133,113.7,21.9
135,DeAndre Carter,HOU,CAR,109,138,127.6,7.3
136,Chris Moore,BAL,CLE,104,139,130.0,6.9
137,Keelan Cole,JAC,DEN,116,137,128.6,7.2
138,Cody Core,NYG,WAS,119,137,128.8,6.8
139,Marvin Hall,DET,KC,112,128,120.7,6.6
140,Laquon Treadwell,MIN,CHI,96,136,129.2,7.9
141,Bobo Wilson,TB,LAR,114,135,126.8,8.8
142,Juwann Winfree,DEN,JAC,117,126,122.0,3.7
143,Johnny Holton,PIT,CIN,122,136,127.5,5.2
144,Trevor Davis,OAK,IND,123,138,131.5,6.7
145,Gunner Olszewski,NE,BUF,119,140,129.5,10.5
146,John Ursua,SEA,ARI,134,141,137.5,3.5
