Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,
49,Dede Westbrook,JAC,TEN,40,70,48.3,2.9,0.21025
95,Chad Beebe,MIN,OAK,90,111,99,4.2,0.196
96,Jarius Wright,CAR,ARI,96,113,100.2,4.2,0.18375
99,Jaron Brown,SEA,NO,96,114,101.7,4.2,0.18375
138,Javon Wims,CHI,WAS,123,136,130.4,4.5,0.164634146
82,DaeSean Hamilton,DEN,GB,71,91,82.1,3.4,0.162816901
130,Justin Watson,TB,NYG,110,133,126.7,4.2,0.160363636
139,Taywan Taylor,CLE,LAR,121,132,127.5,4.4,0.16
85,Deon Cain,IND,ATL,72,93,85.6,3.2,0.142222222
52,Chris Conley,JAC,TEN,44,61,54.7,2.5,0.142045455
94,Damion Willis,CIN,BUF,83,106,95.9,3.4,0.139277108
91,Ryan Grant,OAK,MIN,81,95,88,3.3,0.134444444
134,DeAndre Carter,HOU,LAC,122,139,131.3,3.9,0.124672131
123,Josh Bellamy,NYJ,NE,107,123,119.3,3.6,0.121121495
51,Robby Anderson,NYJ,NE,43,61,51.7,2.2,0.11255814
111,Kendrick Bourne,SF,PIT,99,116,110.2,3.3,0.11
135,Braxton Berrios,NYJ,NE,116,133,128.6,3.4,0.099655172
151,Andy Isabella,ARI,CAR,138,147,142,3.7,0.099202899
125,Seth Roberts,BAL,KC,102,128,121.1,3.1,0.094215686
131,Russell Gage,ATL,IND,120,133,128.5,3.3,0.09075
136,Olabisi Johnson,MIN,OAK,113,132,129,2.8,0.069380531
147,Johnny Holton,PIT,SF,136,145,141.4,3,0.066176471
140,Keelan Doss,OAK,MIN,128,138,135.5,2.2,0.0378125
