Player,Position,Team,Opp,Salary,Floor,Value,Ceiling,Value,Upside
James Develin,RB,NE,@MIA,3000,0,-5.31,12.3,6.96,85.28343675
Keith Smith,RB,OAK,PIT,3000,0,-5.31,12.3,7,85.28343675
Donta Foreman,RB,HOU,IND,3300,0,-5.84,12.6,6.79,84.63160266
Patrick DiMarco,RB,BUF,NYJ,3000,0,-5.31,12.2,6.9,84.59007547
Los Angeles Chargers,DEF,LAC,CIN,3500,2.6,-6.32,15.4,6.46,84.30512077
Tommy Bohanon,RB,JAX,@TEN,3000,0,-5.31,12.1,6.82,83.8967142
Marcus Murphy,RB,BUF,NYJ,3000,0,-5.31,12.1,6.83,83.8967142
Cameron Artis-Payne,RB,CAR,@CLE,3000,0,-5.31,12,6.72,83.20335292
New York Giants,DEF,NYG,@WAS,2500,2.3,-4.09,13.5,7.08,82.52230557
Buffalo Bills,DEF,BUF,NYJ,3200,2.5,-5.69,14.6,6.41,82.1111329
Trent Taylor,WR,SF,DEN,3100,0,-6.11,11.9,5.81,81.61307288
Rod Smith,RB,DAL,PHI,4000,0,-7.08,12.7,5.65,80.00498667
Chicago Bears,DEF,CHI,LAR,2200,2.1,-3.56,12.1,6.5,76.88809598
Seattle Seahawks,DEF,SEA,MIN,2600,2.1,-4.5,12.6,5.94,76.35981187
New England Patriots,DEF,NE,@MIA,2800,2.2,-4.97,12.8,5.66,75.20612083
New Orleans Saints,DEF,NO,@TB,2700,2.1,-4.76,12.5,5.65,74.68706925
Washington Redskins,DEF,WAS,NYG,2300,2,-3.87,11.8,5.89,74.24207993
Los Angeles Rams,DEF,LAR,@CHI,2500,2,-4.33,12,5.66,73.68062997
Pittsburgh Steelers,DEF,PIT,@OAK,3000,2.2,-5.48,12.8,5.12,73.49629508
Kansas City Chiefs,DEF,KC,BAL,2300,2,-3.88,11.7,5.86,73.48450768
New York Jets,DEF,NYJ,@BUF,2400,2,-4.11,11.8,5.72,73.19627753
Houston Texans,DEF,HOU,IND,2600,2,-4.61,11.9,5.26,71.99639405
Denver Broncos,DEF,DEN,@SF,3600,2.3,-6.93,13.3,4.1,71.77257342
Arizona Cardinals,DEF,ARI,DET,2300,1.9,-3.98,11.1,5.26,69.69664646
Detroit Lions,DEF,DET,@ARI,2900,2,-5.39,11.8,4.43,68.72162332
Jacksonville Jaguars,DEF,JAX,@TEN,2800,1.9,-5.21,11.4,4.27,67.40171207
Green Bay Packers,DEF,GB,ATL,2100,1.7,-3.61,10.3,4.94,67.15711324
Carolina Panthers,DEF,CAR,@CLE,2500,1.9,-4.51,11,4.61,67.04937328
Cleveland Browns,DEF,CLE,CAR,2200,1.8,-3.84,10.4,4.83,66.12376255
Dallas Cowboys,DEF,DAL,PHI,2600,1.8,-4.8,10.8,4.18,65.45126732
Emmanuel Sanders,WR,DEN,@SF,6200,0,-12.21,11.9,-0.27,64.77633887
Philadelphia Eagles,DEF,PHI,@DAL,2300,1.7,-4.14,10.2,4.31,64.39364075
Indianapolis Colts,DEF,IND,@HOU,2400,1.8,-4.35,10.4,4.29,64.23346803
Oakland Raiders,DEF,OAK,PIT,2000,1.5,-3.57,9,3.94,59.52753945
Miami Dolphins,DEF,MIA,NE,2100,1.5,-3.85,8.9,3.53,57.78635326
Baltimore Ravens,DEF,BAL,@KC,2200,1.5,-4.09,9,3.34,57.66607199
Minnesota Vikings,DEF,MIN,@SEA,2400,1.6,-4.57,9.2,3.04,56.76446012
Atlanta Falcons,DEF,ATL,@GB,2200,1.4,-4.17,8.5,2.9,54.59054815
San Francisco 49ers,DEF,SF,DEN,2200,1.5,-4.15,8.6,2.99,54.59054815
Cincinnati Bengals,DEF,CIN,@LAC,2000,1.2,-3.88,7.2,2.09,47.62203156
Tampa Bay Buccaneers,DEF,TB,NO,2000,1.2,-3.91,7,1.89,46.03463051
