Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Status
1,Le'Veon Bell,PIT,JAC,1,2,1.1,0.3,
2,Alvin Kamara,NO,MIN,1,5,2.2,0.9,
3,Dion Lewis,NE,TEN,3,9,5.7,1.8,
4,Leonard Fournette,JAC,PIT,3,11,4.3,2.5,
5,Mark Ingram,NO,MIN,2,7,4.5,1.3,
6,Derrick Henry,TEN,NE,3,13,7,3.2,
7,Devonta Freeman,ATL,PHI,4,15,7.4,3.3,
8,Jerick McKinnon,MIN,NO,7,12,10.1,1.4,
9,Latavius Murray,MIN,NO,7,16,10.8,3,
10,Jay Ajayi,PHI,ATL,10,17,13.5,2.3,
11,Tevin Coleman,ATL,PHI,9,14,12.2,1.5,
12,Rex Burkhead,NE,TEN,9,15,12.3,2.1,
13,James White,NE,TEN,6,15,10.2,3.2,
14,Corey Clement,PHI,ATL,14,19,16.7,1.4,
15,LeGarrette Blount,PHI,ATL,12,25,18.1,3.5,
16,T.J. Yeldon,JAC,PIT,6,19,10.9,3.9,
17,Chris Ivory,JAC,PIT,6,18,12.1,4.8,
18,Mike Gillislee,NE,TEN,17,24,20.5,2.4,
19,Stevan Ridley,PIT,JAC,16,25,21.1,2.9,
20,Corey Grant,JAC,PIT,16,22,19.4,2,
21,Tommy Bohanon,JAC,PIT,13,24,17.3,4,
22,Roosevelt Nix,PIT,JAC,5,23,18,7.3,
23,Zach Line,NO,MIN,18,24,20.3,1.9,
24,Fitzgerald Toussaint,PIT,JAC,17,23,20.9,1.8,
