Demetrius Harris,2,ARI,
Rondale Moore,0.9,ARI,
Christian Kirk,0.9,ARI,
Russell Gage,0.0001,ATL,
Rashod Bateman,1.3,BAL,
Devin Duvernay,1.4,BAL,
Sammy Watkins,0.000001,BAL,
Ty'Son Williams,0.000001,BAL,
Ian Thomas,1.5,CAR,
Tommy Tremble,0.5,CAR,
Spencer Brown,0.000001,CAR,
Breshad Perriman,0.000001,CHI,
Mike Thomas,0.000001,CIN,
Donovan Peoples-Jones,1.2,CLE,
Rashard Higgins,1.1,CLE,
Anthony Schwartz,0.5,CLE,
Demetric Felton,2,CLE,
KhaDarel Hodge,1.65,DET,
Kalif Raymond,1.1,DET,
Amon-Ra St. Brown,1.25,DET,
Trinity Benson,0.0001,DET,
Chris Moore,1.3,HOU,
Danny Amendola,0.000001,HOU,
Davion Davis,0.000001,HOU,
Scottie Phillips,0.000001,HOU,
T.Y. Hilton,2,IND,questionable
Zach Pascal,0.9,IND,
Mike Strachan,0.000001,IND,8 targets last week
Jordan Wilkins,0.000001,IND,
Demarcus Robinson,1.4,KC,
Jerick McKinnon,1.3,KC,
DeAndre Carter,1.3,KC,
Blake Bell,0.000001,KC,
Donald Parham Jr.,1.5,LAC,
Larry Rountree,0.000001,LAC,
Van Jefferson,0.85,LAR,
Brycen Hopkins,0.000001,LAR,
Ben Ellefson,0.000001,Min,
Ihmin Smith-Marsette,0.000001,Min,
Hunter Henry,0.8,NE,
Sterling Shepard,1.2,NYG,
Darius Slayton,0.0001,NYG,
John Ross,1.4,NYG,
Saquon Barkley,0.000001,NYG,
Kenny Golladay,0.000001,NYG,
Ricky Seals-Jones,1,WAS,
Curtis Samuel,0.000001,WAS,
Cam Sims,0.000001,WAS,
Jace Sternberger,0.000001,WAS,
Dalvin Cook,1.1,MIN,Own play
Robby Anderson,1.05,CAR,Own play
