Player Name,Team,def_sack,def_int,def_fr,def_ff,def_td,def_assist,def_safety,def_pa,def_tyda,fpts
Baltimore Ravens,BAL,2.4,1.2,0.7,1.2,0.2,0.0,0.1,16.5,307.1,8.7
Denver Broncos,DEN,2.4,1.2,0.6,1.0,0.2,0.0,0.0,13.2,255.7,8.6
Washington Redskins,WAS,2.8,1.0,0.7,1.1,0.2,0.0,0.0,17.8,304.8,8.3
Houston Texans,HOU,2.3,1.1,0.7,0.9,0.2,0.0,0.0,17.8,307.9,8.1
New England Patriots,NE,2.6,1.0,0.8,1.4,0.1,0.0,0.0,18.9,329.5,8.1
Tampa Bay Buccaneers,TB,2.3,1.0,0.7,1.3,0.2,0.0,0.0,20.0,339.4,7.9
Atlanta Falcons,ATL,2.4,1.0,0.6,0.9,0.2,0.0,0.0,17.2,301.5,7.8
Jacksonville Jaguars,JAC,2.6,1.0,0.8,1.5,0.2,0.0,0.1,21.0,316.4,7.5
Philadelphia Eagles,PHI,2.5,1.0,0.8,1.3,0.2,0.0,0.0,22.9,335.6,7.2
Tennessee Titans,TEN,2.7,0.9,0.7,1.3,0.2,0.0,0.0,21.9,334.4,7.0
Kansas City Chiefs,KC,2.1,1.1,0.6,0.8,0.2,0.0,0.0,21.1,375.3,6.8
Arizona Cardinals,ARI,2.0,1.1,0.8,1.3,0.2,0.0,0.0,22.1,370.5,6.8
Carolina Panthers,CAR,2.7,0.8,0.7,1.2,0.2,0.0,0.0,20.4,328.1,6.6
Minnesota Vikings,MIN,2.8,0.7,0.6,0.9,0.2,0.0,0.0,24.3,366.6,6.4
Los Angeles Rams,LAR,2.1,1.0,0.6,1.0,0.2,0.0,0.0,22.9,330.5,6.3
Cleveland Browns,CLE,2.4,0.9,0.6,1.1,0.1,0.0,0.0,27.0,362.6,6.3
New York Giants,NYG,2.1,0.9,0.6,1.0,0.2,0.0,0.0,22.6,327.3,6.2
Oakland Raiders,OAK,1.9,0.9,0.7,1.1,0.2,0.0,0.0,22.4,390.1,6.1
Green Bay Packers,GB,2.1,0.8,0.7,1.2,0.2,0.0,0.0,21.6,330.6,6.0
New Orleans Saints,NO,2.4,0.8,0.6,0.9,0.1,0.0,0.0,23.7,361.2,5.9
Chicago Bears,CHI,2.1,0.9,0.6,0.9,0.2,0.0,0.0,22.2,317.8,5.9
Detroit Lions,DET,1.7,1.0,0.5,0.9,0.2,0.0,0.0,25.7,398.0,5.8
Indianapolis Colts,IND,1.7,0.8,0.6,0.9,0.2,0.0,0.0,27.1,373.0,5.5
Los Angeles Chargers,LAC,2.2,0.7,0.5,0.9,0.1,0.0,0.0,25.7,343.5,5.5
Miami Dolphins,MIA,2.1,0.7,0.5,0.8,0.1,0.0,0.0,27.4,405.2,5.4
Pittsburgh Steelers,PIT,2.5,0.6,0.5,0.9,0.1,0.0,0.0,26.1,350.4,5.4
San Francisco 49ers,SF,1.7,0.6,0.8,1.6,0.1,0.0,0.0,27.7,393.3,5.4
New York Jets,NYJ,1.6,0.5,0.6,1.0,0.1,0.0,0.0,28.9,410.8,4.4
