Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
1,Patrick Mahomes,KC,CIN,1,2,1.0,0.0
2,Matt Ryan,ATL,NYG,1,6,2.3,0.7
3,Jared Goff,LAR,SF,2,6,3.2,0.8
4,Kirk Cousins,MIN,NYJ,2,18,4.9,1.4
5,Cam Newton,CAR,PHI,3,13,5.4,1.2
6,Jameis Winston,TB,CLE,3,14,6.1,2.2
7,Andy Dalton,CIN,KC,3,11,6.9,1.6
8,Carson Wentz,PHI,CAR,6,12,8.9,1.3
9,Tom Brady,NE,CHI,2,16,9.3,3.0
10,Andrew Luck,IND,BUF,6,16,9.5,2.0
11,Philip Rivers,LAC,TEN,5,13,10.3,1.1
12,Matthew Stafford,DET,MIA,7,16,11.9,1.6
13,Drew Brees,NO,BAL,7,18,13.2,1.5
14,Baker Mayfield,CLE,TB,7,18,13.8,2.1
15,Joe Flacco,BAL,NO,11,19,14.8,1.5
16,Mitch Trubisky,CHI,NE,12,21,15.4,1.0
17,Blake Bortles,JAC,HOU,6,20,17.3,1.9
18,Deshaun Watson,HOU,JAC,14,23,17.8,1.1
19,Eli Manning,NYG,ATL,13,23,18.8,1.4
20,C.J. Beathard,SF,LAR,16,23,19.4,1.1
21,Alex Smith,WAS,DAL,19,22,21.0,0.6
22,Dak Prescott,DAL,WAS,17,24,21.8,0.8
23,Case Keenum,DEN,ARI,22,27,23.8,1.0
24,Marcus Mariota,TEN,LAC,22,26,23.9,1.0
25,Sam Darnold,NYJ,MIN,22,28,25.1,1.2
26,Brock Osweiler,MIA,DET,21,28,25.6,1.2
27,Josh Rosen,ARI,DEN,24,27,26.4,0.8
28,Derek Anderson,BUF,IND,26,28,28.0,0.2
29,Lamar Jackson,BAL,NO,29,31,29.2,0.4
30,Taysom Hill,NO,BAL,29,30,29.7,0.4
31,Nathan Peterman,BUF,IND,28,33,30.9,0.5
32,Tyrod Taylor,CLE,TB,31,34,32.8,0.7
33,Brandon Weeden,HOU,JAC,32,50,33.2,1.5
34,Ryan Fitzpatrick,TB,CLE,31,35,34.4,0.5
35,Chad Kelly,DEN,ARI,32,35,33.0,1.2
36,Nick Foles,PHI,CAR,34,37,35.8,1.1
37,Jacoby Brissett,IND,BUF,35,37,35.7,0.9
38,Teddy Bridgewater,NO,BAL,38,45,40.3,3.3
39,Cody Kessler,JAC,HOU,39,49,42.7,4.5
