Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
1,George Kittle,SF,CAR,1,4,1.3,0.6,11.8
2,Darren Waller,OAK,HOU,1,9,2.9,1.4,11.5
3,Austin Hooper,ATL,SEA,1,8,3.7,1.6,10.5
4,Travis Kelce,KC,GB,1,7,3.7,0.9,10.3
5,Evan Engram,NYG,DET,2,7,4.3,1.4,10.0
6,Hunter Henry,LAC,CHI,3,7,5.4,1.0,9.7
7,Zach Ertz,PHI,BUF,4,10,6.9,0.7,9.6
8,Gerald Everett,LAR,CIN,5,12,8.0,0.7,7.3
9,T.J. Hockenson,DET,NYG,7,13,9.8,1.0,7.1
10,Greg Olsen,CAR,SF,8,32,10.4,2.2,6.9
11,Jimmy Graham,GB,KC,9,14,10.9,0.9,6.7
12,Eric Ebron,IND,DEN,9,20,13.2,1.5,6.2
13,Vance McDonald,PIT,MIA,10,20,14.1,2.1,5.5
14,Dallas Goedert,PHI,BUF,10,19,15.6,2.1,5.5
15,Jonnu Smith,TEN,TB,9,23,15.8,2.6,5.4
16,Cameron Brate,TB,TEN,10,32,16.5,4.5,4.9
17,Kyle Rudolph,MIN,WAS,11,30,16.5,2.4,5.3
18,Josh Hill,NO,ARI,6,27,18.0,4.4,4.8
19,Darren Fells,HOU,OAK,15,24,18.2,1.7,5.0
20,Dawson Knox,BUF,PHI,14,26,19.2,2.6,4.9
21,Jordan Akins,HOU,OAK,16,26,21.3,1.5,4.7
22,Noah Fant,DEN,IND,17,27,22.0,2.2,4.7
23,Irv Smith Jr.,MIN,WAS,15,31,22.2,2.6,4.7
24,Jack Doyle,IND,DEN,18,31,23.4,3.0,4.7
25,Benjamin Watson,NE,CLE,17,28,24.6,1.7,4.6
26,Trey Burton,CHI,LAC,24,31,27.0,1.6,4.6
27,Ricky Seals-Jones,CLE,NE,18,34,27.1,2.5,4.3
28,Mike Gesicki,MIA,PIT,21,32,27.3,1.9,4.3
29,Foster Moreau,OAK,HOU,23,33,28.6,2.3,4.2
30,Jacob Hollister,SEA,ATL,15,35,29.3,3.2,4.1
31,Tyler Eifert,CIN,LAR,23,33,30.6,1.6,4.1
32,Tyler Higbee,LAR,CIN,29,33,31.7,1.1,4.1
33,Luke Willson,SEA,ATL,25,41,32.3,3.4,4.1
34,Jeremy Sprinkle,WAS,MIN,29,38,34.0,1.6,3.9
35,Josh Oliver,JAC,NYJ,33,43,36.1,2.6,3.8
36,C.J. Uzomah,CIN,LAR,34,44,37.9,2.9,3.7
37,Ryan Griffin,NYJ,JAC,27,54,39.9,5.8,3.5
38,Seth DeValve,JAC,NYJ,34,60,39.8,6.5,3.1
39,Maxx Williams,ARI,NO,34,45,39.1,3.0,3.1
40,Marcedes Lewis,GB,KC,36,47,39.9,2.7,3.0
41,Rhett Ellison,NYG,DET,36,47,42.2,3.1,3.0
42,Adam Shaheen,CHI,LAC,37,53,44.6,3.9,2.9
43,Dan Arnold,NO,ARI,33,50,42.9,4.9,2.7
44,Charles Clay,ARI,NO,42,50,45.2,2.6,2.7
45,Jesse James,DET,NYG,38,49,44.2,3.5,2.7
46,Jeff Heuerman,DEN,IND,37,56,46.5,4.5,2.4
47,Demetrius Harris,CLE,NE,39,54,46.5,4.3,2.5
48,Anthony Firkser,TEN,TB,37,63,48.5,7.4,2.2
49,Tyler Kroft,BUF,PHI,37,55,48.9,3.2,2.4
50,Nick Vannett,PIT,MIA,44,59,50.2,4.3,2.2
51,Derek Carrier,OAK,HOU,43,57,51.8,2.9,2.0
52,Logan Thomas,DET,NYG,46,55,51.9,2.1,1.9
53,Luke Stocker,ATL,SEA,41,74,55.0,6.4,1.8
54,Mo Alie-Cox,IND,DEN,49,62,56.0,4.0,1.8
55,Nick O'Leary,MIA,PIT,47,62,56.8,2.7,1.8
56,Drew Sample,CIN,LAR,48,70,58.1,4.0,1.8
57,Lee Smith,BUF,PHI,51,66,59.5,3.5,1.8
58,Antony Auclair,TB,TEN,40,66,52.1,9.2,1.7
59,Virgil Green,LAC,CHI,48,66,58.3,4.1,1.8
60,Ben Koyack,JAC,NYJ,51,66,59.0,4.0,1.7
61,Pharaoh Brown,CLE,NE,56,65,61.5,2.5,1.7
62,Ross Dwelley,SF,CAR,56,67,61.1,3.1,1.5
63,Ian Thomas,CAR,SF,38,69,63.3,5.2,1.6
64,Levine Toilolo,SF,CAR,50,69,62.7,4.1,1.5
65,Andrew Beck,DEN,IND,59,70,63.9,2.4,1.2
66,MyCole Pruitt,TEN,TB,51,73,64.9,5.1,1.2
67,Tommy Sweeney,BUF,PHI,58,69,64.3,3.2,1.2
68,Blake Bell,KC,GB,50,72,65.7,4.1,1.3
69,Ben Braunecker,CHI,LAC,60,67,62.7,2.5,1.1
70,Eric Tomlinson,NE,CLE,52,63,57.7,4.5,1.1
71,Durham Smythe,MIA,PIT,63,73,68.4,2.6,1.1
72,Chris Manhertz,CAR,SF,57,72,64.3,5.4,1.1
73,Jaeden Graham,ATL,SEA,65,73,67.7,2.7,1.0
74,Robert Tonyan,GB,KC,60,63,61.5,1.5,1.0
75,Deon Yelder,KC,GB,61,71,67.8,4.0,1.0
76,J.P. Holtz,CHI,LAC,66,75,70.2,2.8,1.0
77,Tanner Hudson,TB,TEN,59,67,63.0,4.0,0.9
