Player Name,Team,def_sack,def_int,def_fr,def_ff,def_td,def_safety,def_pa,def_tyda,fpts
Buffalo Bills,BUF,2.7,1.2,0.6,1.1,0.2,0.0,17.2,307.0,8.5
San Francisco 49ers,SF,2.8,1.0,0.7,1.2,0.2,0.1,16.9,295.6,8.5
Baltimore Ravens,BAL,3.2,1.0,0.7,1.0,0.1,0.0,19.9,341.2,8.5
Arizona Cardinals,ARI,3.1,0.9,0.6,1.1,0.2,0.0,19.7,298.1,8.2
Kansas City Chiefs,KC,3.3,0.8,0.6,0.9,0.2,0.0,19.7,329.2,8.2
Chicago Bears,CHI,2.6,1.0,0.7,1.1,0.2,0.0,18.4,320.9,8.0
Pittsburgh Steelers,PIT,2.7,0.8,0.7,1.1,0.1,0.0,16.8,308.4,7.5
Tennessee Titans,TEN,2.7,0.7,0.6,0.8,0.2,0.0,17.8,328.5,7.2
Cleveland Browns,CLE,2.7,0.9,0.6,1.1,0.2,0.0,20.1,338.0,6.8
Tampa Bay Buccaneers,TB,2.5,0.8,0.7,1.3,0.2,0.1,20.3,331.6,6.7
Washington Football Team,WF,3.0,0.8,0.6,1.0,0.1,0.0,25.0,352.9,6.7
New England Patriots,NE,3.0,0.8,0.6,0.9,0.1,0.0,22.1,361.2,6.6
Los Angeles Rams,LAR,2.8,0.7,0.7,1.1,0.1,0.0,22.5,338.8,6.6
Dallas Cowboys,DAL,2.7,0.8,0.6,1.0,0.1,0.0,22.6,393.6,6.4
Indianapolis Colts,IND,2.6,0.7,0.7,1.1,0.1,0.1,22.1,344.9,6.3
Cincinnati Bengals,CIN,2.3,1.0,0.5,0.7,0.2,0.0,23.8,365.1,6.3
Seattle Seahawks,SEA,2.3,0.8,0.7,1.1,0.2,0.0,21.0,342.3,6.3
Green Bay Packers,GB,2.5,0.9,0.5,0.7,0.1,0.0,21.5,369.5,6.3
Jacksonville Jaguars,JAC,3.0,0.7,0.6,0.7,0.1,0.0,25.2,368.9,6.3
New York Jets,NYJ,2.5,0.8,0.6,0.9,0.1,0.0,23.3,339.1,6.1
Miami Dolphins,MIA,2.4,0.8,0.6,0.8,0.1,0.0,23.8,366.5,6.1
New Orleans Saints,NO,2.4,0.7,0.7,1.0,0.1,0.0,20.6,351.0,6.1
Minnesota Vikings,MIN,2.2,0.9,0.6,1.0,0.1,0.0,22.5,350.1,6.0
Philadelphia Eagles,PHI,2.0,0.9,0.5,0.8,0.1,0.0,21.5,365.6,5.8
New York Giants,NYG,2.4,0.8,0.5,0.7,0.1,0.0,23.6,325.7,5.8
Denver Broncos,DEN,1.9,0.8,0.6,0.9,0.1,0.0,22.8,350.8,5.6
Atlanta Falcons,ATL,2.3,0.7,0.5,0.7,0.1,0.0,26.8,405.8,5.5
Carolina Panthers,CAR,2.2,0.7,0.6,0.8,0.1,0.0,27.3,361.8,5.4
Houston Texans,HOU,2.1,0.6,0.6,0.9,0.1,0.0,27.0,397.1,5.4
Detroit Lions,DET,2.5,0.5,0.6,0.8,0.1,0.0,26.0,364.3,5.3
Los Angeles Chargers,LAC,1.9,0.6,0.5,0.6,0.1,0.0,25.7,388.6,4.9
Las Vegas Raiders,LV,1.6,0.7,0.5,0.7,0.1,0.0,25.6,378.0,4.6
