Player,Position,Team,Opp,Salary,Floor,Value,Ceiling,Value,Vol
Kapri Bibbs,RB,WAS,@PHI,3700,0,-6.55,13.3,6.75,0.218650653
Cordarrelle Patterson,WR,NE,MIN,3300,0,-6.5,12.5,6.03,0.21759707
Christian McCaffrey,RB,CAR,@TB,8800,13.8,-1.74,34,18.44,0.215332724
Alex Erickson,WR,CIN,DEN,3000,0,-5.91,11.7,5.82,0.213611797
Jordan Reed,TE,WAS,@PHI,5300,3.8,-5.83,19.3,9.65,0.212908874
Los Angeles Rams,DEF,LAR,@DET,2600,2.2,-4.45,12.9,6.25,0.209844265
Denver Broncos,DEF,DEN,@CIN,2700,2.2,-4.67,13.1,6.19,0.209770598
Todd Gurley,RB,LAR,@DET,9300,13.5,-2.99,33.7,17.19,0.209464242
Zach Ertz,TE,PHI,WAS,6600,6.6,-5.44,23.5,11.44,0.20802462
George Kittle,TE,SF,@SEA,5900,5.3,-5.45,21,10.25,0.20439659
Philadelphia Eagles,DEF,PHI,WAS,2600,2.1,-4.51,12.5,5.85,0.203960781
Indianapolis Colts,DEF,IND,@JAX,2600,2.1,-4.52,12.5,5.82,0.203960781
Rod Smith,RB,DAL,NO,4000,0,-7.08,12.8,5.68,0.20238577
Carolina Panthers,DEF,CAR,@TB,2500,2.1,-4.31,12.2,5.81,0.202
Travis Kelce,TE,KC,@OAK,7000,7.6,-5.15,24.5,11.78,0.201993635
Houston Texans,DEF,HOU,CLE,2700,2.1,-4.76,12.5,5.62,0.200148093
Cleveland Browns,DEF,CLE,@HOU,2300,2,-3.91,11.5,5.65,0.198088693
New England Patriots,DEF,NE,MIN,2400,1.9,-4.19,11.4,5.28,0.193917938
Minnesota Vikings,DEF,MIN,@NE,2100,1.8,-3.55,10.6,5.28,0.192031743
New York Jets,DEF,NYJ,@TEN,2200,1.8,-3.83,10.5,4.91,0.185484623
New York Giants,DEF,NYG,CHI,2300,1.8,-4.07,10.6,4.69,0.183492684
New Orleans Saints,DEF,NO,@DAL,2600,1.9,-4.73,11.2,4.56,0.182388006
Washington Redskins,DEF,WAS,@PHI,2300,1.8,-4.08,10.5,4.67,0.18140754
Atlanta Falcons,DEF,ATL,BAL,2400,1.8,-4.33,10.6,4.44,0.179629248
Los Angeles Chargers,DEF,LAC,@PIT,2300,1.7,-4.17,10,4.14,0.173066964
Buffalo Bills,DEF,BUF,@MIA,2900,1.9,-5.5,11.2,3.8,0.172696665
Tampa Bay Buccaneers,DEF,TB,CAR,2000,1.5,-3.57,9,3.93,0.167705098
Baltimore Ravens,DEF,BAL,@ATL,2800,1.8,-5.38,10.4,3.23,0.162524723
Cincinnati Bengals,DEF,CIN,DEN,2200,1.5,-4.11,8.9,3.25,0.15776853
Jacksonville Jaguars,DEF,JAX,IND,2400,1.5,-4.59,9,2.91,0.153093109
Arizona Cardinals,DEF,ARI,@GB,2000,1.4,-3.72,8.1,3.01,0.149816554
Oakland Raiders,DEF,OAK,KC,2000,1.4,-3.75,8,2.87,0.147580487
Pittsburgh Steelers,DEF,PIT,LAC,2500,1.5,-4.89,8.8,2.41,0.146
San Francisco 49ers,DEF,SF,@SEA,2000,1.3,-3.78,7.8,2.69,0.145344419
Dallas Cowboys,DEF,DAL,NO,2000,1.2,-3.85,7.4,2.27,0.138636215
Detroit Lions,DEF,DET,LAR,2000,1.2,-3.89,7.1,2.02,0.131928011
